N	2gram	Savitsky_E_1	VelikijI
133	бы сделать	1	1
134	быть может	1	1
135	для себя	1	1
136	в ее	8	1
137	от мирового	1	1
138	и до	1	1
139	значение в	1	1
140	мы будем	1	1
141	для человеческого	1	1
142	то же	15	1
143	человеческого бытия	1	1
144	всех частей	1	1
145	из всего	1	1
146	в результате	3	1
147	и тут	2	1
148	по сравнению	2	1
149	вопрос о	4	1
150	и вообще	1	1
151	только это	1	1
152	о возможности	1	1
153	и ее	1	1
154	мира если	1	1
155	в их	11	1
156	и на	6	1
157	в последних	1	1
158	бы то	4	1
159	любви к	1	1
160	истории в	1	1
161	конечно это	1	1
162	что оно	1	1
163	к нему	2	1
164	что люди	1	1
165	но как	2	1
166	ее от	2	1
167	от них	3	1
168	если в	2	1
169	с которыми	1	1
170	и человечество	5	1
171	в новом	1	1
172	тогда как	1	1
173	бы в	2	1
174	мире и	1	1
175	и можно	2	1
176	и чем	2	1
177	кому бы	1	1
178	его на	2	1
179	как в	3	1
180	в своем	14	1
181	потребность в	3	1
182	известном смысле	3	1
183	что нет	1	1
184	все же	1	1
185	но с	2	1
186	себя с	1	1
187	в двух	1	1
188	могли бы	1	1
189	мы видим	2	1
190	с ними	1	1
191	мы увидим	1	1
192	ли он	1	1
193	в самом	4	1
194	что это	2	1
195	бы ни	3	1
196	влечение к	1	1
197	в этой	2	1
198	в известном	3	1
199	и настоящем	1	1
200	уже в	1	1
201	в которую	1	1
202	то и	1	1
203	в виде	5	1
204	и если	2	1
205	но от	1	1
206	не будут	1	1
207	и должна	1	1
208	вовсе не	6	1
209	бытия и	1	1
210	этом мире	1	1
211	государственности и	1	1
212	и по	5	1
213	на этом	1	1
214	бы от	2	1
215	для того	6	1
216	то ни	4	1
217	в состоянии	1	1
218	и с	2	1
219	с другой	7	1
220	есть не	2	1
221	лишь на	1	1
222	весь мир	1	1
223	и тем	3	1
224	даже что	2	1
225	говорит о	3	1
226	мира есть	1	1
227	она и	1	1
228	которые идут	1	1
229	на которых	1	1
230	власти и	1	1
231	человеческой жизни	1	1
232	с которым	1	1
233	жизни но	1	1
234	основание в	2	1
235	и было	1	1
236	мировой истории	1	1
237	него не	1	1
238	их на	1	1
239	пути не	1	1
240	стороны в	2	1
241	вместе с	2	1
242	так же	9	1
243	ко всем	1	1
244	как это	4	1
245	то есть	6	1
246	это сделали	1	1
247	их к	1	1
248	у нас	1	1
249	в которых	3	1
250	сравнению с	2	1
251	для всякого	1	1
252	с такой	1	1
253	что тот	1	1
254	в одном	2	1
255	поскольку он	2	1
256	это значит	2	1
257	этого слова	1	1
258	освободиться от	1	1
259	с этой	6	1
260	на пути	1	1
261	можно ли	3	1
262	ни для	1	1
263	сделали мы	1	1
264	к ним	3	1
265	и другое	1	1
266	и новой	1	1
267	указать на	1	1
268	мы все	1	1
269	в другие	1	1
270	и от	3	1
271	мира и	3	1
272	которая в	1	1
273	в разных	1	1
274	может быть	6	1
275	в третьем	1	1
276	в русском	1	1
277	более всего	1	1
278	iv в	1	1
279	во всем	1	1
280	в мировом	1	1
281	в сознании	1	1
282	к жизни	1	1
283	уже и	3	1
284	связь с	1	1
285	жизни в	3	1
286	что на	2	1
287	в будущем	3	1
288	хотели бы	1	1
289	но какой	1	1
290	другой стороны	2	1
291	не быть	1	1
292	религии и	1	1
293	от природы	1	1
294	но все	1	1
295	есть то	1	1
296	и другие	1	1
297	в своих	2	1
298	до состояния	1	1
299	в процессе	4	1
300	и эта	2	1
301	это в	1	1
302	прошлом и	1	1
303	отказаться от	1	1
304	она не	2	1
