N	2gram	Nazirov_Tv_1	EvropaiE
270	всемирно-историческое значение	1	1
271	науки с	1	1
272	нам представляется	1	1
273	что его	2	1
274	с его	11	1
275	тем как	1	1
276	его построения	1	1
277	по отношению	1	1
278	протекать в	1	1
279	тогда как	1	1
280	отличие от	2	1
281	и будет	2	1
282	к сожалению	1	1
283	как по	1	1
284	промежутке времени	1	1
285	в одной	2	1
286	в открытые	1	1
287	все же	5	1
288	кроме того	1	1
289	в полном	1	1
290	положения он	1	1
291	что по	1	1
292	говорит об	2	1
293	его к	1	1
294	этого мира	1	1
295	таким как	1	1
296	в этот	1	1
297	мы но	1	1
298	та же	4	1
299	это есть	1	1
300	как некий	1	1
301	он в	1	1
302	чуть ли	1	1
303	еще далеко	1	1
304	поскольку в	1	1
305	связанного с	1	1
306	но его	2	1
307	тому же	1	1
308	и те	1	1
309	претендовать на	1	1
310	на его	3	1
311	при этом	7	1
312	своем развитии	1	1
313	т д	1	1
314	от которых	1	1
315	но само	1	1
316	не значит	1	1
317	и когда	2	1
318	в принципе	2	1
319	ли не	1	1
320	на земле	3	1
321	какой сфере	1	1
322	на этом	1	1
323	его можно	1	1
324	находим у	1	1
325	мы обнаруживаем	1	1
326	но все	1	1
327	значительной части	1	1
328	а затем	2	1
329	представляются нам	1	1
330	в нем	3	1
331	значение в	1	1
332	же касается	1	1
333	в глубине	1	1
334	воспринимается как	1	1
335	лишь на	1	1
336	весь мир	1	1
337	в жизни	2	1
338	… но	1	1
339	о которых	1	1
340	является более	1	1
341	соответствии с	3	1
342	нельзя признать	1	1
343	развития так	1	1
344	открытым вопрос	1	1
345	жизни но	1	1
346	и было	1	1
347	их на	1	1
348	и всей	1	1
349	время для	1	1
350	рассматривает как	1	1
351	именно и	1	1
352	в отличие	2	1
353	от себя	1	1
354	центра и	1	1
355	и останется	1	1
356	среды и	3	1
357	в современном	2	1
358	том же	1	1
359	для этого	1	1
360	тому что	1	1
361	народом в	1	1
362	современного человека	2	1
363	все эти	1	1
364	не менее	6	1
365	вплоть до	1	1
366	что эта	1	1
367	что с	1	1
368	и другое	1	1
369	считает что	1	1
370	одна из	2	1
371	мы все	1	1
372	для всего	1	1
373	это мы	1	1
374	казалось бы	1	1
375	действительности но	1	1
376	в самой	1	1
377	находятся в	1	1
378	в русском	1	1
379	и его	6	1
380	связи с	1	1
381	для осуществления	1	1
382	если нельзя	1	1
383	в основе	2	1
384	у нас	1	1
385	такие же	1	1
386	которую не	1	1
387	будущее в	1	1
388	относиться к	1	1
389	отказаться от	2	1
390	приходит к	3	1
391	и о	1	1
392	будущего в	1	1
393	людей в	2	1
394	человеческой истории	1	1
395	настоящего и	1	1
396	мысль о	2	1
397	ли с	2	1
398	и видимо	1	1
399	мнение что	1	1
400	не повторяет	1	1
401	и сам	1	1
402	что может	1	1
403	был бы	2	1
404	это состояние	1	1
405	одного из	2	1
406	по природе	6	1
407	об этом	2	1
408	еще в	2	1
409	маска и	1	1
410	быть может	2	1
411	чем обычно	1	1
412	которая в	1	1
413	с ним	3	1
414	этой концепции	2	1
415	означает что	1	1
416	связанное с	1	1
417	при такой	1	1
418	внимание на	1	1
419	или на	1	1
420	может не	2	1
421	времени в	13	1
422	нас в	1	1
423	связь между	1	1
424	в которую	1	1
425	из себя	2	1
426	а через	1	1
427	оставляя открытым	1	1
428	одни в	1	1
429	эти два	1	1
430	того в	1	1
431	всего этого	1	1
432	нем и	1	1
433	в ту	3	1
434	xix век	1	1
435	значит что	2	1
436	один из	4	1
437	ибо в	2	1
438	в двух	2	1
439	тот же	2	1
440	с ними	1	1
441	будь то	1	1
442	всех этих	1	1
443	страх перед	2	1
444	разницы в	1	1
445	что как	2	1
446	который в	3	1
447	почти всего	1	1
448	эта идея	1	1
449	и ее	1	1
450	по этому	1	1
451	больше чем	2	1
452	со своим	1	1
453	переходит в	2	1
454	уже не	3	1
455	уже в	3	1
456	если мы	1	1
457	то и	1	1
458	что не	2	1
459	человека этот	1	1
460	от других	2	1
461	в точном	1	1
462	например к	1	1
463	с традиционной	1	1
464	одно из	1	1
465	для него	6	1
466	и их	1	1
467	мы находим	2	1
468	исторического процесса	1	1
469	у других	1	1
470	и искусства	1	1
471	в более	1	1
472	но за	1	1
473	а на	1	1
474	русской жизни	4	1
475	личности именно	1	1
476	к которому	1	1
477	с той	1	1
478	в ряде	1	1
479	пребывает в	1	1
480	что для	2	1
481	в соответствии	3	1
482	перед тем	2	1
483	не было	1	1
484	на которых	1	1
485	зависит от	2	1
486	и далее	2	1
487	с которым	2	1
488	пока что	1	1
489	к осознанию	2	1
490	так называемой	1	1
491	то такой	1	1
492	из составных	1	1
493	него не	1	1
494	иные и	1	1
495	этот принцип	1	1
496	мы знаем	1	1
497	в связи	1	1
498	xx века	1	1
499	именно поэтому	1	1
500	связь с	1	1
501	уже о	1	1
502	раз на	2	1
503	и будущего	3	1
504	пространства и	2	1
505	о возможности	1	1
506	если так	1	1
507	к жизни	2	1
508	для всех	1	1
509	а если	1	1
510	с некоторыми	1	1
511	есть только	1	1
512	религии и	1	1
513	даже с	1	1
514	и философии	1	1
515	вспомним что	1	1
516	с ее	3	1
517	слова и	1	1
518	живет и	1	1
519	и где	1	1
520	себя с	1	1
521	сознает что	1	1
522	одного и	1	1
523	в мировой	1	1
524	при таком	1	1
525	и среди	2	1
526	что оно	1	1
527	о котором	2	1
528	ее и	2	1
529	но когда	1	1
530	но это	5	1
531	на берегу	3	1
532	всей силой	1	1
533	и другие	3	1
534	всего мира	1	1
535	но этот	1	1
536	оно не	1	1
537	время не	2	1
538	оставались в	1	1
539	к этой	1	1
540	на ту	1	1
541	это в	3	1
542	он на	1	1
543	гораздо более	2	1
