N	2gram	Tiupa_Teor_1	KFilosof
195	эстетического субъекта	1	2
196	оно не	1	2
197	это уже	1	2
198	этих моментов	1	2
199	потому что	3	2
200	смысла в	1	2
201	дело с	1	2
202	чтобы не	1	2
203	он ни	1	2
204	и конечно	1	2
205	чему не	1	2
206	сознания в	1	2
207	жизнь и	1	2
208	смысловой значимости	1	2
209	я и	2	2
210	случае мы	1	2
211	дело не	2	2
212	как в	5	2
213	в некоторое	1	2
214	дело здесь	1	2
215	тот же	1	2
216	дело в	2	2
217	себя за	1	2
218	весь мир	1	2
219	в единое	3	2
220	и потому	2	2
221	на первом	1	2
222	тем не	3	2
223	вступить в	1	2
224	для этого	1	2
225	слова в	2	2
226	этого слова	3	2
227	этом мире	2	2
228	в этой	3	2
229	бытия не	1	2
230	эмоционально-волевое отношение	1	2
231	тому что	2	2
232	мышления и	2	2
233	всей своей	1	2
234	но я	1	2
235	то или	1	2
236	однако что	1	2
237	как к	2	2
238	в качестве	24	2
239	соответствии с	2	2
240	себя и	1	2
241	с его	5	2
242	переживание переживания	1	2
243	если не	1	2
244	смыслу и	1	2
245	в области	4	2
246	что он	1	2
247	и то	2	2
248	ценностный центр	2	2
249	имеют место	1	2
250	ни был	2	2
251	смысла и	1	2
252	или иной	4	2
253	имеем в	3	2
254	в соответствии	3	2
255	вытекает из	1	2
256	а с	3	2
257	и как	2	2
258	ни к	3	2
259	которой я	1	2
260	она могла	1	2
261	всей его	1	2
262	основе своей	1	2
263	жизни но	2	2
264	той или	1	2
265	в данном	8	2
266	известном смысле	1	1
267	точек зрения	1	1
268	не становится	1	1
269	в которой	2	1
270	остается лишь	1	1
271	здесь именно	1	1
272	жизненные ценности	1	1
273	жизни а	1	1
274	и иных	1	1
275	данности бытия	1	1
276	нуждается в	1	1
277	это может	1	1
278	образом и	1	1
279	приводит к	5	1
280	всех сторон	1	1
281	не способна	1	1
282	и смыслы	1	1
283	в значительной	1	1
284	на его	1	1
285	есть для	1	1
286	и свою	1	1
287	остановимся на	1	1
288	вся система	1	1
289	большинстве случаев	1	1
290	первом случае	1	1
291	позицию по	1	1
292	можно сказать	3	1
293	вместе с	2	1
294	всю жизнь	1	1
295	исходит из	1	1
296	именно к	1	1
297	но он	3	1
298	вмещает в	1	1
299	не допуская	1	1
300	связи между	1	1
301	или в	3	1
302	в литературе	2	1
303	задана как	1	1
304	того же	3	1
305	мы говорим	1	1
306	понятие о	2	1
307	отличается от	2	1
308	шире и	1	1
309	не была	1	1
310	данном контексте	1	1
311	может служить	2	1
312	здесь и	1	1
313	значение для	1	1
314	с нашим	1	1
315	ту или	1	1
316	существенный момент	1	1
317	и ее	3	1
318	не путем	1	1
319	здесь как	1	1
320	ценностей или	1	1
321	активностью в	1	1
322	к смыслу	2	1
323	на ее	1	1
324	культуры как	1	1
325	а именно	2	1
326	одновременно и	1	1
327	мышления но	1	1
328	всего что	1	1
329	единицы и	1	1
330	на то	1	1
331	не носит	1	1
332	была бы	3	1
333	одного и	3	1
334	человеческой жизни	1	1
335	с ней	1	1
336	мир все	1	1
337	можно в	1	1
338	в большинстве	2	1
339	в третьем	1	1
340	как раз	2	1
341	в какой	2	1
342	к такому	1	1
343	бы ни	1	1
344	и теперь	1	1
345	и иные	1	1
346	места для	1	1
347	нового времени	3	1
348	и сама	1	1
349	не более	1	1
350	то есть	12	1
351	включая и	1	1
352	но с	1	1
353	высшей ценностью	1	1
354	две строфы	2	1
355	не содержит	1	1
356	освобождения от	1	1
357	момент свершения	1	1
358	художественного творчества	1	1
359	не существует	1	1
360	тем или	1	1
361	об этом	2	1
362	в мир	1	1
363	одном случае	1	1
364	если он	1	1
365	для героя	1	1
366	субъекта и	2	1
367	до этого	1	1
368	в нашем	4	1
369	осуществляется в	1	1
370	а тот	1	1
371	ведь это	1	1
372	более чем	1	1
373	единством а	1	1
374	за свою	1	1
375	смысле можно	1	1
376	ее как	1	1
377	в отношении	3	1
378	по своей	3	1
379	в искусстве	6	1
380	ее действительного	1	1
381	принципиально иной	1	1
382	и такие	1	1
383	я во	1	1
384	и каждая	1	1
385	одной из	2	1
386	не субъективно	1	1
387	а тем	1	1
388	что может	2	1
389	превращается в	2	1
390	к действительности	3	1
391	как содержание	1	1
392	из жизни	1	1
393	и вокруг	1	1
394	еще на	1	1
395	между ними	4	1
396	и от	1	1
397	имеет дело	1	1
398	а через	1	1
399	бы для	1	1
400	отношения к	2	1
401	меня эта	1	1
402	особенно в	1	1
403	а затем	1	1
404	акта в	1	1
405	систему ценностей	1	1
406	это существенно	1	1
407	расположение их	1	1
408	к тому	2	1
409	слова и	1	1
410	отношений между	1	1
411	и религии	1	1
412	значительной степени	1	1
413	и даже	2	1
414	хотя и	3	1
415	не с	3	1
416	в этих	3	1
417	оно становится	1	1
418	причастности к	2	1
419	к миру	1	1
420	к такой	2	1
421	бытия я	1	1
422	лирический герой	2	1
423	противоречие между	1	1
424	и к	3	1
425	целого и	1	1
426	однако по	1	1
427	они не	1	1
428	противном случае	1	1
429	внимание в	1	1
430	с ее	3	1
431	со всех	1	1
432	не решает	1	1
433	этой своей	1	1
434	ее в	2	1
435	с которым	1	1
436	на почве	4	1
437	в душе	8	1
438	можно говорить	1	1
439	бытия чтобы	1	1
440	только одно	1	1
441	человека и	1	1
442	включен в	1	1
443	к его	2	1
444	эстетической деятельности	1	1
445	своей жизни	2	1
446	ее мышления	1	1
447	конечном счете	6	1
448	говоря о	3	1
449	больше и	1	1
450	своего развития	1	1
451	жизнь на	2	1
452	и т.п	4	1
453	лицом и	1	1
454	я есть	5	1
455	всю полноту	1	1
456	я в	16	1
457	свою очередь	2	1
458	в противном	1	1
459	остается в	1	1
460	мире и	2	1
461	имеем не	1	1
462	как другого	1	1
463	я с	5	1
464	и о	4	1
465	чего нет	1	1
466	лишь путем	1	1
467	каким бы	1	1
468	тем же	1	1
469	моя жизнь	2	1
470	а только	3	1
471	как я	1	1
472	содержит в	1	1
473	имеет место	2	1
474	границы и	1	1
475	один из	2	1
476	все люди	1	1
477	и абсолютная	1	1
478	заключать в	1	1
479	же я	1	1
480	значимые и	1	1
481	от своего	2	1
482	единство и	1	1
483	его я	1	1
484	в первом	2	1
485	с чем	1	1
486	заданности и	2	1
487	действительности и	1	1
488	том случае	1	1
489	я для	1	1
490	ясность и	1	1
491	субъектом и	1	1
492	все с	1	1
493	во второй	7	1
494	помимо его	1	1
495	это было	2	1
496	лишь однажды	1	1
497	что все	1	1
498	ту же	1	1
499	по поводу	1	1
500	не совпадает	1	1
501	сам же	1	1
502	между жизнью	1	1
503	собой и	1	1
504	жизни что	1	1
505	его эстетической	1	1
506	человека как	1	1
507	и др	1	1
508	только не	2	1
509	в первой	5	1
510	к пониманию	1	1
511	но прежде	1	1
512	их не	1	1
513	на этом	1	1
514	значимость в	1	1
515	как себя	1	1
516	говорим о	1	1
517	но из	1	1
518	том же	1	1
519	я это	1	1
520	ему и	1	1
521	этих случаях	1	1
522	содержания в	1	1
523	в самом	4	1
524	жизнь других	1	1
525	только к	1	1
526	может оставаться	1	1
527	никто не	2	1
528	совпадает с	3	1
529	мы видим	1	1
530	и мира	2	1
531	или иную	1	1
532	она и	1	1
533	с собой	1	1
534	она не	1	1
535	также и	1	1
536	должен был	1	1
537	я как	2	1
538	к бытию	1	1
539	в действительности	1	1
540	их в	3	1
541	видения в	1	1
542	той же	1	1
543	и автора	2	1
544	не мыслится	1	1
545	мире можно	2	1
546	жизни не	1	1
547	способу мышления	1	1
548	вследствие того	1	1
549	не тот	1	1
550	своей причастности	1	1
551	и себя	1	1
552	столь же	2	1
553	все и	1	1
554	не могло	2	1
555	все они	1	1
556	стороны в	1	1
557	же самое	1	1
558	в последней	1	1
559	в конечном	6	1
560	зрения автора	1	1
561	с которой	1	1
562	все что	1	1
563	о его	1	1
564	не подлежит	1	1
565	не следует	4	1
566	и до	1	1
567	ориентирована на	1	1
568	говорить об	1	1
569	в составе	1	1
570	в известном	1	1
571	своему смыслу	1	1
572	он должен	2	1
573	жизнью и	1	1
574	делает его	2	1
575	что она	2	1
576	бытию и	1	1
577	эти стороны	1	1
578	если мы	2	1
579	другим и	1	1
580	им с	1	1
581	жизни я	1	1
582	местом в	1	1
583	так как	1	1
584	не является	4	1
585	только на	1	1
586	ее не	1	1
587	как ученый	1	1
588	все моменты	1	1
589	но во	1	1
590	положений и	1	1
591	и объект	1	1
592	ты и	1	1
593	основе его	1	1
594	между ним	1	1
595	отношения являются	1	1
596	и по	2	1
597	не своей	1	1
598	мог бы	3	1
599	в точке	2	1
600	его полноте	1	1
601	как основной	1	1
602	во втором	3	1
