N	2gram	Losev_Prob_3	UchenyiS
280	бы только	2	1
281	точно и	1	1
282	уже не	7	1
283	на одно	2	1
284	далеко не	1	1
285	но также	2	1
286	то и	5	1
287	же в	3	1
288	и всей	2	1
289	в процессе	2	1
290	в виде	6	1
291	широком смысле	2	1
292	возражать против	1	1
293	и искусства	2	1
294	не столь	1	1
295	тезис о	1	1
296	не обладает	1	1
297	в нем	9	1
298	связанные с	1	1
299	художественного оформления	1	1
300	или даже	5	1
301	она представляется	1	1
302	или просто	1	1
303	но если	6	1
304	он не	8	1
305	о которой	1	1
306	а для	1	1
307	сказать что	16	1
308	только как	1	1
309	состоит из	5	1
310	в первую	3	1
311	не значит	3	1
312	равно как	1	1
313	исходить из	1	1
314	нашей критической	1	1
315	данного произведения	1	1
316	важным и	1	1
317	он и	2	1
318	в понятии	2	1
319	что под	1	1
320	самое что	1	1
321	но он	1	1
322	если у	1	1
323	у пушкина	6	1
324	но что	2	1
325	у него	1	1
326	такое что	2	1
327	само по	3	1
328	этого и	1	1
329	мы можем	6	1
330	всего что	1	1
331	это содержание	1	1
332	так то	1	1
333	ее в	1	1
334	анализа в	1	1
335	и свое	1	1
336	это в	2	1
337	а это	3	1
338	не имеется	1	1
339	что при	2	1
340	к этому	1	1
341	что в	8	1
342	в таком	5	1
343	общего и	1	1
344	от которой	1	1
