N	2gram	Nazirov_Vr_1	Mirosoze
129	от того	1	3
130	до сих	1	3
131	к которому	1	3
132	с которым	2	3
133	человек в	1	3
134	нет ничего	1	3
135	– не	1	3
136	не знал	1	3
137	сих пор	1	3
138	и от	1	3
139	отношении к	1	3
140	в своих	4	3
141	отношения к	2	2
142	от этой	1	2
143	достоевского в	7	2
144	поэтому он	1	2
145	из подполья	3	2
146	который был	3	2
147	не был	1	2
148	в дневнике	4	2
149	во всех	1	2
150	то он	1	2
151	есть по	1	2
152	не хотел	1	2
153	преступление и	1	2
154	как к	1	2
155	в мысли	1	2
156	хотя и	1	2
157	то в	1	2
158	момент его	1	2
159	достоевского а	1	2
160	но на	1	2
161	этот процесс	1	2
162	достоевский изобличает	1	2
163	еще более	1	2
164	этом он	1	2
165	в грудь	1	2
166	достоевского и	7	2
167	а за	1	2
168	не всегда	1	2
169	в этих	1	2
170	точки зрения	2	2
171	место в	2	2
172	есть еще	1	2
173	что есть	3	2
174	а от	1	2
175	правда в	1	2
176	ничего не	1	2
177	связи с	3	2
178	было не	1	2
179	к себе	2	2
180	верит в	1	2
181	человека он	1	2
182	еще в	1	2
183	быть может	1	2
184	и что	8	2
185	нас в	1	2
186	к нему	1	2
187	но с	1	2
188	бы его	1	2
189	он уже	1	2
190	между тем	5	2
191	уже в	4	2
192	о великом	1	2
193	лишь один	1	2
194	души и	1	2
195	так это	1	2
196	верил в	1	2
197	вместе с	2	2
198	– это	6	2
199	что за	1	2
200	что же	1	2
201	да и	1	2
202	с любовью	1	2
203	но для	1	2
204	его с	2	2
205	человек и	1	2
206	ее и	1	2
207	бы в	1	2
208	быть и	1	2
209	а в	2	2
210	это была	1	2
211	он лишь	1	2
212	которых не	1	1
213	достоевского если	1	1
214	обращается в	1	1
215	и то	2	1
216	что иван	1	1
217	людей достоевского	1	1
218	был врагом	1	1
219	человека достоевский	1	1
220	смерти отца	1	1
221	петра верховенского	2	1
222	преступления и	1	1
223	еще до	1	1
224	говорить о	1	1
225	это отношение	1	1
226	х годов	4	1
227	и ее	2	1
228	достоевского был	1	1
229	а еще	1	1
230	на них	1	1
231	в преступлении	1	1
232	а следовательно	1	1
233	бесов в	2	1
234	не все	1	1
235	если в	1	1
236	людей уже	2	1
237	я только	1	1
238	что раскрывается	1	1
239	с этим	1	1
240	будущее россии	1	1
241	и как	3	1
242	знаю что	1	1
243	за границей	2	1
244	достоевского хотя	1	1
245	не хочет	1	1
246	в целом	1	1
247	что достоевский	4	1
248	пускает и	1	1
249	во многих	1	1
250	раз в	3	1
251	этого как	1	1
252	христианства он	1	1
253	на то	3	1
254	в записках	1	1
255	стал на	1	1
256	ведь не	1	1
257	над которым	1	1
258	христа и	1	1
259	достоевскому он	1	1
260	не могли	1	1
261	самому достоевскому	1	1
262	любовь это	1	1
263	в плане	1	1
264	и творческого	1	1
265	пиру жизни	1	1
266	с социализмом	1	1
267	что ни	1	1
268	– явление	1	1
269	совпадают с	1	1
270	же не	2	1
271	об этом	5	1
272	их и	1	1
273	самим собой	1	1
274	на пиру	1	1
275	сознания своей	2	1
276	было бы	1	1
277	после этого	2	1
278	и наказания	2	1
279	из первых	1	1
280	достоевский и	8	1
281	это сама	1	1
282	этого не	1	1
283	его отношения	1	1
284	и уже	3	1
285	которой он	1	1
286	в развитии	1	1
287	и чувств	1	1
288	достоевский говорит	1	1
289	он сказал	1	1
290	но я	1	1
291	которую он	1	1
292	достоевский обратился	1	1
293	можно найти	1	1
294	в котором	6	1
295	с точки	2	1
296	человеком и	1	1
297	своего рода	1	1
298	одном из	1	1
299	их в	2	1
300	ставрогина в	4	1
301	них много	1	1
302	но они	1	1
303	человека но	1	1
304	человечества и	1	1
305	как о	1	1
306	не любил	1	1
307	в какую-то	1	1
308	бесах как	1	1
309	истории –	1	1
310	следовательно и	1	1
311	мыслей и	1	1
312	ему и	1	1
313	хочет быть	1	1
314	того же	1	1
315	до того	1	1
316	не знали	1	1
317	в момент	2	1
318	легенда о	1	1
319	и дал	1	1
320	сама жизнь	1	1
321	отличается от	1	1
322	по характеру	1	1
323	достоевский много	1	1
324	в ее	1	1
325	ничего уже	1	1
326	на той	1	1
327	роль в	1	1
328	веру в	1	1
329	и сам	1	1
330	на нее	1	1
331	не с	1	1
332	живет в	1	1
333	чем все	1	1
334	революции а	1	1
335	но у	1	1
336	обратился к	1	1
337	а также	2	1
338	достоевского он	2	1
339	все в	1	1
340	это в	2	1
341	преступлении и	1	1
342	вечный муж	1	1
343	тотчас же	1	1
344	достоевского это	1	1
345	человека как	1	1
346	и любит	1	1
347	и борьбы	1	1
348	к русским	1	1
349	которым он	1	1
350	ли он	1	1
351	начало в	1	1
352	об их	2	1
353	бесы –	1	1
354	границей и	1	1
355	был также	1	1
356	и у	3	1
357	записках из	1	1
358	его и	2	1
359	искать в	1	1
360	никто не	1	1
361	в письме	5	1
362	этом отношении	1	1
363	его личность	2	1
364	это будет	1	1
365	подпольного человека	4	1
366	с другой	1	1
367	вслед за	1	1
368	характерно для	1	1
369	во второй	1	1
370	такое же	1	1
371	а с	2	1
372	он считал	4	1
373	целью в	1	1
374	европы и	1	1
375	достоевского с	9	1
376	также в	1	1
377	ней ничего	1	1
378	у человека	1	1
379	и считает	1	1
380	о чем	2	1
381	во франции	1	1
382	– этого	1	1
383	он принимает	1	1
384	материал и	1	1
385	детей он	1	1
386	независимо от	1	1
387	и наказание	1	1
388	неверие в	1	1
389	по своему	1	1
390	своей души	1	1
391	тридцать лет	1	1
392	в той	2	1
393	большую высоту	1	1
394	а между	1	1
395	это за	1	1
396	к русскому	1	1
397	все это	4	1
398	ставрогина он	3	1
399	письме к	4	1
400	уж конечно	1	1
401	которых он	1	1
402	это можно	1	1
403	на большую	1	1
404	целый ряд	4	1
405	о достоевском	2	1
406	и верил	1	1
407	конце концов	1	1
408	за него	1	1
409	более всего	1	1
410	только что	1	1
411	чувствовал себя	1	1
412	могли быть	2	1
413	нем самом	1	1
414	а о	1	1
415	они как	1	1
416	в тридцать	1	1
417	по которой	1	1
418	из этого	1	1
419	сам в	1	1
420	в свое	1	1
421	ставрогина и	3	1
422	к этой	1	1
423	и наказании	1	1
424	к этому	3	1
425	как на	1	1
