N	2gram	Vinokur_St_3	NovoeSre
145	формы и	1	2
146	в русском	2	2
147	хотя бы	1	2
148	все они	3	2
149	а в	6	2
150	когда мы	1	2
151	могут быть	2	2
152	можно назвать	4	2
153	не имел	2	1
154	для себя	1	1
155	он может	2	1
156	тут нет	1	1
157	он давал	1	1
158	переход от	1	1
159	слишком большой	1	1
160	россии в	1	1
161	перед лицом	1	1
162	по преимуществу	1	1
163	приводит к	1	1
164	и до	1	1
165	на западе	1	1
166	был и	1	1
167	и этот	1	1
168	в образе	1	1
169	на нее	2	1
170	и искать	1	1
171	и которые	2	1
172	века как	1	1
173	во многом	2	1
174	с ним	1	1
175	можно сказать	4	1
176	говорить о	3	1
177	понять смысл	1	1
178	на себя	1	1
179	эпохи в	1	1
180	он принадлежал	1	1
181	как я	2	1
182	то это	1	1
183	не был	2	1
184	в виду	2	1
185	с большим	1	1
186	думаю что	2	1
187	вопрос об	1	1
188	на нем	1	1
189	себя а	1	1
190	что его	2	1
191	в чем	4	1
192	это была	1	1
193	и во	2	1
194	своего рода	3	1
195	к нему	4	1
196	россии и	2	1
197	то он	2	1
198	вопросу о	1	1
199	над этой	1	1
200	в его	12	1
201	культуру и	1	1
202	я думаю	2	1
203	и только	2	1
204	которые они	1	1
205	движения в	2	1
206	начала xix	1	1
207	и она	1	1
208	нет надобности	1	1
209	в значительной	1	1
210	к которому	3	1
211	в своем	1	1
212	как например	8	1
213	и нет	1	1
214	известном смысле	1	1
215	в формах	1	1
216	что нет	1	1
217	истории он	1	1
218	говорит что	5	1
219	не выходила	1	1
220	что он	19	1
221	в каком-то	1	1
222	только в	6	1
223	по своей	1	1
224	от этого	1	1
225	думаю и	1	1
226	в самом	2	1
227	не хочет	1	1
228	он действует	1	1
229	то время	4	1
230	из этих	6	1
231	приобретает характер	1	1
232	в известном	1	1
233	для всех	1	1
234	но во	1	1
235	и у	2	1
236	уже в	3	1
237	отнести к	1	1
238	человек не	1	1
239	раньше чем	3	1
240	от других	1	1
241	идей и	1	1
242	в статье	2	1
243	из них	1	1
244	для того	2	1
245	и их	1	1
246	я давно	1	1
247	всяком случае	4	1
248	и когда	1	1
249	слова в	1	1
250	в конце	6	1
251	но те	1	1
252	друг друга	1	1
253	не случайно	1	1
254	тем что	19	1
255	к той	1	1
256	в нее	1	1
257	от того	2	1
258	вот что	3	1
259	но все	2	1
260	от нее	3	1
261	это значит	1	1
262	в последние	1	1
263	о русском	2	1
264	не были	1	1
265	возможно что	1	1
266	ней и	1	1
267	из всех	1	1
268	а по	2	1
269	пришли к	2	1
270	и из	1	1
271	знает что	1	1
272	общества в	2	1
273	был в	1	1
274	нельзя сказать	3	1
275	было бы	7	1
276	а это	1	1
277	было и	1	1
278	во внешней	1	1
279	себя и	2	1
280	что не	2	1
281	связано с	5	1
282	к политической	1	1
283	нет в	3	1
284	времени чем	1	1
285	они не	1	1
286	в этой	14	1
287	не на	2	1
288	этого не	1	1
289	долгое время	1	1
290	когда она	1	1
291	что мы	3	1
292	и того	1	1
293	не больше	1	1
294	он и	2	1
295	особенно для	1	1
296	и ему	1	1
297	и еще	1	1
298	эту эпоху	2	1
299	истории для	1	1
300	в эту	4	1
301	в этих	11	1
302	во время	3	1
303	уже давно	1	1
304	в такой	2	1
305	на это	2	1
306	в котором	5	1
307	мы в	1	1
308	не столько	2	1
309	нет ни	1	1
310	пр в	2	1
311	у нас	4	1
312	но он	3	1
313	творчества и	1	1
314	и более	3	1
315	что этот	3	1
316	в состоянии	1	1
317	том смысле	2	1
318	быть не	2	1
319	по себе	1	1
320	в это	2	1
321	в той	1	1
322	нас к	2	1
323	и очень	1	1
324	ему все	1	1
325	нет никакого	3	1
326	от своих	1	1
327	сих пор	2	1
328	так как	3	1
329	что совершается	1	1
330	к вопросу	1	1
331	в сущности	2	1
332	это уже	1	1
333	протяжении всей	1	1
334	истории что	1	1
335	до сих	2	1
336	совершается в	1	1
337	так много	1	1
338	чтобы понять	1	1
339	а к	1	1
340	но также	2	1
341	судьба и	1	1
342	особого рода	1	1
343	бы он	1	1
344	или нет	1	1
345	явление в	1	1
346	которое можно	2	1
347	мыслей и	1	1
348	к этой	2	1
349	к ней	4	1
350	и его	3	1
351	а также	4	1
352	все более	2	1
353	замечательно что	1	1
354	давно уже	1	1
355	вступает в	1	1
356	смысле в	1	1
357	гораздо больше	1	1
358	в области	6	1
359	нет ничего	1	1
360	в период	1	1
361	в каком	4	1
362	в свою	2	1
363	и оно	1	1
364	они написаны	1	1
365	но можно	1	1
366	время но	1	1
367	того же	2	1
368	характерны для	1	1
369	в речах	5	1
370	есть и	1	1
371	ли он	1	1
372	в которой	4	1
373	эти слова	1	1
374	во всяком	4	1
375	то они	1	1
376	того времени	3	1
377	я могу	1	1
378	как на	6	1
379	все что	1	1
380	него как	1	1
381	он часто	1	1
