N	2gram	Vinokur_St_2	VeschiIm
292	при чем	1	2
293	них и	1	2
294	ничем не	1	2
295	о чем	5	2
296	что из	1	2
297	если не	2	2
298	но оно	1	2
299	в частности	4	2
300	говорится о	1	2
301	самого себя	1	2
302	нечто совершенно	1	2
303	кроме того	4	2
304	при всем	1	2
305	явления ее	1	2
306	в более	1	2
307	ли в	1	2
308	но именно	1	2
309	ни к	1	2
310	находим в	2	2
311	отношении к	3	2
312	жизни в	1	2
313	была бы	5	2
314	является и	1	2
315	а я	1	2
316	в своих	1	2
317	так же	3	2
318	во всяком	3	2
319	смысле что	1	2
320	речь идет	4	1
321	с с	1	1
322	от вас	1	1
323	же как	3	1
324	с кем	1	1
325	только потому	2	1
326	идет о	3	1
327	основан на	1	1
328	что когда	1	1
329	по преимуществу	1	1
330	не имеют	1	1
331	тогда я	1	1
332	едва ли	1	1
333	действительности и	1	1
334	в зависимости	1	1
335	бы уже	1	1
336	для своего	2	1
337	в которой	11	1
338	и замечательно	1	1
339	основания и	1	1
340	эстетики и	1	1
341	в полной	2	1
342	вместо того	1	1
343	одного слова	1	1
344	уже в	1	1
345	при таких	1	1
346	годится в	1	1
347	и на	6	1
348	с его	2	1
349	конечно это	1	1
350	чтобы утверждать	1	1
351	а тем	1	1
352	могло быть	3	1
353	имени к	1	1
354	ответ на	1	1
355	в общем	3	1
356	отличие от	2	1
357	судить об	1	1
358	и речи	2	1
359	из таких	2	1
360	нет как	1	1
361	которые не	3	1
362	в истории	2	1
363	что как	1	1
364	имеют и	1	1
365	образцом для	2	1
366	как нам	1	1
367	нельзя было	1	1
368	далее как	1	1
369	хотя и	4	1
370	и к	4	1
371	что этим	1	1
372	важны не	1	1
373	о самом	1	1
374	чего же	1	1
375	и последний	1	1
376	все эти	2	1
377	в этой	2	1
378	всего к	1	1
379	раз в	2	1
380	имеет никакого	1	1
381	зависимости от	1	1
382	и кто	1	1
383	тому же	3	1
384	как он	2	1
385	в определенном	1	1
386	при этом	2	1
387	только себя	1	1
388	еще раньше	1	1
389	формы но	1	1
390	и еще	1	1
391	в понимании	1	1
392	свою собственную	1	1
393	и совершенно	1	1
394	в принципе	1	1
395	к одному	1	1
396	этого вопроса	1	1
397	не к	2	1
398	не как	1	1
399	том чтобы	1	1
400	мало того	1	1
401	его от	1	1
402	и по	3	1
403	одному и	1	1
404	они должны	1	1
405	конечно в	2	1
406	определенном направлении	1	1
407	разница между	1	1
408	входя в	1	1
409	вопрос действительно	1	1
410	форму и	1	1
411	должен был	4	1
412	в это	2	1
413	который сам	1	1
414	во многом	2	1
415	в них	2	1
416	а за	1	1
417	он и	1	1
418	более глубокого	1	1
419	всякого сомнения	2	1
420	ничем существенным	1	1
421	она была	1	1
422	что собственно	2	1
423	нет никакого	2	1
424	с ума	1	1
425	этом случае	1	1
426	нас не	2	1
427	и без	1	1
428	уже к	1	1
429	в котором	7	1
430	то для	1	1
431	представление о	1	1
432	то его	1	1
433	в отличие	2	1
434	от его	2	1
435	поэтому в	1	1
436	что было	2	1
437	не могли	2	1
438	внимании к	1	1
439	где нет	2	1
440	даже в	2	1
441	нас к	1	1
442	и очень	1	1
443	какие бы	1	1
444	что эта	3	1
445	что с	2	1
446	иной раз	1	1
447	дело не	2	1
448	не имеет	2	1
449	каких условиях	1	1
450	к новым	1	1
451	относясь к	1	1
452	было не	1	1
453	всех языках	1	1
454	например что	2	1
455	с и	2	1
456	взглянуть на	2	1
457	о них	1	1
458	это еще	2	1
459	на меня	2	1
460	к подлинному	2	1
461	больше чем	1	1
462	это слово	3	1
463	до того	4	1
464	только с	2	1
465	и уходит	1	1
466	в каком	2	1
467	свое собственное	1	1
468	нет ни	1	1
469	не могут	1	1
470	разумеется все	1	1
471	которого я	1	1
472	но также	4	1
473	отказаться от	1	1
474	утверждать что	2	1
475	ничего общего	1	1
476	что вы	1	1
477	им в	1	1
478	в конце	2	1
479	как не	1	1
480	что составляет	1	1
481	только при	1	1
482	и от	1	1
483	только не	2	1
484	него самого	2	1
485	с самого	3	1
486	ни под	1	1
487	то время	1	1
488	в пределах	1	1
489	не те	1	1
490	однако если	1	1
491	на том	1	1
492	в живых	1	1
493	что у	4	1
494	в другом	4	1
495	на нее	3	1
496	есть также	1	1
497	что также	1	1
498	на которую	1	1
499	с реальными	1	1
500	необходимой для	1	1
501	разумеется это	1	1
502	другое дело	3	1
503	говорят что	2	1
504	связанное с	1	1
505	быть ни	1	1
506	искусства и	2	1
507	не был	3	1
508	вот почему	1	1
509	говорит об	2	1
510	понимая что	1	1
511	и который	2	1
512	а также	2	1
513	должно было	3	1
514	пр но	1	1
515	связь между	1	1
516	на своих	1	1
517	я укажу	1	1
518	от них	1	1
519	нуждается в	1	1
520	чисто смыслового	1	1
521	чем и	1	1
522	частью в	1	1
523	на рассмотрение	1	1
524	каких бы	1	1
525	не зная	1	1
526	к которому	1	1
527	этом смысле	1	1
528	одного из	1	1
529	но с	4	1
530	в двух	1	1
531	не стану	1	1
532	речи о	1	1
533	в какой	2	1
534	не было	3	1
535	в выражении	1	1
536	с какой	1	1
537	существенным и	1	1
538	конечно не	1	1
539	в начале	3	1
540	ее из	1	1
541	от других	1	1
542	при помощи	4	1
543	эту формулу	1	1
544	зрения на	1	1
545	очевидно что	2	1
546	этом в	1	1
547	себе в	1	1
548	всяком случае	3	1
549	и также	1	1
550	сами по	2	1
551	участвовать в	1	1
552	вовсе не	6	1
553	не о	1	1
554	как его	1	1
555	у него	1	1
556	с искусством	1	1
557	и вместе	1	1
558	нужно сказать	1	1
559	в очень	1	1
560	зрения этого	1	1
561	до сих	6	1
562	не входя	1	1
563	к которым	1	1
564	не знали	5	1
565	или о	1	1
566	говорит о	2	1
567	в некоторых	2	1
568	в движении	2	1
569	и самый	2	1
570	жизнь в	1	1
571	его как	2	1
572	могу судить	1	1
573	этом основании	1	1
574	с которым	1	1
575	входить в	1	1
576	эти принципа	1	1
577	всем что	1	1
578	очень важно	1	1
579	о чем-нибудь	1	1
580	таких условиях	1	1
581	из этой	2	1
582	по существу	2	1
583	на какие	2	1
584	очевидный факт	1	1
585	том смысле	2	1
586	и тому	1	1
587	сих пор	5	1
588	но для	1	1
589	дает возможность	1	1
590	на одной	1	1
591	не является	3	1
592	являются не	1	1
593	отвечает на	1	1
594	или должно	1	1
595	или в	1	1
596	они говорят	2	1
597	и смысл	1	1
598	случае и	1	1
599	конце концов	1	1
600	очень хорошо	2	1
601	нет что	1	1
602	а н	1	1
603	к самому	1	1
604	одной из	3	1
605	к какому	1	1
606	существование и	1	1
607	в моем	1	1
608	другой стороны	3	1
609	другой в	1	1
610	к его	1	1
611	это положение	1	1
612	по одному	1	1
613	я это	1	1
614	из этого	1	1
615	сам в	1	1
616	только о	2	1
617	которым они	1	1
618	но эти	1	1
619	к этой	1	1
620	своей части	1	1
621	я могу	1	1
622	к этому	4	1
623	доступ к	1	1
624	можно назвать	1	1
625	в таком	1	1
626	они не	2	1
627	гораздо более	1	1
628	которая не	1	1
