N	2gram	Vinokur_St_1	EvropaiE
476	заключалась в	1	1
477	господствующей в	1	1
478	еще в	1	1
479	когда в	1	1
480	к отысканию	1	1
481	является в	1	1
482	поэтому в	3	1
483	той области	1	1
484	которая в	1	1
485	и вообще	3	1
486	некоторых из	1	1
487	на вопрос	4	1
488	внимание на	3	1
489	его жизни	3	1
490	может не	2	1
491	времени в	1	1
492	это может	1	1
493	однако с	1	1
494	которые мы	1	1
495	и всякая	1	1
496	большее значение	1	1
497	быть установлены	1	1
498	и наука	1	1
499	которая должна	1	1
500	того в	1	1
501	при прочих	1	1
502	в лучшем	1	1
503	значит что	3	1
504	быть и	2	1
505	в двух	3	1
506	тот же	1	1
507	будут встречаться	1	1
508	дело с	2	1
509	всех этих	2	1
510	в угоду	1	1
511	как нечто	1	1
512	это стремление	1	1
513	что как	2	1
514	который в	1	1
515	или же	2	1
516	по этому	3	1
517	больше чем	2	1
518	с которыми	2	1
519	ведь в	1	1
520	конечно не	2	1
521	уже не	1	1
522	уже в	2	1
523	если мы	1	1
524	всем его	1	1
525	в начале	3	1
526	что не	3	1
527	этот раз	2	1
528	например к	1	1
529	одно из	2	1
530	для него	6	1
531	и их	2	1
532	представить себе	1	1
533	мы находим	4	1
534	значении которое	1	1
535	не о	1	1
536	чем меньше	1	1
537	от того	1	1
538	г д	1	1
539	и научное	1	1
540	в ошибках	1	1
541	или иное	3	1
542	и неизвестно	1	1
543	даже не	4	1
544	а на	3	1
545	или иначе	2	1
546	что тот	1	1
547	к которому	4	1
548	с той	1	1
549	в ряде	1	1
550	ряде случаев	1	1
551	одних и	1	1
552	оценку той	1	1
553	что для	3	1
554	обратиться к	1	1
555	в соответствии	1	1
556	не было	4	1
557	которых мы	1	1
558	и далее	1	1
559	так называемой	2	1
560	вопрос можно	1	1
561	о реальном	2	1
562	которые по	1	1
563	него не	1	1
564	что мы	5	1
565	оснований для	1	1
566	если не	2	1
567	xx века	1	1
568	именно поэтому	1	1
569	уже о	5	1
570	несомненным что	2	1
571	что во	2	1
572	довольно близко	1	1
573	многих случаях	2	1
574	а если	2	1
575	это были	1	1
576	с некоторыми	1	1
577	есть только	2	1
578	и впредь	1	1
579	случае она	1	1
580	том смысле	2	1
581	этого слова	2	1
582	общим правилом	1	1
583	лучшем случае	1	1
584	и новой	1	1
585	чем та	1	1
586	ближе к	1	1
587	более того	1	1
588	с полной	1	1
589	вопрос в	3	1
590	указать на	1	1
591	самое простое	1	1
592	при таком	2	1
593	это можно	3	1
594	что оно	3	1
595	та и	1	1
596	о котором	2	1
597	в отдельных	1	1
598	в третьем	1	1
599	пришлось бы	1	1
600	но это	6	1
601	бы на	1	1
602	и другие	1	1
603	всякая иная	1	1
604	именно об	1	1
605	с ней	1	1
606	же будет	1	1
607	не быть	1	1
608	ни была	1	1
609	в последнем	1	1
610	оно не	1	1
611	сам в	2	1
612	в свое	2	1
613	время не	1	1
614	к числу	2	1
615	включает в	1	1
616	это в	4	1
617	который не	2	1
618	можно назвать	2	1
619	том числе	2	1
620	гораздо более	4	1
621	смысле что	1	1
