N	2gram	Nazirov_Vr_1	DiskursI
311	только по	1	1
312	за год	2	1
313	несмотря на	4	1
314	в связи	3	1
315	с помощью	1	1
316	по праву	1	1
317	вместе с	2	1
318	человека к	1	1
319	он ее	1	1
320	наряду с	3	1
321	в той	2	1
322	восходят к	1	1
323	да и	1	1
324	романе достоевского	1	1
325	спросить о	1	1
326	только о	1	1
327	быть и	1	1
328	сих пор	1	1
329	в основном	1	1
330	оба они	1	1
331	не об	1	1
332	в чем	3	1
333	ближе к	1	1
334	общие черты	1	1
335	годов в	1	1
336	судьбы они	1	1
337	я всегда	1	1
338	это как	1	1
339	у достоевского	4	1
340	от того	1	1
341	тем более	2	1
342	но это	2	1
343	она же	1	1
344	могли быть	2	1
345	как принципиально	1	1
346	отношении к	1	1
347	не являются	1	1
348	в период	2	1
349	записи из	1	1
350	в свое	1	1
351	которому в	1	1
352	который не	1	1
353	в таком	1	1
