N	2gram	Losev_Vlad_3	KFilosof
164	себя как	1	2
165	чтобы не	1	2
166	мы здесь	1	2
167	и то	9	2
168	я и	1	2
169	это и	1	2
170	едва ли	11	2
171	есть на	1	2
172	поскольку она	1	2
173	на первом	3	2
174	вопрос о	4	2
175	только это	1	2
176	этот факт	1	2
177	не нужно	2	2
178	и конечно	1	2
179	за свое	2	2
180	с его	2	2
181	совсем не	5	2
182	в данном	5	2
183	к которой	1	2
184	свою жизнь	1	2
185	в теоретической	2	2
186	один и	1	2
187	своему внутреннему	1	2
188	же с	7	2
189	и специально	1	2
190	как в	1	2
191	сознания в	1	2
192	и как	7	2
193	от этого	2	2
194	та же	1	2
195	думать что	1	2
196	в этой	8	2
197	человек не	1	2
198	есть именно	1	2
199	в виде	13	2
200	так и	6	2
201	то ни	3	2
202	не будет	6	2
203	конечно в	1	2
204	действительности в	1	2
205	и мы	1	2
206	он ни	2	2
207	в жизни	2	2
208	бытие и	3	2
209	с тем	7	2
210	и само	2	2
211	жизни но	1	2
212	философии в	2	2
213	но я	1	2
214	можно ли	2	2
215	как предмет	1	2
216	есть его	1	2
217	тем не	10	2
218	войти в	1	2
219	по себе	6	2
220	случае мы	1	2
221	тому что	4	2
222	раз и	8	2
223	что есть	3	2
224	возможным и	1	2
225	что эта	2	2
226	мышления и	1	2
227	дело в	5	2
228	в процессе	1	2
229	сознания как	1	2
230	того чтобы	3	2
231	же время	2	2
232	бы он	1	2
233	может представиться	1	2
234	той или	2	2
235	оно не	3	2
236	ничего общего	5	2
237	можно и	1	2
238	всей своей	2	2
239	жизнь и	3	2
240	постольку поскольку	1	2
241	философии жизни	3	2
242	даны в	1	2
243	сводится к	3	2
244	может не	1	2
245	бы то	3	2
246	и просто	1	2
247	основе своей	1	2
248	все во	1	2
249	или как	4	2
250	однако что	1	2
251	вся эта	1	2
252	может иметь	1	2
253	и она	1	2
254	познания в	2	2
255	мысль и	1	2
256	что только	1	2
257	что он	5	2
258	философии но	4	2
259	а с	4	2
260	в качестве	3	2
261	него и	1	2
262	а это	1	2
263	и других	1	2
264	лишь постольку	1	2
265	и навсегда	1	2
266	содержания и	2	2
267	не о	2	2
268	себе а	1	2
269	или иной	1	2
270	ли это	1	2
271	себя и	1	2
272	прежде всего	10	2
273	смысла и	1	2
274	если не	6	2
275	и потому	10	2
276	его на	1	2
277	это есть	10	2
278	в это	2	2
279	этого слова	1	2
280	первом плане	3	2
281	при условии	2	2
282	но для	3	2
283	которой он	1	2
284	это можно	1	2
285	еще более	1	2
286	ни к	2	2
287	потому что	11	2
288	отношении к	1	2
289	но этот	1	2
290	которой я	1	2
291	и эта	3	2
292	к этому	2	2
293	не зависит	1	1
294	нужно помнить	1	1
295	как просто	1	1
296	смысле слова	6	1
297	также и	17	1
298	человека и	3	1
299	и понимает	1	1
300	бы для	1	1
301	здесь и	2	1
302	в чисто	1	1
303	не имеют	2	1
304	отношения к	5	1
305	мы уже	5	1
306	его не	1	1
307	из всех	1	1
308	не спасает	1	1
309	не делает	1	1
310	разума с	1	1
311	науки и	1	1
312	и абсолютная	1	1
313	он как	1	1
314	вся система	2	1
315	философия жизни	1	1
316	в составе	1	1
317	конечно и	1	1
318	и он	1	1
319	и говорить	1	1
320	бесконечен и	1	1
321	освобождения от	1	1
322	не был	8	1
323	в подробный	1	1
324	и мира	1	1
325	сделать ее	1	1
326	конечно это	1	1
327	как таковая	1	1
328	в нашем	2	1
329	а тем	2	1
330	они имеют	1	1
331	мы будем	2	1
332	ни только	2	1
333	черты и	1	1
334	само это	2	1
335	него с	1	1
336	себя некоторый	1	1
337	и будет	1	1
338	не просто	10	1
339	есть просто	2	1
340	и могло	2	1
341	определяется не	1	1
342	решения этой	1	1
343	и предметом	1	1
344	в истории	5	1
345	его я	1	1
346	с этим	2	1
347	как начало	1	1
348	категории а	1	1
349	философии как	1	1
350	даже трудно	1	1
351	хотя и	7	1
352	и наконец	2	1
353	не являются	1	1
354	и к	2	1
355	в действительности	1	1
356	и свою	1	1
357	в этот	2	1
358	в самом	4	1
359	в которой	2	1
360	философия в	3	1
361	другого как	1	1
362	свое бытие	6	1
363	в известном	1	1
364	но его	1	1
365	теоретической философии	20	1
366	на то	4	1
367	люди а	1	1
368	его но	1	1
369	эту мысль	1	1
370	что она	2	1
371	имеем не	1	1
372	сказать в	1	1
373	а скорее	2	1
374	она становится	1	1
375	перестает быть	1	1
376	не к	2	1
377	прочим и	1	1
378	образом и	1	1
379	оно должно	4	1
380	в понятии	1	1
381	содержит в	5	1
382	их в	1	1
383	его от	1	1
384	и по	2	1
385	стать действительно	1	1
386	этом последнем	1	1
387	том же	1	1
388	подход к	1	1
389	этим самым	1	1
390	всякое живое	1	1
391	же не	2	1
392	подробный анализ	1	1
393	что мир	1	1
394	том случае	3	1
395	об этом	6	1
396	и с	9	1
397	то есть	24	1
398	это было	3	1
399	теоретическая философия	11	1
400	а есть	2	1
401	на почве	2	1
402	всю свою	1	1
403	должен был	2	1
404	ведь если	4	1
405	смысле совокупности	1	1
406	все равно	1	1
407	были в	2	1
408	как действительной	1	1
409	этого не	3	1
410	несмотря на	7	1
411	чем в	4	1
412	такой же	4	1
413	в один	1	1
414	не мог	6	1
415	в этих	2	1
416	от своего	1	1
417	она сама	1	1
418	и поскольку	1	1
419	и тут	3	1
420	еще менее	1	1
421	какие бы	1	1
422	как все	1	1
423	всяком случае	3	1
424	то для	1	1
425	она в	1	1
426	мы найдем	1	1
427	все и	2	1
428	признать что	1	1
429	не путем	1	1
430	является только	1	1
431	сам же	2	1
432	философское мышление	1	1
433	не будем	1	1
434	и полная	1	1
435	но он	1	1
436	в философии	3	1
437	имеет смысл	1	1
438	начало а	1	1
439	любви и	1	1
440	в отношении	5	1
441	с которой	1	1
442	она не	2	1
443	здесь входить	1	1
444	одна из	1	1
445	смысле и	1	1
446	с него	1	1
447	при нашем	1	1
448	и имеет	1	1
449	но только	2	1
450	не могло	1	1
451	для всего	1	1
452	это с	1	1
453	только не	1	1
454	следовательно и	1	1
455	бытия есть	1	1
456	к каждой	1	1
457	между прочим	5	1
458	по своей	2	1
459	ему и	1	1
460	это слово	1	1
461	к этим	1	1
462	и теперь	1	1
463	здесь же	2	1
464	то этот	1	1
465	через эту	1	1
466	до того	1	1
467	не является	2	1
468	точке зрения	2	1
469	конечно здесь	1	1
470	только от	1	1
471	именно оно	1	1
472	в специальном	1	1
473	которых он	2	1
474	исходить из	1	1
475	у канта	1	1
476	как всякое	1	1
477	и должно	1	1
478	есть только	9	1
479	и такие	1	1
480	и всех	1	1
481	отличается от	3	1
482	всего в	1	1
483	к тому	7	1
484	и мне	1	1
485	него как	3	1
486	и востока	1	1
487	своего развития	1	1
488	если мы	4	1
489	и о	4	1
490	с ее	1	1
491	что все	7	1
492	как не	2	1
493	фактически это	1	1
494	всего этого	1	1
495	истории философии	3	1
496	и от	6	1
497	но мы	2	1
498	можно говорить	1	1
499	как с	2	1
500	не за	1	1
501	не с	4	1
502	его совершенно	1	1
503	особенно в	1	1
504	мы только	1	1
505	как мой	1	1
506	и религии	1	1
507	мог бы	4	1
508	и каждый	1	1
509	как таковую	1	1
510	подойти к	1	1
511	можно только	2	1
512	и всякого	2	1
513	собой и	1	1
514	в настоящее	3	1
515	и даже	6	1
516	находится в	3	1
517	моменты или	1	1
518	все дело	1	1
519	каждый раз	1	1
520	теряя своей	1	1
521	на все	1	1
522	возможна только	2	1
523	преодолеть его	1	1
524	нашей работы	1	1
525	другими словами	1	1
526	настоящее время	3	1
527	не содержит	2	1
528	она всегда	1	1
529	можно сказать	1	1
530	правда его	1	1
531	ли она	1	1
532	не выходит	1	1
533	ни на	2	1
534	и во	1	1
535	а во	1	1
536	все в	1	1
537	к добру	2	1
538	которой мы	1	1
539	когда оно	2	1
540	нуждается в	1	1
541	мы ни	1	1
542	и можно	4	1
543	но нельзя	3	1
544	вообще и	1	1
545	даже для	1	1
546	сказать и	1	1
547	если это	1	1
548	с нашей	1	1
549	в каких	2	1
550	в литературе	1	1
551	ровно ничего	2	1
552	значит что	6	1
553	известном смысле	1	1
554	один из	1	1
555	но с	2	1
556	всю историю	1	1
557	мы видим	1	1
558	одной из	2	1
559	в какой	2	1
560	и живое	1	1
561	то прежде	1	1
562	и так	2	1
563	это очень	1	1
564	своего свободного	1	1
565	их не	1	1
566	а только	7	1
567	только при	4	1
568	же и	2	1
569	не можем	2	1
570	только на	5	1
571	первые три	1	1
572	время является	1	1
573	и чисто	3	1
574	мир и	1	1
575	а то	2	1
576	то только	1	1
577	в душе	1	1
578	растворяется в	1	1
579	факт но	1	1
580	только к	2	1
581	признать его	1	1
582	него нет	1	1
583	себе в	2	1
584	и последняя	1	1
585	говорить об	1	1
586	случае когда	1	1
587	не для	1	1
588	так как	7	1
589	друг друга	2	1
590	если оно	4	1
591	к человеку	1	1
592	само по	3	1
593	но уже	2	1
594	и никогда	1	1
595	как раз	10	1
596	да это	1	1
597	попытки преодолеть	1	1
598	основы жизни	2	1
599	не расчлененный	1	1
600	но из	1	1
601	это будет	1	1
602	живой жизни	2	1
603	никогда и	2	1
604	и теоретически	1	1
605	не теряя	1	1
606	не единственное	1	1
607	говорим о	1	1
608	и из	1	1
609	истина и	3	1
610	отличаются от	1	1
611	здесь в	4	1
612	а именно	12	1
613	и самая	2	1
614	на чем	1	1
615	во второй	1	1
616	системой логических	1	1
617	и др	1	1
618	но о	3	1
619	противном случае	1	1
620	этот термин	1	1
621	притом не	1	1
622	это бытие	1	1
623	мой и	1	1
624	уже давно	1	1
625	здесь дело	1	1
626	она является	1	1
627	в теософии	1	1
628	человеческой жизни	1	1
629	с которым	1	1
630	понятие о	2	1
631	что мы	2	1
632	это дело	1	1
633	эти бесконечные	1	1
634	и всякое	1	1
635	факта но	1	1
636	нет ничего	2	1
637	нас своим	1	1
638	ведь только	1	1
639	него в	4	1
640	вместе с	7	1
641	к его	2	1
642	противоречие с	1	1
643	мы говорим	1	1
644	в духе	3	1
645	дать в	1	1
646	чисто теоретический	1	1
647	из которых	1	1
648	к бытию	1	1
649	еще на	1	1
650	ли его	1	1
651	но сам	1	1
652	когда мы	1	1
653	его теоретической	3	1
654	заговорил о	1	1
655	самого себя	2	1
656	эта в	1	1
657	в первой	1	1
658	это значит	6	1
659	в человеке	1	1
660	том смысле	1	1
661	этого факта	2	1
662	было ни	1	1
663	слова и	1	1
664	не касается	1	1
665	своей жизни	1	1
666	только для	1	1
667	и таким	1	1
668	же самое	3	1
669	в противном	1	1
670	что историческое	1	1
671	должны быть	1	1
672	не раз	1	1
673	вне его	1	1
674	она должна	2	1
675	относиться к	1	1
676	ее содержания	1	1
677	но такой	2	1
678	не существует	2	1
679	что делает	1	1
680	не подлежит	1	1
681	уже чисто	1	1
682	а к	1	1
683	когда он	1	1
684	больше и	2	1
685	но совсем	1	1
686	мы должны	4	1
687	только что	2	1
688	все они	2	1
689	теории а	1	1
690	или не	3	1
691	же в	3	1
692	за этим	1	1
693	но оно	2	1
694	приходится признать	1	1
695	о примате	1	1
696	между ними	1	1
697	с ней	1	1
698	в материальной	2	1
699	того же	2	1
700	является и	1	1
701	жизни а	2	1
702	все люди	1	1
703	в последнем	1	1
704	я это	1	1
705	бы его	1	1
706	философии это	2	1
707	утверждать что	1	1
708	включает в	1	1
709	но эти	1	1
710	ее в	3	1
711	по поводу	1	1
712	иные моменты	1	1
713	который не	1	1
714	гораздо более	1	1
715	во всяком	3	1
716	все что	1	1
717	они не	1	1
718	ибо это	1	1
