N	2gram	Trubetskoy_1	NovoeSre
165	она оказалась	1	1
166	от этой	1	1
167	и через	1	1
168	становится в	1	1
169	людей в	1	1
170	для себя	1	1
171	он может	1	1
172	этого мира	1	1
173	и запада	1	1
174	приводит к	2	1
175	как результат	1	1
176	и до	1	1
177	культуры на	2	1
178	на западе	3	1
179	и этот	1	1
180	в образе	2	1
181	с собой	1	1
182	на нее	3	1
183	мы уже	1	1
184	не с	2	1
185	к тем	1	1
186	прошлом в	1	1
187	существует что	1	1
188	мир не	1	1
189	к новой	1	1
190	запада и	1	1
191	с ним	1	1
192	можно сказать	3	1
193	это всегда	1	1
194	оно есть	1	1
195	духовной и	1	1
196	под этим	1	1
197	не был	1	1
198	в виду	2	1
199	жизни это	1	1
200	еще при	1	1
201	на них	1	1
202	что его	1	1
203	в чем	1	1
204	и во	1	1
205	все в	1	1
206	не могут	2	1
207	в которую	1	1
208	к нему	7	1
209	всю духовную	1	1
210	научного метода	1	1
211	в его	5	1
212	культуру и	1	1
213	отличие от	1	1
214	и только	4	1
215	востока и	2	1
216	и духовной	1	1
217	в значительной	3	1
218	к которому	2	1
219	в своем	3	1
220	и нет	3	1
221	на человека	1	1
222	стихии и	2	1
223	человека в	1	1
224	материальные и	1	1
225	связанный с	2	1
226	что он	4	1
227	только в	4	1
228	по своей	2	1
229	с душой	1	1
230	от этого	1	1
231	в этот	1	1
232	период истории	1	1
233	в самом	4	1
234	к чему	1	1
235	она скорее	1	1
236	а во-вторых	1	1
237	то время	1	1
238	он в	2	1
239	бога в	1	1
240	из этих	10	1
241	тоже не	1	1
242	к достижению	3	1
243	для всех	2	1
244	мира то	1	1
245	и у	8	1
246	уже в	2	1
247	есть проблема	1	1
248	духовной культуры	3	1
249	существования и	1	1
250	свидетельствует о	2	1
251	религия и	1	1
252	вера в	1	1
253	из них	7	1
254	к своим	4	1
255	для того	5	1
256	и их	1	1
257	всяком случае	6	1
258	к одному	1	1
259	народ не	1	1
260	сами по	1	1
261	по всем	1	1
262	в конце	6	1
263	который можно	1	1
264	не для	1	1
265	про него	1	1
266	друг друга	1	1
267	бытия и	1	1
268	людей и	2	1
269	тем что	1	1
270	заключает в	2	1
271	перед ними	1	1
272	и вместе	4	1
273	но все	7	1
274	жить в	1	1
275	от нее	1	1
276	к старым	1	1
277	значение в	1	1
278	до начала	1	1
279	не были	1	1
280	возможно что	1	1
281	ней и	1	1
282	из всех	3	1
283	них не	2	1
284	а по	1	1
285	и из	2	1
286	видел не	1	1
287	с другими	4	1
288	всех народов	1	1
289	нельзя сказать	1	1
290	было бы	1	1
291	сам себя	1	1
292	от неба	1	1
293	лишь на	1	1
294	весь мир	1	1
295	лишь по	1	1
296	как существо	1	1
297	в отличие	1	1
298	социальной жизни	1	1
299	с богом	1	1
300	борьбой с	1	1
301	религиозного сознания	6	1
302	связано с	2	1
303	их не	1	1
304	превращается в	2	1
305	нет в	1	1
306	есть соединение	1	1
307	они не	1	1
308	в этой	4	1
309	ничем не	4	1
310	не всегда	2	1
311	жизнь в	1	1
312	в космосе	1	1
313	человеческой жизни	1	1
314	бог и	1	1
315	русского народа	3	1
316	когда она	1	1
317	что мы	2	1
318	и того	1	1
319	одного и	1	1
320	перед собой	1	1
321	эту эпоху	1	1
322	в эту	2	1
323	в этих	4	1
324	во время	4	1
325	уже давно	2	1
326	и счастья	1	1
327	но если	2	1
328	нет для	2	1
329	и сейчас	2	1
330	и особенно	2	1
331	в такой	1	1
332	на это	1	1
333	в котором	4	1
334	только для	2	1
335	одну из	1	1
336	богу или	1	1
337	форме он	1	1
338	и мир	2	1
339	не должно	1	1
340	дальнейшее развитие	1	1
341	у нас	1	1
342	жизни с	1	1
343	у христианских	1	1
344	духовную жизнь	1	1
345	в силу	5	1
346	не удалось	1	1
347	эти черты	2	1
348	мы должны	6	1
349	и более	1	1
350	их в	1	1
351	получает свое	1	1
352	мира с	1	1
353	по себе	1	1
354	в той	1	1
355	совершенно так	1	1
356	культуры мы	1	1
357	сих пор	5	1
358	так как	9	1
359	привела к	1	1
360	не осталось	1	1
361	в познании	1	1
362	должны быть	1	1
363	видят в	1	1
364	в сущности	1	1
365	материальной культуре	1	1
366	не по	1	1
367	это уже	1	1
368	человек поставивший	1	1
369	убеждения в	1	1
370	ей придется	1	1
371	было лишь	1	1
372	до сих	5	1
373	основанная на	1	1
374	совершается в	1	1
375	в христианстве	1	1
376	всего что	1	1
377	они являются	1	1
378	русский народ	3	1
379	к этой	1	1
380	дни и	1	1
381	что оставалось	1	1
382	и его	1	1
383	а также	2	1
384	в чудовищных	1	1
385	народной стихии	6	1
386	все более	1	1
387	замечательно что	1	1
388	давно уже	1	1
389	целью человека	1	1
390	или к	1	1
391	культура была	1	1
392	в области	9	1
393	нет ничего	1	1
394	в каком	1	1
395	в свою	2	1
396	личности с	1	1
397	того же	6	1
398	характерны для	1	1
399	жизни а	1	1
400	выход из	2	1
401	людей но	1	1
402	в которой	3	1
403	числе и	4	1
404	силы а	1	1
405	эти слова	1	1
406	на путь	1	1
407	т.е к	1	1
408	во всяком	6	1
409	то они	1	1
410	и духовные	1	1
411	как на	8	1
412	все что	2	1
413	том числе	5	1
