N	2gram	Vinokur_St_1	VelikijI
283	в государственном	1	1
284	стороны в	2	1
285	места в	2	1
286	него в	1	1
287	вместе с	1	1
288	так же	5	1
289	как это	4	1
290	то есть	2	1
291	есть такое	1	1
292	мы в	1	1
293	еще с	1	1
294	у нас	11	1
295	в которых	5	1
296	было написано	1	1
297	что тот	1	1
298	в одном	1	1
299	но я	4	1
300	по крайней	2	1
301	и смерти	1	1
302	этого слова	2	1
303	с этой	3	1
304	и очень	4	1
305	нет никакого	1	1
306	можно ли	4	1
307	равно не	1	1
308	как можно	2	1
309	ни для	1	1
310	из нас	1	1
311	такую картину	1	1
312	к ним	1	1
313	и другое	1	1
314	и новой	1	1
315	на котором	1	1
316	не по	3	1
317	указать на	1	1
318	не существует	3	1
319	и от	1	1
320	заботиться о	1	1
321	которая в	1	1
322	ничего не	2	1
323	в разных	1	1
324	того как	1	1
325	может быть	15	1
326	влагает в	1	1
327	в третьем	1	1
328	вообще в	1	1
329	конце концов	1	1
330	против того	1	1
331	для полноты	1	1
332	будто бы	3	1
333	это слово	4	1
334	на него	2	1
335	в сознании	2	1
336	но вот	1	1
337	уже и	1	1
338	что на	2	1
339	освобождается от	1	1
340	другой стороны	7	1
341	не быть	1	1
342	но все	4	1
343	недоразумение и	1	1
344	к этому	1	1
345	много места	1	1
346	всего что	1	1
347	и другие	1	1
348	в своих	2	1
349	а того	1	1
350	отказывает в	1	1
351	слова с	1	1
352	в процессе	1	1
353	это в	4	1
354	но к	1	1
355	отказаться от	1	1
356	она не	2	1
357	в роли	1	1
358	они не	1	1
