N	2gram	Losev_Vlad_1	KFilosof
231	поскольку она	1	2
232	как к	2	2
233	что за	1	2
234	и когда	1	2
235	не нужно	1	2
236	в качестве	6	2
237	и эта	1	2
238	себя и	1	2
239	нее в	2	2
240	с его	11	2
241	философии но	2	2
242	если не	3	2
243	мы здесь	1	2
244	философии в	3	2
245	этот факт	2	2
246	в области	1	2
247	или как	1	2
248	не из	2	2
249	его жизни	6	2
250	к этому	6	2
251	и бытие	1	2
252	раз и	3	2
253	что он	12	2
254	и то	10	2
255	к себе	2	2
256	же с	11	2
257	а с	5	2
258	и как	4	2
259	ни к	1	2
260	смысле в	1	2
261	он и	6	2
262	всей его	2	2
263	жизни но	1	2
264	в данном	1	2
265	за его	1	1
266	и затем	2	1
267	и из	3	1
268	ней в	1	1
269	в которой	4	1
270	который и	1	1
271	главным образом	4	1
272	с целью	1	1
273	жизни а	1	1
274	мысли но	1	1
275	и живут	1	1
276	всегда в	1	1
277	в значительной	1	1
278	на его	3	1
279	оказался в	2	1
280	и с	14	1
281	самого себя	1	1
282	во всяком	2	1
283	есть тот	1	1
284	только со	1	1
285	можно сказать	6	1
286	вместе с	3	1
287	всю жизнь	3	1
288	за исключением	1	1
289	но он	5	1
290	или в	1	1
291	в литературе	1	1
292	мир и	1	1
293	того же	6	1
294	или не	1	1
295	однако он	1	1
296	действительно в	1	1
297	его жизнью	1	1
298	его от	1	1
299	значение для	2	1
300	правда не	1	1
301	не к	1	1
302	у меня	2	1
303	чем дальше	1	1
304	как с	1	1
305	просто не	2	1
306	а то	1	1
307	к другим	1	1
308	а именно	2	1
309	связь с	1	1
310	одновременно и	1	1
311	она всегда	2	1
312	на то	5	1
313	человеческой жизни	1	1
314	никого и	1	1
315	говорить в	1	1
316	с ней	1	1
317	необходимо если	1	1
318	настоящее время	1	1
319	как раз	7	1
320	ним в	1	1
321	и так	3	1
322	вообще и	1	1
323	а скорее	1	1
324	и теперь	4	1
325	и во	1	1
326	но мы	2	1
327	и сама	1	1
328	систему и	1	1
329	то есть	3	1
330	но с	1	1
331	второй половине	1	1
332	не содержит	1	1
333	именно что	1	1
334	вообще а	1	1
335	сказать только	1	1
336	нем в	1	1
337	не существует	1	1
338	к моему	1	1
339	об этом	7	1
340	между прочим	11	1
341	в основных	1	1
342	если он	1	1
343	и он	3	1
344	мою жизнь	1	1
345	где же	2	1
346	в нашем	4	1
347	что уже	1	1
348	одно из	1	1
349	принципе как	1	1
350	же в	1	1
351	которой мы	2	1
352	знания в	2	1
353	поэтому он	1	1
354	когда он	5	1
355	в отношении	3	1
356	по своей	4	1
357	не мог	3	1
358	и такие	2	1
359	смысле этого	1	1
360	одной из	2	1
361	но только	3	1
362	что может	1	1
363	как содержание	1	1
364	из жизни	1	1
365	я ее	1	1
366	если это	1	1
367	было конечно	1	1
368	еще на	2	1
369	между ними	1	1
370	и от	5	1
371	а через	1	1
372	отношения к	1	1
373	уже с	1	1
374	следовательно и	1	1
375	не знаю	1	1
376	особенно в	1	1
377	людей но	1	1
378	которые как	1	1
379	и очень	3	1
380	к тому	3	1
381	не имеют	1	1
382	относиться к	1	1
383	и поскольку	1	1
384	к ней	4	1
385	и религии	1	1
386	и единственным	1	1
387	и даже	15	1
388	хотя и	4	1
389	только что	2	1
390	не с	1	1
391	небо в	1	1
392	в этих	1	1
393	из которых	1	1
394	на все	2	1
395	на месте	1	1
396	к такой	1	1
397	и к	6	1
398	подход к	1	1
399	от времени	1	1
400	можно только	1	1
401	просто нет	1	1
402	однако по	1	1
403	факт не	1	1
404	с ее	1	1
405	рационализма и	2	1
406	и через	3	1
407	ее в	1	1
408	с которым	2	1
409	на почве	1	1
410	не стоит	1	1
411	можно говорить	1	1
412	связанная с	1	1
413	только одно	1	1
414	любви к	1	1
415	для самого	1	1
416	до того	1	1
417	к его	3	1
418	она в	1	1
419	своей жизни	2	1
420	были в	2	1
421	а за	1	1
422	новое и	1	1
423	с конкретным	1	1
424	во власти	1	1
425	ее смерти	1	1
426	совершенно разные	1	1
427	я в	1	1
428	свою очередь	1	1
429	поскольку у	1	1
430	остается в	1	1
431	притом не	1	1
432	моменты его	1	1
433	мы должны	2	1
434	я с	1	1
435	которую и	1	1
436	и о	2	1
437	лет она	2	1
438	уже давно	1	1
439	но к	1	1
440	еще одной	1	1
441	конечно невозможно	1	1
442	содержит в	1	1
443	один из	4	1
444	факт и	1	1
445	в истории	4	1
446	только через	1	1
447	заключать в	1	1
448	месте и	1	1
449	от своего	1	1
450	всяком случае	2	1
451	но его	2	1
452	и мысли	1	1
453	и можно	2	1
454	их и	1	1
455	видеть в	1	1
456	все дело	1	1
457	все с	1	1
458	во второй	1	1
459	это было	6	1
460	любви и	1	1
461	что все	2	1
462	ту же	1	1
463	него в	2	1
464	по поводу	12	1
465	сам же	1	1
466	близости к	1	1
467	человека как	3	1
468	этим самым	1	1
469	и кажется	2	1
470	только не	1	1
471	одна из	1	1
472	мы уже	7	1
473	и моей	1	1
474	на этом	2	1
475	самого и	1	1
476	как себя	1	1
477	а к	22	1
478	согласиться с	1	1
479	в настоящее	1	1
480	том же	1	1
481	в самом	2	1
482	то для	1	1
483	воззрения в	1	1
484	себя всю	1	1
485	только к	3	1
486	не для	1	1
487	мысли и	4	1
488	причем все	1	1
489	истины в	1	1
490	мы можем	1	1
491	в историю	1	1
492	она не	1	1
493	также и	10	1
494	более что	2	1
495	поэтому в	1	1
496	не просто	1	1
497	и тут	2	1
498	мы будем	2	1
499	я всегда	1	1
500	что мы	2	1
501	за границей	2	1
502	несмотря на	4	1
503	их в	1	1
504	не раз	4	1
505	в различных	1	1
506	той же	2	1
507	даже для	1	1
508	ведь и	1	1
509	в этот	4	1
510	видением и	1	1
511	истории философии	5	1
512	друг друга	1	1
513	от них	1	1
514	и никогда	2	1
515	тоже только	1	1
516	столь же	1	1
517	но отнюдь	1	1
518	не могло	1	1
519	же самое	1	1
520	данное и	1	1
521	с которой	1	1
522	не был	5	1
523	все что	2	1
524	ему ясно	1	1
525	о его	2	1
526	всего этого	1	1
527	чем в	1	1
528	не следует	1	1
529	и до	2	1
530	образом в	2	1
531	все для	1	1
532	жизнью и	1	1
533	уже нет	1	1
534	что она	2	1
535	по которой	1	1
536	которых он	2	1
537	объективен и	1	1
538	и уже	1	1
539	был не	2	1
540	но уже	1	1
541	не будем	2	1
542	есть только	1	1
543	а во	1	1
544	него с	1	1
545	так как	8	1
546	только на	3	1
547	чувствует себя	1	1
548	нее и	1	1
549	что ему	1	1
550	в философии	2	1
551	уже и	2	1
552	канта и	2	1
553	он как	3	1
554	этой книги	1	1
555	ни один	1	1
556	этого человека	1	1
557	но во	1	1
558	все в	1	1
559	мысль о	1	1
560	как о	1	1
561	и объект	1	1
562	я стал	1	1
563	связь между	1	1
564	в принципиальном	1	1
565	и по	8	1
566	он будет	2	1
