N	2gram	Vinokur_Ku_3	Morfolog
156	смысле слова	2	2
157	как это	7	2
158	тем же	2	2
159	что эти	2	2
160	собственном смысле	2	2
161	не умеем	1	2
162	что изучение	1	2
163	что многие	1	2
164	время как	1	2
165	мы получаем	1	2
166	для наших	1	2
167	который может	1	2
168	чем это	2	2
169	а с	3	2
170	к выполнению	1	2
171	тех случаях	1	2
172	как уже	1	2
173	и к	3	2
174	более или	2	2
175	то в	3	2
176	от покушения	1	2
177	не значит	5	2
178	состоит в	2	2
179	приходим к	1	2
180	можно было	11	2
181	в другом	1	2
182	и иных	1	2
183	этого не	1	2
184	с тем	6	2
185	или менее	2	2
186	для него	1	2
187	и при	2	2
188	что такое	4	2
189	мы приходим	1	2
190	имеется в	1	2
191	что до	1	2
192	нельзя было	1	2
193	и более	3	2
194	однако в	2	2
195	и наоборот	1	2
196	все эти	7	2
197	в таких	2	2
198	всего следует	3	2
199	не имеет	3	2
200	такой случай	1	2
201	и его	1	2
202	так например	1	2
203	в каком	3	2
204	пока нет	1	2
205	бы составить	2	2
206	перейти к	2	2
207	для того	12	2
208	утверждать что	1	2
209	здесь не	2	2
210	можно показать	1	2
211	в собственном	1	2
212	то время	1	2
213	и что	7	2
214	не с	2	2
215	ясно что	4	2
216	с этого	1	2
217	означает что	1	2
218	но здесь	1	2
219	одна форма	1	2
220	о том	6	2
221	с одной	4	2
222	можно сказать	2	2
223	в различных	2	2
224	может не	1	2
225	путь к	2	2
226	образом если	1	2
227	не означает	2	2
228	и только	3	2
229	если за	1	2
230	того что	11	2
231	иных случаях	1	2
232	как например	2	2
233	быть и	1	2
234	можно отметить	1	2
235	хотя бы	9	2
236	к различным	1	2
237	идет по	1	2
238	этот вопрос	3	2
239	что он	6	2
240	или иные	1	2
241	только в	6	2
242	формы которые	1	2
243	можно установить	1	2
244	уже не	8	2
245	вопроса о	3	2
246	в виде	1	2
247	никто не	1	2
248	а на	1	2
249	не знает	2	2
250	сказать что	7	2
251	совершенно одинаково	1	2
252	что мы	2	2
253	в частности	2	2
254	к другой	2	2
255	одной стороны	4	2
256	есть и	1	2
257	или с	1	2
258	но для	3	2
259	вопрос в	2	2
260	случаях когда	1	2
261	стороны ее	1	2
262	тем и	1	2
263	сразу же	2	2
264	от него	1	2
265	или нет	1	2
266	функции не	2	2
267	но вот	1	2
268	например на	1	2
269	одной из	1	2
270	а во	1	2
271	для каждой	2	2
272	в свое	2	2
273	поставить вопрос	1	2
274	к этому	1	2
275	равным образом	1	1
276	на формах	1	1
277	нужно помнить	1	1
278	наши дни	1	1
279	вопрос мы	1	1
280	например в	1	1
281	зрения их	1	1
282	таком случае	2	1
283	самых разнообразных	1	1
284	и то	1	1
285	и должны	1	1
286	сразу и	1	1
287	между двумя	1	1
288	почти всегда	1	1
289	противном случае	1	1
290	уже по	1	1
291	приходит к	1	1
292	чего в	1	1
293	языке нет	2	1
294	есть не	3	1
295	она в	1	1
296	или наоборот	1	1
297	что далеко	1	1
298	ответить на	2	1
299	установить что	1	1
300	о формах	2	1
301	имеет смысла	1	1
302	так чтобы	1	1
303	но она	1	1
304	что это	3	1
305	и такой	2	1
306	морфологических и	1	1
307	конечно и	1	1
308	не совсем	1	1
309	в виду	8	1
310	в числе	4	1
311	оказывается что	1	1
312	может дать	1	1
313	приступаем к	1	1
314	тем как	1	1
315	или во	1	1
316	всякого ущерба	1	1
317	коем случае	1	1
318	мы будем	1	1
319	но как	3	1
320	не то	2	1
321	не входит	1	1
322	случай когда	2	1
323	значение и	1	1
324	как такой	1	1
325	тогда как	1	1
326	отношение к	3	1
327	этой функцией	1	1
328	отличие от	2	1
329	она есть	2	1
330	или иное	2	1
331	в главе	1	1
332	же вопрос	1	1
333	которые не	1	1
334	во что	1	1
335	более чем	2	1
336	метод и	1	1
337	в рамках	5	1
338	если на	1	1
339	дает нам	2	1
340	мы приступаем	1	1
341	что касается	1	1
342	в противном	1	1
343	и отдельно	1	1
344	вопросом о	4	1
345	говорит что	1	1
346	имеет в	2	1
347	этой цели	1	1
348	не такое	1	1
349	не связаны	1	1
350	лишь о	2	1
351	со своей	1	1
352	в которой	1	1
353	к другому	2	1
354	это утверждение	1	1
355	формы в	1	1
356	из этих	5	1
357	одном случае	1	1
358	что пока	1	1
359	не в	5	1
360	думать что	1	1
361	выше было	1	1
362	нами в	1	1
363	и тот	2	1
364	формы не	1	1
365	интересно что	1	1
366	можно себе	1	1
367	а вовсе	1	1
368	достаточный материал	1	1
369	для выделения	1	1
370	что она	5	1
371	по происхождению	2	1
372	главным образом	2	1
373	слова а	1	1
374	всех этих	1	1
375	и вот	3	1
376	в россии	2	1
377	и независимо	1	1
378	лишь с	4	1
379	собственно говоря	1	1
380	русском языке	3	1
381	форма у	1	1
382	в каждом	1	1
383	здесь мы	1	1
384	то ни	1	1
385	связанные с	1	1
386	же касается	1	1
387	конечно в	1	1
388	те или	1	1
389	с другими	2	1
390	ко второму	1	1
391	деле в	1	1
392	и тем	6	1
393	лучше но	1	1
394	даже в	1	1
395	постановка вопроса	1	1
396	известным образом	1	1
397	приветствие и	1	1
398	вводит в	1	1
399	о которых	1	1
400	отказываться от	2	1
401	или три	1	1
402	характерно что	1	1
403	чем в	2	1
404	как таковой	2	1
405	в научной	1	1
406	убедиться что	4	1
407	формы но	2	1
408	и становится	1	1
409	меняется и	2	1
410	переносится в	1	1
411	в наши	1	1
412	имеет ничего	1	1
413	и их	1	1
414	с различными	1	1
415	лежат в	1	1
416	в их	6	1
417	указать что	1	1
418	не столько	4	1
419	использован в	1	1
420	ущерба для	2	1
421	могло бы	3	1
422	что я	1	1
423	значение для	1	1
424	для данного	1	1
425	которые в	4	1
426	при этом	6	1
427	но он	1	1
428	тех которые	1	1
429	все это	2	1
430	не должно	1	1
431	объединены одним	1	1
432	для нее	1	1
433	тому что	4	1
434	она не	3	1
435	задачи и	1	1
436	точно и	1	1
437	стоит в	1	1
438	для меня	2	1
439	что с	1	1
440	меня не	1	1
441	того как	7	1
442	должен решаться	2	1
443	в основе	1	1
444	функцию в	1	1
445	есть путь	1	1
446	дело не	2	1
447	значение этого	1	1
448	же время	1	1
449	до чрезвычайности	1	1
450	постольку поскольку	1	1
451	на те	1	1
452	за исключением	1	1
453	как на	8	1
454	бы по	1	1
455	и делает	1	1
456	такое изучение	3	1
457	тему в	1	1
458	еще резче	1	1
459	у нас	10	1
460	к таким	1	1
461	в коем	1	1
462	он называет	1	1
463	если он	1	1
464	должны быть	1	1
465	всего в	1	1
466	к тому	3	1
467	другими формами	1	1
468	той или	5	1
469	особый смысл	1	1
470	не есть	3	1
471	таких слов	2	1
472	можно вообще	1	1
473	на это	1	1
474	первой же	1	1
475	как не	1	1
476	это будет	1	1
477	без всякого	1	1
478	данном случае	4	1
479	ни стало	1	1
480	а здесь	1	1
481	если о	1	1
482	действия и	1	1
483	на той	1	1
484	ряду с	1	1
485	приводит к	1	1
486	речи т	1	1
487	те случаи	1	1
488	о тех	1	1
489	с известными	1	1
490	те же	7	1
491	здесь как	2	1
492	мог бы	2	1
493	когда в	2	1
494	самых различных	1	1
495	предмет его	1	1
496	и с	3	1
497	же просто	1	1
498	как указано	1	1
499	связанное с	1	1
500	для одной	1	1
501	изучение которое	1	1
502	на вопрос	3	1
503	но мы	2	1
504	что существуют	1	1
505	бы то	1	1
506	и просто	1	1
507	случаев когда	1	1
508	что указанная	1	1
509	пр на	1	1
510	на каком	1	1
511	того или	3	1
512	как они	2	1
513	важно не	1	1
514	доходит до	2	1
515	же формы	1	1
516	за этим	1	1
517	для самых	1	1
518	и всякая	1	1
519	в его	11	1
520	и хорошо	1	1
521	а потому	2	1
522	уже только	1	1
523	язык есть	4	1
524	целого а	1	1
525	что бы	1	1
526	приемов и	2	1
527	целом и	1	1
528	научной литературе	2	1
529	если это	2	1
530	д другие	1	1
531	такие формы	1	1
532	в него	1	1
533	также для	2	1
534	но так	1	1
535	две формы	1	1
536	д и	1	1
537	о его	1	1
538	с ними	1	1
539	что различные	1	1
540	говорить о	6	1
541	таких моментов	1	1
542	и действительно	3	1
543	очень много	2	1
544	который в	1	1
545	самые разнообразные	1	1
546	случаи когда	2	1
547	литературе и	1	1
548	все они	2	1
549	же и	1	1
550	это остается	1	1
551	средство в	1	1
552	влияет на	1	1
553	представить что	1	1
554	мы получим	1	1
555	в нашей	4	1
556	что не	4	1
557	только такое	1	1
558	не дает	2	1
559	этой новой	1	1
560	в данной	3	1
561	двух точек	1	1
562	его имени	1	1
563	е на	2	1
564	за ним	1	1
565	не так	3	1
566	понимает что	1	1
567	всяком случае	1	1
568	в одном	2	1
569	и со	1	1
570	при отсутствии	1	1
571	между прочим	8	1
572	он является	1	1
573	образом что	1	1
574	само собой	1	1
575	не противоречит	1	1
576	в особую	1	1
577	уже совершенно	2	1
578	были бы	4	1
579	результате и	1	1
580	со стороны	1	1
581	или иной	7	1
582	точек зрения	2	1
583	себе представить	2	1
584	до сих	8	1
585	может ли	1	1
586	которые можно	2	1
587	именно в	3	1
588	а именно	3	1
589	в каких	1	1
590	как же	3	1
591	еще и	2	1
592	такое же	1	1
593	показывает что	1	1
594	и несколько	1	1
595	однако что	4	1
596	могут иметь	1	1
597	на русском	1	1
598	до этого	1	1
599	материал в	1	1
600	на этот	2	1
601	на которых	5	1
602	задачи а	1	1
603	на ряду	1	1
604	о чем	2	1
605	могут служить	1	1
606	могут рассматриваться	1	1
607	совершенно иное	1	1
608	входить в	1	1
609	такими словами	1	1
610	является его	1	1
611	который обычно	1	1
612	можно будет	2	1
613	в одной	1	1
614	смысл который	3	1
615	средство может	1	1
616	же с	1	1
617	так мы	1	1
618	мы опять	1	1
619	по своему	2	1
620	в данном	7	1
621	ведет к	1	1
622	отношения к	1	1
623	в ряду	3	1
624	для известной	1	1
625	как будто	1	1
626	быть не	2	1
627	что же	5	1
628	дело идет	1	1
629	с этой	3	1
630	еще раз	2	1
631	и наши	1	1
632	сих пор	8	1
633	не будем	5	1
634	только для	2	1
635	пришлось бы	1	1
636	же самое	1	1
637	помнить что	1	1
638	эти могут	2	1
639	здесь прежде	1	1
640	из ряда	2	1
641	рассматривать как	1	1
642	с большой	1	1
643	форма является	1	1
644	формы с	1	1
645	указать на	2	1
646	которых каждый	1	1
647	отношении между	1	1
648	но на	3	1
649	она может	2	1
650	которые хотя	1	1
651	литературных жанров	1	1
652	этот может	1	1
653	не представляет	1	1
654	то не	2	1
655	е о	1	1
656	качество при	1	1
657	для нас	4	1
658	лишь как	1	1
659	но теоретически	1	1
660	у которого	1	1
661	все содержание	1	1
662	в круг	1	1
663	дана в	1	1
664	идет об	1	1
665	том случае	4	1
666	считать не	1	1
667	не будет	1	1
668	между ними	1	1
669	формы является	1	1
670	со мной	1	1
671	состоит из	1	1
672	а ведь	1	1
673	же относится	1	1
674	равно как	2	1
675	одновременно и	1	1
676	только о	2	1
677	на своем	1	1
678	таким же	1	1
679	что необходимо	1	1
680	в таком	4	1
681	во всяком	2	1
