N	2gram	Bakhtin_KF_1	Mirosoze
277	может не	2	1
278	человека за	1	1
279	только тогда	1	1
280	остается лишь	1	1
281	с целью	1	1
282	и чисто	1	1
283	становится рабом	1	1
284	все они	1	1
285	нем и	3	1
286	в значительной	1	1
287	можно и	2	1
288	им и	1	1
289	но есть	2	1
290	которой мы	1	1
291	ибо он	1	1
292	в другом	3	1
293	входит в	3	1
294	этом смысл	1	1
295	говорить о	2	1
296	к единому	3	1
297	из себя	8	1
298	на то	1	1
299	свет в	1	1
300	того же	1	1
301	его эмпирической	1	1
302	ибо все	3	1
303	и тем	3	1
304	и всякий	1	1
305	ко всему	5	1
306	для которого	3	1
307	отличается от	1	1
308	не была	1	1
309	сама она	1	1
310	для себя	5	1
311	не дает	3	1
312	не по	4	1
313	никто не	1	1
314	к этим	1	1
315	для всего	1	1
316	необходимый момент	1	1
317	и ее	2	1
318	в религии	1	1
319	был бы	3	1
320	сознания он	1	1
321	должна быть	4	1
322	кровью и	1	1
323	при такой	1	1
324	бы он	2	1
325	связь с	1	1
326	себя но	1	1
327	она становится	1	1
328	смысл в	3	1
329	значение для	1	1
330	христа в	1	1
331	с ней	1	1
332	есть последнее	1	1
333	в сознании	2	1
334	в какой	1	1
335	бы ни	1	1
336	и теперь	1	1
337	эту мысль	1	1
338	независимо от	3	1
339	его и	2	1
340	это в	1	1
341	приводит к	1	1
342	мы не	3	1
343	быть оправдан	1	1
344	к этому	2	1
345	была лишь	1	1
346	любви не	1	1
347	вечной женственности	1	1
348	данте и	1	1
349	об этом	1	1
350	в каком-то	1	1
351	есть всегда	1	1
352	которой он	2	1
353	в жизнь	1	1
354	с тем	2	1
355	тем как	3	1
356	его есть	1	1
357	и единственный	5	1
358	мою жизнь	1	1
359	проникает в	5	1
360	есть я	3	1
361	его к	2	1
362	их и	1	1
363	есть это	1	1
364	может жить	1	1
365	но все	5	1
366	не мыслится	1	1
367	же не	1	1
368	и только	6	1
369	смысле этого	1	1
370	имеет смысл	1	1
371	этого не	1	1
372	с человеком	3	1
373	форма не	1	1
374	человека все	1	1
375	в ее	16	1
376	к такому	1	1
377	из жизни	1	1
378	своем я	1	1
379	гибели и	1	1
380	между ними	1	1
381	смысла в	2	1
382	бы для	1	1
383	культуры в	1	1
384	мир в	11	1
385	не потому	2	1
386	может казаться	1	1
387	как не	1	1
388	следовательно и	1	1
389	последних двух	1	1
390	мы дадим	1	1
391	есть выход	1	1
392	нет и	3	1
393	ним как	1	1
394	и ответственности	1	1
395	отношений между	1	1
396	и религии	1	1
397	сознания в	2	1
398	этого слова	2	1
399	это сам	1	1
400	значительной степени	1	1
401	только что	1	1
402	не с	1	1
403	эти вечные	1	1
404	разных людей	1	1
405	человека но	1	1
406	это будет	1	1
407	как момент	13	1
408	и весь	2	1
409	было бы	8	1
410	в момент	3	1
411	не выходит	1	1
412	сознания не	2	1
413	с точки	9	1
414	за тобой	1	1
415	нельзя быть	1	1
416	он может	2	1
417	всех своих	4	1
418	и каждый	1	1
419	культуры и	5	1
420	человеку в	1	1
421	на самом	3	1
422	мог бы	1	1
423	этим не	1	1
424	как все	1	1
425	но такое	1	1
426	дано в	1	1
427	в целом	10	1
428	к добру	1	1
429	и оформления	2	1
430	до того	1	1
431	с любимым	1	1
432	они будут	1	1
433	человека эта	1	1
434	не нужна	1	1
435	на своем	3	1
436	только этот	1	1
437	больше и	1	1
438	оправдана и	1	1
439	меня самого	1	1
440	мы должны	1	1
441	он становится	1	1
442	в час	3	1
443	нравственной ценности	1	1
444	мира и	4	1
445	закон и	1	1
446	средних веков	1	1
447	себя за	2	1
448	с этим	1	1
449	но к	1	1
450	во второй	1	1
451	культуры с	1	1
452	но эти	1	1
453	ней все	1	1
454	исправить дело	1	1
455	мира но	4	1
456	за границей	1	1
457	сознание в	1	1
458	определяется не	1	1
459	прошлое и	3	1
460	мысль не	2	1
461	бы только	1	1
462	а все	3	1
463	же я	1	1
464	правду и	2	1
465	от своего	1	1
466	бытия а	3	1
467	всю свою	1	1
468	перестает быть	1	1
469	не проникает	5	1
470	это можно	2	1
471	в движении	1	1
472	я имею	3	1
473	по которой	1	1
474	выходит из	1	1
475	уже и	1	1
476	конца в	1	1
477	по поводу	1	1
478	ни один	1	1
479	лежит в	1	1
480	это приводит	1	1
481	могу согласиться	1	1
482	по своему	3	1
483	человека как	1	1
484	хорош только	1	1
485	он принимает	1	1
486	была бы	1	1
487	но сам	1	1
488	ни у	2	1
489	в котором	24	1
490	из нее	1	1
491	она всегда	1	1
492	этом мире	2	1
493	бытия не	2	1
494	во мне	3	1
495	а к	1	1
496	права и	1	1
497	культурного творчества	1	1
498	когда он	1	1
499	и делает	2	1
500	и именно	2	1
501	нигде не	3	1
502	ему и	1	1
503	но я	2	1
504	остается в	1	1
505	но ни	2	1
506	их в	1	1
507	живет в	1	1
508	вне себя	1	1
509	жизни его	1	1
510	и менее	1	1
511	есть проблема	1	1
512	она и	1	1
513	он есть	1	1
514	возвышается над	1	1
515	быть признаны	1	1
516	бездна между	1	1
517	ведь и	1	1
518	не из	2	1
519	связанная с	1	1
520	я только	1	1
521	и родной	1	1
522	для каждого	1	1
523	истины и	2	1
524	признать что	1	1
525	этого остается	1	1
526	всех его	2	1
527	со всеми	2	1
528	и исторический	1	1
529	не спасает	1	1
530	как основы	1	1
531	нему он	1	1
532	я должен	7	1
533	все это	10	1
534	нет не	1	1
535	всего этого	1	1
536	сознания для	1	1
537	момент ее	1	1
538	его для	1	1
539	это с	1	1
540	а следовательно	3	1
541	самом деле	3	1
542	или как	2	1
543	смысл но	1	1
544	бытия и	10	1
545	он должен	1	1
546	в стороне	1	1
547	уже нет	1	1
548	как с	1	1
549	представляется нам	1	1
550	она лишь	1	1
551	и то	2	1
552	она в	1	1
553	которых он	1	1
554	и вечность	1	1
555	к миру	1	1
556	и уже	1	1
557	быть в	4	1
558	им с	1	1
559	отдельного человека	1	1
560	все другие	1	1
561	другого а	1	1
562	никогда и	1	1
563	мира в	6	1
564	миру и	1	1
565	не быть	3	1
566	его я	1	1
567	быть противопоставлен	1	1
568	себе а	2	1
569	культурные ценности	3	1
570	а с	2	1
571	ни на	1	1
572	оторвалась от	1	1
573	с ничтожной	1	1
574	жизнь как	6	1
575	все в	1	1
576	все остальные	1	1
577	и как	2	1
578	ни к	2	1
579	как о	1	1
580	есть правда	1	1
581	него с	1	1
582	и будущее	2	1
583	но нельзя	1	1
584	это очень	1	1
585	ее как	2	1
586	той или	3	1
587	во втором	1	1
