N	2gram	Nazirov_Tr_1	Myslijsy
337	что собака	1	1
338	но теперь	1	1
339	не нужен	1	1
340	известной степени	1	1
341	к себе	1	1
342	и сам	3	1
343	его за	2	1
344	к тому	2	1
345	что при	1	1
346	где он	1	1
347	в применении	1	1
348	с образом	1	1
349	потому нельзя	1	1
350	как мы	1	1
351	но при	2	1
352	его самого	1	1
353	на нее	1	1
354	больше в	1	1
355	начала и	1	1
356	во многом	1	1
357	по сравнению	1	1
358	а там	1	1
359	не за	2	1
360	на них	1	1
361	похожим на	1	1
362	взрослого человека	1	1
363	только за	1	1
364	важнее для	1	1
365	времени в	2	1
366	мы понимаем	1	1
367	заключается в	1	1
368	в глазах	2	1
369	я вижу	1	1
370	все в	1	1
371	даже на	2	1
372	к нему	3	1
373	при самом	1	1
374	стыд как	1	1
375	дело с	1	1
376	как нечто	1	1
377	встречается только	1	1
378	по мнению	2	1
379	между этими	2	1
380	который в	2	1
381	именно на	1	1
382	человека с	1	1
383	но самое	1	1
384	никто не	3	1
385	в известной	2	1
386	могло бы	1	1
387	не для	1	1
388	этом мы	1	1
389	с этими	1	1
390	к ним	1	1
391	друга и	1	1
392	в особенности	1	1
393	таком виде	1	1
394	а на	1	1
395	с другим	1	1
396	именно в	1	1
397	который до	1	1
398	и др	1	1
399	а за	1	1
400	его как	1	1
401	ребенка и	2	1
402	именно так	1	1
403	вызывает в	1	1
404	виде в	1	1
405	эти слова	1	1
406	может так	1	1
407	нами на	1	1
408	не знал	1	1
409	видит в	1	1
410	вспомнить что	1	1
411	сравнению с	1	1
412	в той	1	1
413	это его	1	1
414	распадается на	1	1
415	нам еще	1	1
416	с этой	1	1
417	этом случае	1	1
418	в условиях	1	1
419	и о	1	1
420	между собой	1	1
421	сходство с	1	1
422	его собственная	1	1
423	это уже	2	1
424	этот образ	4	1
425	всегда будет	1	1
426	при таком	1	1
427	это как	1	1
428	тот кто	1	1
429	это часто	1	1
430	и совершенно	1	1
431	и первое	1	1
432	мог быть	1	1
433	не я	1	1
434	к ее	1	1
435	но эта	2	1
436	из тех	1	1
437	состоит из	2	1
438	и еще	1	1
439	есть и	1	1
440	только о	2	1
441	но еще	1	1
442	с г	2	1
