N	2gram	Savitsky_P_1	Komedia
286	представить себе	1	1
287	к первой	1	1
288	друг друга	1	1
289	для того	3	1
290	из двух	1	1
291	в исторической	1	1
292	возможно что	1	1
293	в н	1	1
294	далеко не	1	1
295	было и	1	1
296	к более	1	1
297	к науке	1	1
298	идеи в	1	1
299	большинстве случаев	1	1
300	что из	2	1
301	существующее в	1	1
302	государственной организации	1	1
303	знаем и	1	1
304	лиц и	1	1
305	и потому	4	1
306	иной вопрос	1	1
307	что именно	1	1
308	в данном	1	1
309	к жизни	1	1
310	применении к	1	1
311	времени с	1	1
312	как бы	4	1
313	думается что	1	1
314	в это	1	1
315	или хотя	1	1
316	в условиях	1	1
317	в основном	1	1
318	из чего	1	1
319	которые были	1	1
320	рассматривать как	1	1
321	г а	1	1
322	случаях когда	1	1
323	общественной и	1	1
324	чтобы понять	1	1
325	ведет в	1	1
326	еще более	2	1
327	что народ	1	1
328	отношении к	5	1
329	в общем	2	1
330	культуры в	2	1
331	в трех	1	1
332	в каком	1	1
333	к этой	1	1
334	и другие	1	1
335	именно здесь	1	1
336	это в	1	1
337	гораздо более	1	1
338	как на	2	1
339	том числе	2	1
340	они не	1	1
