N	2gram	Nazirov_Tr_1	KFilosof
290	связь между	1	1
291	и психологического	1	1
292	нуждается в	1	1
293	справедливости все	1	1
294	к ней	1	1
295	нет он	1	1
296	для самого	1	1
297	в жизнь	1	1
298	в каких	1	1
299	в литературе	1	1
300	один из	3	1
301	мы видим	1	1
302	согласиться с	1	1
303	же я	1	1
304	это очень	5	1
305	неясно где	1	1
306	только на	1	1
307	и чисто	1	1
308	в душе	2	1
309	я люблю	4	1
310	только к	2	1
311	местом в	1	1
312	него нет	1	1
313	одно из	1	1
314	никто не	3	1
315	не для	1	1
316	смысле этого	1	1
317	ее не	1	1
318	друг друга	2	1
319	но уже	1	1
320	он любит	1	1
321	чувствует себя	1	1
322	с другим	1	1
323	точка где	1	1
324	не знать	1	1
325	объективный смысл	1	1
326	до этого	1	1
327	и др	1	1
328	может жить	1	1
329	всему что	1	1
330	ничем не	2	1
331	любовь по	1	1
332	с которым	1	1
333	эти слова	1	1
334	вместе с	1	1
335	в духе	1	1
336	что именно	1	1
337	над ним	1	1
338	единственный и	1	1
339	синтеза и	1	1
340	в человеке	1	1
341	час и	1	1
342	умирает в	1	1
343	о его	2	1
344	не раз	1	1
345	она должна	2	1
346	при таком	1	1
347	где и	1	1
348	уже чисто	1	1
349	а к	1	1
350	это может	1	1
351	не понимая	1	1
352	только что	1	1
353	я в	1	1
354	за этим	1	1
355	необходимое условие	1	1
356	в иной	1	1
357	утверждать что	1	1
358	а я	5	1
359	по поводу	2	1
360	это в	1	1
361	это понятие	1	1
362	во всяком	1	1
