N	2gram	Bakhtin_KF_1	VeschiIm
110	есть просто	1	5
111	и тут	1	5
112	это и	2	5
113	из себя	8	5
114	в отношении	1	5
115	в чем	4	5
116	свою очередь	1	5
117	отвлеченный смысл	1	5
118	содержит в	1	5
119	тем не	2	5
120	если бы	8	5
121	одна из	1	5
122	как к	2	5
123	ведь и	1	5
124	и до	1	5
125	ни на	1	5
126	в свою	3	5
127	тем что	3	4
128	же время	2	4
129	его на	2	4
130	о том	3	4
131	требует чтобы	1	4
132	как и	5	4
133	мы говорим	1	4
134	на почве	1	4
135	быть просто	1	4
136	как таковая	1	4
137	независимо от	3	4
138	мы не	3	4
139	это значило	2	4
140	во всех	11	4
141	в их	8	4
142	точке зрения	1	4
143	то или	2	4
144	это что	1	4
145	слово и	1	4
146	же не	1	4
147	оно не	2	4
148	имеет смысл	1	4
149	между ними	1	4
150	как понятие	1	4
151	быть не	2	4
152	нет и	3	4
153	и даже	1	4
154	как я	1	4
155	что есть	2	4
156	смысле и	2	4
157	рационализма и	1	4
158	в своем	16	4
159	с этим	1	4
160	и о	1	4
161	и потому	2	4
162	можно ли	1	4
163	с чем	1	4
164	и мы	2	4
165	что значит	2	4
166	со всем	5	4
167	от того	3	4
168	не существует	1	4
169	что и	7	4
170	значило бы	2	4
171	с точки	9	4
172	когда я	3	4
173	быть и	3	4
174	ни только	1	4
175	я не	6	4
176	бытия и	10	4
177	должен быть	7	4
178	и все	7	4
179	так чтобы	1	4
180	в данном	2	4
181	момент в	7	3
182	я в	1	3
183	реальное и	1	3
184	и чисто	1	3
185	это может	1	3
186	можно и	2	3
187	вопрос о	2	3
188	можно сказать	1	3
189	бы что	1	3
190	она является	1	3
191	могла бы	4	3
192	а это	2	3
193	так и	2	3
194	себе самой	1	3
195	она может	1	3
196	в жизни	2	3
197	только это	2	3
198	в нем	28	3
199	конечно можно	1	3
200	хотя бы	4	3
201	если это	1	3
202	не содержит	1	3
203	можно только	1	3
204	нисколько не	4	3
205	того чтобы	2	3
206	в своей	10	3
207	или как	2	3
208	в одном	4	3
209	ее как	2	3
210	вместе с	1	3
211	отношение к	5	3
212	отношения к	1	3
213	в чисто	1	3
214	но как	5	3
215	к тому	1	3
216	к ней	1	3
217	по самому	1	3
218	к себе	2	3
219	тогда когда	3	3
220	тот же	1	3
221	не быть	3	3
222	себя как	2	3
223	только на	1	3
224	один из	2	3
225	а с	2	3
226	никогда не	5	3
227	перестает быть	1	3
228	мы имеем	5	3
229	в основе	5	3
230	в философии	1	3
231	между прочим	1	3
232	если я	2	3
233	есть именно	2	3
234	принципиально не	2	3
235	к пониманию	1	3
236	и ни	3	3
237	когена и	1	3
238	значит не	1	3
239	ни о	1	3
240	мы видим	1	3
241	есть еще	1	3
242	на этом	1	3
243	само по	1	3
244	их в	1	3
245	самого смысла	1	3
246	несмотря на	1	3
247	все это	10	3
248	самом деле	3	3
249	в понятии	1	3
250	что он	2	3
251	как оно	2	3
252	как о	1	3
253	что именно	1	3
254	мы возьмем	1	3
255	может не	2	2
256	и этот	3	2
257	только я	1	2
258	на ее	1	2
259	как действительно	2	2
260	образом и	1	2
261	приводит к	1	2
262	самого себя	1	2
263	во всяком	1	2
264	есть тот	1	2
265	от этого	2	2
266	не стоит	1	2
267	смысл в	3	2
268	я имею	3	2
269	у меня	1	2
270	для всего	1	2
271	и эти	2	2
272	исходить из	1	2
273	и всякий	1	2
274	конечно и	1	2
275	говорить ни	1	2
276	и во	1	2
277	то есть	1	2
278	но между	1	2
279	как это	1	2
280	но можно	4	2
281	быть понято	1	2
282	а только	1	2
283	мы получим	2	2
284	бы ни	1	2
285	об этом	1	2
286	если он	1	2
287	если не	2	2
288	что только	2	2
289	знает и	2	2
290	но все	5	2
291	не мог	1	2
292	его и	2	2
293	жизни в	5	2
294	ничем не	1	2
295	что ее	1	2
296	но только	1	2
297	превращается в	1	2
298	и сама	1	2
299	это различие	1	2
300	есть некая	1	2
301	себе как	2	2
302	к чему	3	2
303	а затем	1	2
304	еще более	2	2
305	и можно	1	2
306	не с	1	2
307	жизнь и	2	2
308	оно может	1	2
309	первом случае	1	2
310	мысли и	1	2
311	на все	1	2
312	говорить об	1	2
313	как в	2	2
314	и мое	1	2
315	и его	17	2
316	в качестве	2	2
317	можно говорить	1	2
318	жизнь не	1	2
319	себя я	1	2
320	для нее	7	2
321	поэтому и	1	2
322	но уже	1	2
323	дело в	2	2
324	с собой	1	2
325	но к	1	2
326	для того	3	2
327	только одно	1	2
328	ни в	12	2
329	бы я	1	2
330	в каком-то	1	2
331	и таким	1	2
332	той же	1	2
333	но ведь	5	2
334	она сама	1	2
335	это было	2	2
336	и может	3	2
337	ту же	1	2
338	отношении к	2	2
339	она могла	2	2
340	из самого	2	2
341	какого бы	1	2
342	и тем	3	2
343	и понимает	1	2
344	мы уже	1	2
345	ближе к	3	2
346	и та	2	2
347	не нужно	2	2
348	из его	3	2
349	в первом	1	2
350	когда он	1	2
351	тому что	2	2
352	не потому	2	2
353	но оно	1	2
354	только к	1	2
355	и мира	1	2
356	мы можем	1	2
357	он не	6	2
358	мы будем	1	2
359	себя не	3	2
360	и когда	2	2
361	существенно для	1	2
362	ни к	2	2
363	в своих	3	2
364	себя из	1	2
365	признать что	1	2
366	оба эти	2	2
367	не я	3	2
368	с которой	1	2
369	все равно	1	2
370	я должен	7	2
371	была бы	1	2
372	прочим и	1	2
373	не из	2	2
374	а я	1	2
375	тем же	1	2
376	и уже	1	2
377	и чтобы	1	2
378	это уже	2	2
379	что ему	1	2
380	себе и	3	2
381	в виду	3	2
382	ее смысл	1	2
383	абстрактный момент	2	2
384	в первой	1	2
385	все бытие	1	2
386	чем не	4	2
387	где она	1	2
388	мог бы	1	2
389	основе своей	2	2
390	во втором	1	2
391	к таким	1	1
392	все эти	10	1
393	абстрактной мысли	1	1
394	его от	1	1
395	в которой	1	1
396	который и	1	1
397	и совершенно	3	1
398	главным образом	1	1
399	сводится к	2	1
400	форму и	1	1
401	связь между	1	1
402	жизни а	1	1
403	смысловой и	1	1
404	знания в	1	1
405	мысли но	1	1
406	смысловом содержании	1	1
407	не относятся	1	1
408	но с	1	1
409	всегда в	1	1
410	стороны в	3	1
411	есть для	1	1
412	с него	1	1
413	и того	2	1
414	к той	1	1
415	себя или	2	1
416	и свою	1	1
417	бытие не	4	1
418	в другом	3	1
419	бы оно	2	1
420	что необходимо	1	1
421	она будет	1	1
422	значит понять	1	1
423	ясно и	3	1
424	то ввиду	1	1
425	исходит из	1	1
426	как всякое	1	1
427	именно к	1	1
428	только как	4	1
429	или в	1	1
430	не вытекает	1	1
431	его с	2	1
432	на том	1	1
433	было и	2	1
434	и также	1	1
435	частей и	1	1
436	только от	1	1
437	в бытии	26	1
438	себе в	1	1
439	себя от	1	1
440	не предмет	1	1
441	факта как	1	1
442	не к	1	1
443	это слово	1	1
444	меня я	1	1
445	лишь как	2	1
446	и другой	1	1
447	есть принцип	1	1
448	ровно ничего	1	1
449	раз и	2	1
450	своему смыслу	1	1
451	думать что	2	1
452	с ней	1	1
453	этого слова	2	1
454	не было	8	1
455	то этот	1	1
456	к другим	1	1
457	правильно или	1	1
458	только себя	1	1
459	зависит от	1	1
460	вовсе не	7	1
461	такое бытие	1	1
462	только при	1	1
463	гораздо более	1	1
464	нами мы	1	1
465	отказаться от	2	1
466	себя но	1	1
467	есть а	1	1
468	жизни жизнь	1	1
469	принципов и	1	1
470	в виде	2	1
471	другой в	1	1
472	одного и	1	1
473	есть лишь	5	1
474	говорить в	1	1
475	и должна	3	1
476	необходимо если	1	1
477	в сознании	2	1
478	этом смысле	3	1
479	я и	2	1
480	в третьем	1	1
481	в какой	1	1
482	и так	1	1
483	есть смысловое	1	1
484	всем что	1	1
485	тем самым	4	1
486	что эта	2	1
487	место это	1	1
488	дело не	2	1
489	и философского	1	1
490	и смысла	1	1
491	на нем	2	1
492	ничего общего	2	1
493	отказа от	1	1
494	об определенном	1	1
495	жизнь только	1	1
496	воплощаться в	1	1
497	тем или	1	1
498	это приводит	1	1
499	осмысления и	1	1
500	и могло	1	1
501	не понимая	1	1
502	но может	1	1
503	что кто-то	1	1
504	чего не	2	1
505	и единое	1	1
506	того или	3	1
507	но само	1	1
508	жизнь в	1	1
509	субъекта и	1	1
510	религии и	1	1
511	и единственный	5	1
512	в это	2	1
513	что уже	1	1
514	не знать	1	1
515	мы должны	1	1
516	в принципе	2	1
517	не можем	1	1
518	данного человека	1	1
519	содержится в	1	1
520	по своей	1	1
521	нуждается в	1	1
522	но для	2	1
523	смысле этого	1	1
524	его как	5	1
525	к этому	2	1
526	одной из	1	1
527	ибо если	1	1
528	ясный и	1	1
529	дать в	1	1
530	истина а	1	1
531	как не	1	1
532	а именно	1	1
533	этом единстве	1	1
534	имеют в	1	1
535	смысл это	1	1
536	сознания и	3	1
537	один и	1	1
538	к такому	1	1
539	этих моментов	2	1
540	один момент	1	1
541	вне меня	1	1
542	его то	1	1
543	например что	1	1
544	от бытия	1	1
545	из него	3	1
546	конечно в	2	1
547	стороны ее	1	1
548	дело с	2	1
549	это различение	1	1
550	же отвлеченный	1	1
551	себя уже	1	1
552	уже с	1	1
553	он ни	2	1
554	где оба	1	1
555	и смысловым	1	1
556	и очень	1	1
557	не имеют	1	1
558	относиться к	1	1
559	оно было	1	1
560	сознание в	1	1
561	хотя и	1	1
562	будем говорить	1	1
563	движении в	1	1
564	знать что	2	1
565	себя момент	1	1
566	еще менее	1	1
567	как из	1	1
568	него самого	1	1
569	я это	1	1
570	вне ее	3	1
571	уже давно	1	1
572	у канта	1	1
573	отсюда что	1	1
574	слова я	1	1
575	ли она	1	1
576	в моем	6	1
577	и к	1	1
578	соотнесение с	1	1
579	подход к	1	1
580	не имеет	5	1
581	случае мы	2	1
582	вообще есть	1	1
583	факта и	2	1
584	сознании в	1	1
585	причем все	1	1
586	именно ее	1	1
587	всех своих	4	1
588	они не	1	1
589	пусть я	1	1
590	момента в	1	1
591	более не	1	1
592	дано в	1	1
593	какие бы	1	1
594	это существенно	1	1
595	утверждать что	1	1
596	это положение	1	1
597	именно на	2	1
598	с которым	1	1
599	себя а	4	1
600	я могу	5	1
601	нахожусь в	1	1
602	и говорить	1	1
603	до того	1	1
604	к его	1	1
605	которой ничего	1	1
606	есть следовательно	1	1
607	а за	1	1
608	другое дело	2	1
609	его полноте	1	1
610	находятся в	1	1
611	получен в	1	1
612	только с	3	1
613	она и	1	1
614	поскольку я	12	1
615	и от	1	1
616	абстрактному же	1	1
617	не является	1	1
618	зависимости от	1	1
619	нет ибо	1	1
620	эти момента	3	1
621	конечно не	7	1
622	единое и	5	1
623	но эти	1	1
624	самому своему	1	1
625	всем том	1	1
626	и абсолютная	1	1
627	бы меня	1	1
628	на основе	7	1
629	подойти к	1	1
630	же я	1	1
631	всяком случае	1	1
632	в истории	1	1
633	целом с	1	1
634	том смысле	1	1
635	или иной	2	1
636	это можно	2	1
637	не существенно	1	1
638	в единую	1	1
639	в движении	1	1
640	едва ли	2	1
641	о принципе	1	1
642	понятий и	1	1
643	раз ведь	1	1
644	не о	2	1
645	я мыслю	4	1
646	лежит в	1	1
647	что эти	1	1
648	к смыслу	1	1
649	есть его	2	1
650	извне как	1	1
651	но о	1	1
652	как начало	1	1
653	только не	1	1
654	слова в	2	1
655	в котором	24	1
656	в зависимости	1	1
657	я его	2	1
658	в этой	2	1
659	это понятие	1	1
660	при этом	4	1
661	чтобы не	2	1
662	свой смысл	1	1
663	действительности и	1	1
664	могут быть	3	1
665	из которых	2	1
666	или нет	1	1
667	и делает	2	1
668	и новое	1	1
669	то для	1	1
670	свою позицию	1	1
671	только тогда	1	1
672	очевидно лишь	1	1
673	слова и	1	1
674	но ни	2	1
675	единство и	1	1
676	является человек	3	1
677	в едином	9	1
678	и на	3	1
679	и будет	1	1
680	отличен от	1	1
681	как его	4	1
682	субъекта но	1	1
683	от его	5	1
684	но лишь	6	1
685	поэтому в	1	1
686	они вообще	1	1
687	познания в	2	1
688	все дело	1	1
689	ее и	6	1
690	себе бытие	1	1
691	и она	2	1
692	к бытию	1	1
693	в действительности	1	1
694	в определенное	2	1
695	требует этого	1	1
696	жизнь как	6	1
697	не как	4	1
698	нет ничего	1	1
699	момент живого	1	1
700	значит быть	1	1
701	уже нет	1	1
702	к человеку	1	1
703	с его	1	1
704	пр и	1	1
705	смысл который	1	1
706	все другие	1	1
707	я только	1	1
708	истории философии	1	1
709	эстетического и	2	1
710	от них	1	1
711	этого человека	1	1
712	канта однако	1	1
713	но конечно	3	1
714	не сможет	1	1
715	активно и	1	1
716	вес и	2	1
717	каждый момент	1	1
718	но из	1	1
719	только так	1	1
720	и иначе	1	1
721	совершенно иначе	1	1
722	бытия но	4	1
723	чистого смысла	1	1
724	не был	1	1
725	эстетики и	1	1
726	в каком	4	1
727	вместо того	1	1
728	всего этого	1	1
729	делает не	1	1
730	была действительно	1	1
731	и мне	1	1
732	смысл но	1	1
733	следовательно ни	1	1
734	он должен	1	1
735	за волосы	1	1
736	и бытие	2	1
737	становления и	1	1
738	каких бы	1	1
739	но эта	5	1
740	он и	2	1
741	может стать	1	1
742	должен был	1	1
743	нас от	1	1
744	только логическое	1	1
745	конечно это	1	1
746	философии как	1	1
747	он становится	1	1
748	всем бытием	1	1
749	я уже	2	1
750	здесь как	1	1
751	есть мое	1	1
752	остается только	1	1
753	предмета в	2	1
754	уже и	1	1
755	который я	1	1
756	канта и	1	1
757	он как	1	1
758	ясно отсюда	1	1
759	уже нужно	1	1
760	о нем	4	1
761	и эта	2	1
762	жизни как	5	1
763	и смысл	2	1
764	имеет дело	1	1
765	в принципиальном	1	1
766	и по	1	1
767	и должен	2	1
768	должен знать	1	1
769	действительно есть	1	1
