N	2gram	Berdyaev_N_1	VelikijI
261	лишь к	1	1
262	для того	1	1
263	истории когда	1	1
264	в платоновском	1	1
265	в состоянии	1	1
266	свое и	1	1
267	и злобой	1	1
268	всякого содержания	1	1
269	не были	1	1
270	и с	2	1
271	ней и	1	1
272	от неба	1	1
273	с другой	3	1
274	русской революции	2	1
275	это одна	1	1
276	нашу эпоху	2	1
277	лишь на	1	1
278	и быть	1	1
279	но дух	1	1
280	бытия в	2	1
281	весь мир	1	1
282	перестала быть	1	1
283	нового времени	12	1
284	духа все	1	1
285	жизни от	1	1
286	есть соединение	1	1
287	был в	1	1
288	ничем не	1	1
289	власти и	1	1
290	человеческой жизни	1	1
291	не всегда	1	1
292	жизнь в	1	1
293	для чего	2	1
294	человека не	1	1
295	имеет никакой	1	1
296	и было	2	1
297	считать себя	1	1
298	в речах	1	1
299	который я	1	1
300	пустоте и	1	1
301	платоновском смысле	1	1
302	вместе с	2	1
303	так же	2	1
304	как это	2	1
305	мы в	1	1
306	у нас	1	1
307	в бытие	1	1
308	отпадения от	1	1
309	но я	2	1
310	в мир	1	1
311	нелюбовь к	1	1
312	есть еще	1	1
313	это значит	1	1
314	если нет	2	1
315	и религиозном	1	1
316	мира с	1	1
317	этот мир	2	1
318	и всех	1	1
319	и очень	1	1
320	нет никакого	1	1
321	в атмосфере	1	1
322	и нет	1	1
323	общественной жизни	6	1
324	есть прежде	1	1
325	к ним	3	1
326	в познании	1	1
327	неба и	1	1
328	и обманом	1	1
329	временному и	1	1
330	не по	1	1
331	смысле и	1	1
332	но она	2	1
333	в другие	1	1
334	не существует	3	1
335	и от	2	1
336	мира и	2	1
337	нет бога	1	1
338	которая в	1	1
339	жизни не	3	1
340	может быть	7	1
341	нейтрального и	1	1
342	она с	1	1
343	в русском	2	1
344	более всего	1	1
345	во всем	1	1
346	будто бы	1	1
347	свобода человека	1	1
348	вот что	1	1
349	не утверждение	1	1
350	к жизни	3	1
351	человеческого общества	1	1
352	к ее	3	1
353	из сторон	1	1
354	жизни в	3	1
355	в будущем	2	1
356	другой стороны	2	1
357	не быть	1	1
358	будет с	2	1
359	политикой с	1	1
360	заключается что	2	1
361	но все	1	1
362	есть и	1	1
363	людей но	1	1
364	всего что	1	1
365	жизни без	1	1
366	отказаться от	1	1
367	себя и	1	1
368	она не	3	1
369	они не	1	1
