N	2gram	Berdyaev_M_1	PoTuStor
159	мир для	1	2
160	в частности	1	2
161	так же	1	2
162	в мир	3	2
163	с этой	4	2
164	своей жизни	1	2
165	но это	1	2
166	протяжении всей	1	2
167	и для	2	2
168	не существует	2	2
169	сознания и	1	2
170	нет никаких	2	2
171	не есть	9	2
172	не знает	4	2
173	есть и	3	2
174	влечет к	3	2
175	к этому	2	2
176	можно назвать	1	2
177	они не	1	2
178	с новыми	2	1
179	человека и	14	1
180	и то	1	1
181	корней и	2	1
182	или к	4	1
183	это и	4	1
184	некоторое преимущество	1	1
185	черты своего	1	1
186	когда человек	3	1
187	высшей степени	2	1
188	века в	2	1
189	свое так	1	1
190	его не	3	1
191	всей ее	1	1
192	мы имеем	1	1
193	мир не	2	1
194	вопрос о	2	1
195	и новых	1	1
196	ли у	1	1
197	оно есть	1	1
198	я не	1	1
199	зависимости от	1	1
200	в ней	15	1
201	он был	14	1
202	иное как	1	1
203	не был	7	1
204	одним словом	1	1
205	но не	8	1
206	отказ от	1	1
207	энергии и	1	1
208	него все	1	1
209	менее всего	7	1
210	иногда и	1	1
211	в свои	1	1
212	что они	1	1
213	в течение	1	1
214	в центре	2	1
215	как последняя	1	1
216	сам же	1	1
217	все же	2	1
218	когда он	3	1
219	был связан	1	1
220	его к	1	1
221	может допустить	1	1
222	увидим что	4	1
223	от этого	2	1
224	чего же	2	1
225	к чему	2	1
226	уже не	4	1
227	та же	1	1
228	точку зрения	1	1
229	привести к	4	1
230	под ним	2	1
231	мы чувствуем	1	1
232	как он	2	1
233	имеем в	1	1
234	во многих	1	1
235	человек не	10	1
236	как совершенно	1	1
237	что она	1	1
238	было с	2	1
239	есть та	1	1
240	отношений между	1	1
241	только те	1	1
242	из него	1	1
243	с чем	1	1
244	не интересуется	1	1
245	человека в	13	1
246	от нее	5	1
247	как они	1	1
248	что мир	1	1
249	различие между	2	1
250	в мире	10	1
251	первый и	1	1
252	на все	1	1
253	теми которые	1	1
254	лишь в	6	1
255	входит в	2	1
256	это было	1	1
257	искусства в	1	1
258	свою противоположность	2	1
259	в свой	2	1
260	истории и	2	1
261	весь мир	1	1
262	для них	3	1
263	были в	1	1
264	в самую	5	1
265	с тем	9	1
266	одна и	1	1
267	мир в	3	1
268	смысл и	1	1
269	лучше всего	1	1
270	и еще	3	1
271	но если	3	1
272	от своего	1	1
273	что есть	5	1
274	что до	1	1
275	ним может	1	1
276	что я	1	1
277	любовь и	1	1
278	исключительно на	1	1
279	творчества и	1	1
280	в философии	1	1
281	это сознание	1	1
282	и почти	1	1
283	этот мир	2	1
284	любовь к	2	1
285	человека но	4	1
286	в атмосфере	1	1
287	а иногда	1	1
288	материальные моменты	1	1
289	есть прежде	1	1
290	в смысле	1	1
291	в эпоху	1	1
292	его веры	1	1
293	в самых	1	1
294	что иное	1	1
295	того чтобы	2	1
296	не имеет	3	1
297	на путях	3	1
298	ничего не	3	1
299	пути и	2	1
300	во всем	1	1
301	мире и	1	1
302	к этим	2	1
303	ничто не	1	1
304	в виду	2	1
305	содержания как	1	1
306	от того	1	1
307	у меня	1	1
308	реальности это	1	1
309	в духе	1	1
310	одно только	2	1
311	отличается от	2	1
312	одну и	1	1
313	к тому	3	1
314	бы он	1	1
315	на это	1	1
316	она не	4	1
317	из всего	1	1
318	в душу	1	1
319	культуры и	1	1
320	приводит к	2	1
321	катарсис очищение	1	1
322	роль в	1	1
323	и что	2	1
324	и сам	1	1
325	и ту	1	1
326	можно было	1	1
327	мог бы	4	1
328	еще в	2	1
329	к тем	1	1
330	если бы	2	1
331	из одного	1	1
332	с чего	2	1
333	новых и	1	1
334	вытесняется в	1	1
335	в глубине	8	1
336	в разных	1	1
337	связанная с	1	1
338	влечет его	1	1
339	его интересует	1	1
340	о нем	2	1
341	надо только	1	1
342	но к	1	1
343	и та	1	1
344	вражда к	1	1
345	любви к	7	1
346	нас в	1	1
347	говорить об	1	1
348	этот момент	1	1
349	но нет	1	1
350	на одном	1	1
351	свете сознания	1	1
352	в другой	1	1
353	и можно	1	1
354	в свете	3	1
355	все время	1	1
356	человека как	2	1
357	и духовно	1	1
358	и мир	2	1
359	к нему	7	1
360	что только	1	1
361	себе даже	2	1
362	о двух	1	1
363	мы увидим	3	1
364	бы из	1	1
365	бы ни	1	1
366	мало общего	1	1
367	философии но	2	1
368	делает его	1	1
369	и влечений	1	1
370	себя в	3	1
371	же и	1	1
372	уже в	4	1
373	то и	1	1
374	в нашей	1	1
375	его и	1	1
376	человека на	5	1
377	ведь это	2	1
378	все ценности	1	1
379	наука о	1	1
380	в конце	7	1
381	ничего но	1	1
382	вовсе не	1	1
383	в землю	1	1
384	привела к	2	1
385	ее не	1	1
386	как его	1	1
387	в любви	4	1
388	даже и	2	1
389	для того	2	1
390	уже совершенно	1	1
391	и всему	1	1
392	во власти	2	1
393	в высшей	2	1
394	этом пути	2	1
395	помехой в	1	1
396	в свою	2	1
397	и быть	1	1
398	все творчество	5	1
399	мы еще	2	1
400	говорит о	1	1
401	близко к	1	1
402	связано с	2	1
403	нужно искать	2	1
404	у нас	5	1
405	на этот	2	1
406	и самый	2	1
407	а не	25	1
408	власти и	1	1
409	жизнь в	1	1
410	человек есть	4	1
411	конце пути	2	1
412	для человека	3	1
413	у порога	1	1
414	разных местах	1	1
415	не найдут	1	1
416	в момент	3	1
417	из мира	1	1
418	в человеке	8	1
419	влияния на	1	1
420	он будет	1	1
421	что же	1	1
422	у самого	2	1
423	в состоянии	1	1
424	механизм в	1	1
425	глубине ее	1	1
426	том смысле	2	1
427	быть не	2	1
428	его собственный	1	1
429	есть то	1	1
430	о его	1	1
431	в более	2	1
432	только одна	1	1
433	и часто	1	1
434	в самые	1	1
435	потому не	3	1
436	она может	2	1
437	тянется к	1	1
438	органической жизни	1	1
439	особого рода	1	1
440	интерес к	3	1
441	еще более	1	1
442	теряет свою	1	1
443	я в	1	1
444	может наиболее	1	1
445	хотя в	1	1
446	но всегда	1	1
447	к ее	1	1
448	процессы в	1	1
449	жизни в	2	1
450	нет ничего	7	1
451	в период	1	1
452	с ней	2	1
453	а ведь	1	1
454	а во	1	1
455	от всех	1	1
456	мир но	2	1
457	для нашего	1	1
458	сознания на	1	1
459	не что	1	1
460	ко всему	1	1
461	и жизнь	2	1
462	на своем	3	1
463	в своих	1	1
464	и эта	1	1
