N	2gram	Berdyaev_V_1	slovoVRo
255	лишь к	1	1
256	от этих	2	1
257	человека как	2	1
258	того что	5	1
259	всегда в	1	1
260	власти одного	1	1
261	и ее	1	1
262	их не	1	1
263	авторитета и	1	1
264	своей целью	1	1
265	за ним	3	1
266	в конце	3	1
267	не для	1	1
268	и никогда	2	1
269	тем что	2	1
270	которое может	1	1
271	не были	1	1
272	души и	1	1
273	что не	4	1
274	говорит о	1	1
275	должно быть	3	1
276	превращается в	3	1
277	другой стороны	1	1
278	более глубокое	1	1
279	мира в	2	1
280	я говорю	2	1
281	он говорит	1	1
282	если они	1	1
283	да и	2	1
284	ставит в	1	1
285	мира с	1	1
286	этого слова	1	1
287	на новый	1	1
288	на пути	1	1
289	утверждению в	1	1
290	ли они	1	1
291	в силах	4	1
292	вообще в	1	1
293	и могли	1	1
294	который тоже	2	1
295	всех формах	1	1
296	него то	1	1
297	идея в	1	1
298	в последнем	2	1
299	от слова	1	1
300	в своих	1	1
301	к этому	1	1
