N	2gram	Voloshinov_1	VelikijI
242	нового времени	2	1
243	она и	1	1
244	мы скажем	2	1
245	от труда	1	1
246	между собою	1	1
247	человека не	1	1
248	жизни но	2	1
249	о чем	1	1
250	имеет никакой	1	1
251	него не	1	1
252	в бытии	3	1
253	воплощение в	1	1
254	категории не	1	1
255	только мы	1	1
256	места в	3	1
257	так же	7	1
258	сделать его	1	1
259	ко всем	1	1
260	того духа	1	1
261	как это	1	1
262	этому же	1	1
263	ним уже	1	1
264	их к	1	1
265	у нас	2	1
266	если оно	1	1
267	для всякого	1	1
268	времени с	1	1
269	в одном	1	1
270	образ и	2	1
271	в мир	1	1
272	в тот	2	1
273	поскольку он	1	1
274	человек с	1	1
275	это значит	1	1
276	и всех	1	1
277	этого слова	2	1
278	освободиться от	1	1
279	с этой	2	1
280	и очень	1	1
281	на пути	1	1
282	есть прежде	1	1
283	неба и	1	1
284	не по	1	1
285	смысле и	1	1
286	сознании и	1	1
287	природу его	1	1
288	образом по	1	1
289	не существует	3	1
290	и от	3	1
291	задача которая	1	1
292	найти в	1	1
293	и всегда	1	1
294	мира и	2	1
295	ничего не	6	1
296	человек и	1	1
297	в разных	1	1
298	того как	1	1
299	всего можно	1	1
300	лишь как	1	1
301	может быть	26	1
302	природы в	1	1
303	в русском	1	1
304	как она	2	1
305	конце концов	3	1
306	более всего	1	1
307	будем говорить	1	1
308	на него	1	1
309	в сознании	2	1
310	к жизни	1	1
311	наших дней	1	1
312	но вот	1	1
313	жизни в	4	1
314	людей все	1	1
315	освобождается от	1	1
316	другой стороны	6	1
317	о духе	1	1
318	для нашего	1	1
319	но все	3	1
320	есть и	1	1
321	к этому	5	1
322	вся история	2	1
323	ли они	1	1
324	и другие	1	1
325	в своих	2	1
326	этого духа	1	1
327	в процессе	14	1
328	и эта	4	1
329	отказаться от	1	1
330	себя и	1	1
331	она не	2	1
332	в роли	1	1
