N	2gram	Vinokur_St_3	UchenyiS
181	отказ от	2	1
182	в данном	1	1
183	стихотворений и	2	1
184	что же	1	1
185	бы в	1	1
186	того что	5	1
187	друг другу	1	1
188	разрыв с	1	1
189	в которых	2	1
190	знак равенства	1	1
191	на его	4	1
192	форма в	1	1
193	время на	1	1
194	это значит	1	1
195	стиха но	1	1
196	что этот	3	1
197	нет и	2	1
198	чем была	1	1
199	язык в	1	1
200	за пределы	1	1
201	формы как	1	1
202	на то	5	1
203	быть не	2	1
204	к изучению	1	1
205	мы снова	1	1
206	еще один	1	1
207	его как	3	1
208	независимо от	5	1
209	в своем	1	1
210	рассказывается в	1	1
211	но для	1	1
212	что ему	1	1
213	поэтики с	1	1
214	и все	1	1
215	того как	1	1
216	пушкина но	3	1
217	этого материала	1	1
218	в поэтическом	1	1
219	было у	2	1
220	более или	1	1
221	много но	1	1
222	также более	1	1
223	всего лишь	1	1
224	он уже	1	1
225	по мнению	3	1
226	так много	1	1
227	в которой	4	1
228	на большую	1	1
229	о котором	1	1
230	он успел	1	1
231	не было	4	1
232	так или	1	1
233	это же	1	1
234	тогда когда	2	1
235	и сальери	5	1
236	с одной	2	1
237	с которыми	2	1
238	в качестве	4	1
239	приобретает характер	1	1
240	тем более	3	1
241	в известном	1	1
242	вообще в	1	1
243	что по	3	1
244	литературы в	1	1
245	точно и	1	1
246	уже не	3	1
247	равенства между	1	1
248	имеем в	2	1
249	но также	2	1
250	то и	2	1
251	впечатление которое	1	1
252	в виде	3	1
253	в нем	1	1
254	связанные с	1	1
255	он не	5	1
256	о которой	2	1
257	поэта не	1	1
258	сказать что	4	1
259	состоит из	1	1
260	произведение по	1	1
261	они в	1	1
262	очень часто	1	1
263	одно из	2	1
264	и так	1	1
265	он и	2	1
266	что еще	1	1
267	содержания и	1	1
268	в современном	1	1
269	в свое	1	1
270	может служить	1	1
271	но он	3	1
272	у пушкина	22	1
273	но что	1	1
274	у него	9	1
275	является одним	1	1
276	на форму	1	1
277	поэтики в	1	1
278	ее в	2	1
279	находит себе	1	1
280	и свое	1	1
281	и эта	1	1
282	это в	4	1
283	а это	1	1
284	к убийству	1	1
285	к этому	3	1
286	что в	19	1
287	все что	1	1
288	но ученики	1	1
