N	2gram	Berdyaev_O_1	Hudozhes
207	открытие и	1	1
208	места в	1	1
209	и без	1	1
210	в котором	1	1
211	в единстве	2	1
212	всего только	1	1
213	все и	1	1
214	что говорит	1	1
215	любовь и	1	1
216	который всегда	1	1
217	не могли	2	1
218	в конце	1	1
219	жизни ее	1	1
220	с которой	2	1
221	не имеет	2	1
222	карамазова в	1	1
223	виду не	1	1
224	действующие лица	1	1
225	только и	4	1
226	в самой	9	1
227	ничто не	2	1
228	внутренней жизни	1	1
229	исчезнет в	1	1
230	не по	1	1
231	красота это	1	1
232	как будто	1	1
233	душе в	1	1
234	и здесь	1	1
235	он еще	1	1
236	всего что	1	1
237	в каждом	1	1
238	говорит о	1	1
239	о судьбе	1	1
240	и открывает	1	1
241	из всего	2	1
242	мысль о	2	1
243	свободу и	1	1
244	и зло	1	1
245	это какое-то	1	1
246	жизни не	1	1
247	после того	1	1
248	писателей но	1	1
249	это была	1	1
250	вопросу о	1	1
251	в которую	1	1
252	лишь путем	1	1
253	нуждается в	1	1
254	у достоевского	19	1
255	каждом из	1	1
256	человека как	1	1
257	и мир	1	1
258	по содержанию	1	1
259	с той	1	1
260	и возможности	1	1
261	один из	1	1
262	природой и	1	1
263	действующих лиц	1	1
264	преступлении и	3	1
265	между этими	1	1
266	бы ни	1	1
267	в уста	2	1
268	со всеми	1	1
269	так что	2	1
270	же и	1	1
271	против собственной	1	1
272	состоит чтобы	1	1
273	из них	1	1
274	но от	1	1
275	чего бы	1	1
276	к каким	1	1
277	ведь это	2	1
278	и против	2	1
279	у нее	1	1
280	и личной	1	1
281	так как	2	1
282	и от	3	1
283	должен был	2	1
284	его мысли	4	1
285	на не	1	1
286	не было	9	1
287	личность и	1	1
288	границы и	1	1
289	и даже	1	1
290	как у	1	1
291	в уме	1	1
292	перед ним	1	1
293	во внешней	1	1
294	что не	4	1
295	что для	2	1
296	и пр	1	1
297	отрешиться от	1	1
298	природе и	1	1
299	стремится к	1	1
300	всю жизнь	1	1
301	разговор с	1	1
302	красота есть	1	1
303	его как	1	1
304	в одно	1	1
305	в одной	1	1
306	в иных	1	1
307	не могут	3	1
308	он говорит	1	1
309	и остроте	1	1
310	этого слова	1	1
311	да и	1	1
312	быть не	1	1
313	него не	2	1
314	в это	1	1
315	и формы	1	1
316	своей жизни	2	1
317	все же	2	1
318	может служить	1	1
319	в пределе	1	1
320	и трагическое	1	1
321	его природы	1	1
322	от него	7	1
323	бы в	1	1
324	этого типа	1	1
325	но всегда	1	1
326	не есть	2	1
327	его лишь	1	1
328	к преступлению	1	1
329	не быть	1	1
330	жизни а	1	1
331	в свое	1	1
332	который в	1	1
333	всего в	2	1
334	быть назван	1	1
335	жизни и	1	1
336	ее в	2	1
337	случае если	1	1
338	в своих	3	1
339	и наказании	3	1
340	типа есть	1	1
341	не принять	1	1
342	все что	3	1
