N	2gram	Berdyaev_M_1	VrazhdaK
142	достоевский писал	1	2
143	а достоевский	1	2
144	этот момент	1	2
145	тем более	1	2
146	бесов в	1	2
147	пришел к	1	2
148	и наказания	1	2
149	с нею	1	2
150	уже не	4	2
151	его и	1	2
152	для него	11	2
153	записки из	1	2
154	отношение к	4	2
155	к ним	1	2
156	о влиянии	1	2
157	николай ставрогин	1	2
158	о чем	2	2
159	не может	28	2
160	вместе с	6	2
161	в него	3	2
162	достоевский был	9	2
163	в это	1	2
164	но это	1	2
165	что я	1	2
166	о достоевском	7	2
167	а в	4	2
168	личность и	2	2
169	в период	1	2
170	в свою	2	2
171	себя как	1	1
172	к людям	1	1
173	вряд ли	3	1
174	ко всем	3	1
175	также и	2	1
176	у гоголя	1	1
177	человека и	14	1
178	это и	4	1
179	людей достоевского	1	1
180	и есть	14	1
181	а от	1	1
182	не хочет	2	1
183	был врагом	1	1
184	человека достоевский	2	1
185	имя его	1	1
186	в их	4	1
187	из всех	1	1
188	преступления и	3	1
189	ставрогина –	1	1
190	начинается с	1	1
191	еще до	1	1
192	ему в	1	1
193	вокруг ставрогина	1	1
194	был еще	4	1
195	и был	1	1
196	достоевского был	1	1
197	собой в	1	1
198	как ему	1	1
199	его ума	1	1
200	влияния на	1	1
201	в преступлении	2	1
202	мне все	1	1
203	по своему	2	1
204	одним словом	1	1
205	но не	8	1
206	энергии и	1	1
207	в сторону	1	1
208	был также	1	1
209	не все	2	1
210	если в	1	1
211	достоевский прежде	2	1
212	не хотел	3	1
213	что они	1	1
214	и я	5	1
215	как говорит	1	1
216	как в	2	1
217	с этим	3	1
218	почувствовал что	2	1
219	как к	1	1
220	что как	1	1
221	героев достоевского	2	1
222	и наконец	1	1
223	россии не	1	1
224	человеком в	1	1
225	в самом	11	1
226	письма достоевского	1	1
227	не был	7	1
228	за это	1	1
229	что же	1	1
230	встреча с	1	1
231	во многих	1	1
232	но ведь	1	1
233	как он	2	1
234	в записках	1	1
235	да и	1	1
236	которой не	1	1
237	высшей степени	2	1
238	ключ к	1	1
239	всех этих	1	1
240	чем у	4	1
241	ведь не	1	1
242	в силу	1	1
243	этот процесс	3	1
244	достоевскому он	1	1
245	самому достоевскому	1	1
246	в плане	1	1
247	из него	1	1
248	и этот	4	1
249	людей и	2	1
250	достоевский изобличает	2	1
251	– явление	1	1
252	этом он	2	1
253	в глубине	8	1
254	это было	1	1
255	заключается в	1	1
256	дома и	1	1
257	было бы	10	1
258	и заимствования	1	1
259	был очень	2	1
260	вопрос и	2	1
261	в жизни	3	1
262	в высшей	2	1
263	свет достоевский	1	1
264	человек который	1	1
265	писал о	1	1
266	всю жизнь	4	1
267	которой он	1	1
268	он и	2	1
269	которую он	2	1
270	в этих	4	1
271	и их	3	1
272	можно найти	1	1
273	всяком случае	1	1
274	достоевский с	5	1
275	и уж	2	1
276	сам же	1	1
277	для россии	1	1
278	возвращается к	2	1
279	жизнь его	1	1
280	вплоть до	1	1
281	человека но	4	1
282	от нас	1	1
283	не имеет	3	1
284	дневника писателя	2	1
285	также что	1	1
286	истории –	1	1
287	достоевский имел	1	1
288	все свои	1	1
289	ничего не	3	1
290	он хочет	1	1
291	по своей	2	1
292	новых времен	1	1
293	такая же	1	1
294	потому что	16	1
295	хочет быть	1	1
296	в каком	2	1
297	не знали	1	1
298	только от	1	1
299	в духе	1	1
300	могут быть	2	1
301	и нигилисты	1	1
302	отличается от	2	1
303	достоевском и	2	1
304	контраст между	1	1
305	не есть	9	1
306	уже на	1	1
307	творчества достоевского	1	1
308	в ее	3	1
309	не могло	1	1
310	что раскрывается	1	1
311	на той	1	1
312	идет не	1	1
313	то время	2	1
314	больше было	1	1
315	роль в	1	1
316	достоевским как	1	1
317	верит в	1	1
318	веру в	4	1
319	и сам	1	1
320	человека он	4	1
321	принуждения и	2	1
322	так и	1	1
323	было в	1	1
324	живет в	2	1
325	еще в	2	1
326	но у	1	1
327	жизнь и	1	1
328	на большую	1	1
329	быть может	7	1
330	отношение достоевского	1	1
331	может в	1	1
332	во всяком	1	1
333	до сих	2	1
334	не стоит	1	1
335	с ненавистью	1	1
336	нас в	1	1
337	к нему	7	1
338	доходит до	1	1
339	во всех	1	1
340	от них	1	1
341	говорить об	1	1
342	во всей	1	1
343	в другой	1	1
344	и можно	1	1
345	все в	6	1
346	достоевского это	2	1
347	также в	1	1
348	в свете	3	1
349	человека как	2	1
350	вели к	1	1
351	к которому	1	1
352	один из	4	1
353	ее уже	1	1
354	сразу же	1	1
355	что только	1	1
356	которым он	1	1
357	как великое	1	1
358	ли он	1	1
359	проникнуть в	1	1
360	во всем	1	1
361	когда достоевский	1	1
362	то он	1	1
363	он уже	6	1
364	начало в	2	1
365	же он	1	1
366	себя в	3	1
367	его болезнь	1	1
368	записках из	1	1
369	о великом	4	1
370	хотя в	1	1
371	в душе	1	1
372	ни с	4	1
373	говорит о	1	1
374	никто не	2	1
375	в одном	1	1
376	привела к	2	1
377	ее не	1	1
378	и никогда	1	1
379	от того	1	1
380	отличается не	1	1
381	лишь один	1	1
382	связан с	1	1
383	нужно было	1	1
384	и речи	1	1
385	о своей	2	1
386	и из	1	1
387	– одна	1	1
388	книгу в	1	1
389	характерно для	1	1
390	души и	1	1
391	прежде всего	10	1
392	у человека	5	1
393	на этот	2	1
394	достоевский очень	1	1
395	до конца	14	1
396	и самый	2	1
397	человек в	9	1
398	обычно не	1	1
399	и литературные	1	1
400	себя на	1	1
401	нет ничего	7	1
402	в частности	1	1
403	с первого	1	1
404	человека к	2	1
405	– не	5	1
406	не знал	4	1
407	своей души	2	1
408	судьбу его	1	1
409	того что	7	1
410	и почувствовал	1	1
411	был в	4	1
412	сих пор	2	1
413	под влиянием	1	1
414	ближе к	1	1
415	уж конечно	2	1
416	которых он	4	1
417	заявляет о	1	1
418	и от	2	1
419	я всегда	2	1
420	людьми и	3	1
421	человек и	6	1
422	достоевский пишет	1	1
423	христа и	3	1
424	бы в	2	1
425	еще более	1	1
426	конце концов	2	1
427	он –	12	1
428	для достоевского	5	1
429	нашей истории	1	1
430	можно признать	1	1
431	в обоих	1	1
432	отношении к	2	1
433	своего народа	1	1
434	ставрогина его	1	1
435	быть и	1	1
436	свободой и	2	1
437	мертвого дома	1	1
438	жизни и	2	1
439	к этой	2	1
440	он лишь	2	1
441	к гоголю	2	1
442	все что	2	1
443	они не	1	1
444	он часто	1	1
