N	2gram	Losev_Vesc_1	VLabPisa
104	а вот	3	3
105	это мы	1	3
106	или в	2	3
107	жизни и	2	3
108	что они	6	3
109	так же	1	3
110	в котором	3	3
111	и ее	18	3
112	и их	7	3
113	точки зрения	5	3
114	в конце	2	3
115	имеет свою	1	3
116	и он	1	3
117	с тем	5	3
118	видели что	1	3
119	его в	2	3
120	сводится к	2	3
121	того что	8	3
122	нет и	1	3
123	только что	2	3
124	из его	2	3
125	и к	1	3
126	ее в	1	3
127	у нас	7	3
128	человека и	1	3
129	что не	5	3
130	и от	3	3
131	с этим	3	3
132	мы видели	1	3
133	явлений и	1	3
134	том как	1	3
135	моментов в	2	3
136	в слове	2	3
137	даже и	4	3
138	бы в	5	3
139	сил и	1	3
140	является не	1	3
141	всех этих	1	3
142	именно в	1	3
143	и отдельных	1	3
144	никак не	3	3
145	что и	3	3
146	она не	4	3
147	далеко не	1	3
148	по существу	2	3
149	и по	1	3
150	по поводу	1	3
151	в виду	2	3
152	этот вопрос	1	3
153	и как	8	3
154	мы знаем	1	3
155	может не	2	2
156	в которой	1	2
157	и этот	2	2
158	но с	2	2
159	стороны в	1	2
160	еще не	8	2
161	же как	1	2
162	в другом	2	2
163	должны быть	4	2
164	конце концов	2	2
165	говорить о	6	2
166	с нею	18	2
167	собою и	4	2
168	из себя	3	2
169	даже не	7	2
170	отличается от	7	2
171	на это	4	2
172	и для	9	2
173	еще и	8	2
174	в жизни	3	2
175	крайней мере	4	2
176	не менее	3	2
177	зависит от	1	2
178	вовсе не	10	2
179	по крайней	4	2
180	из основных	1	2
181	только о	1	2
182	сих пор	1	2
183	было в	1	2
184	вообще и	4	2
185	этой точки	1	2
186	до сих	1	2
187	такое понимание	1	2
188	которая не	1	2
189	с другими	8	2
190	если в	1	2
191	того чтобы	3	2
192	во всяком	3	2
193	по себе	13	2
194	только то	2	2
195	можно было	2	2
196	также что	1	2
197	между прочим	3	2
198	ли не	1	2
199	того или	1	2
200	ли это	7	2
201	а в	4	2
202	между ними	3	2
203	самого себя	1	2
204	стороны и	2	2
205	идеалист и	1	2
206	ее как	2	2
207	но не	5	2
208	они должны	1	2
209	необходимо и	3	2
210	и формы	2	2
211	связанное с	1	2
212	а затем	2	2
213	у них	1	2
214	и даже	6	2
215	хотя и	4	2
216	в реальной	1	2
217	восприятия и	1	2
218	действительность в	2	2
219	из которых	1	2
220	и весь	1	2
221	одном и	1	2
222	на вопрос	1	2
223	для того	2	2
224	но в	5	2
225	я бы	1	2
226	они и	1	2
227	не интересует	1	2
228	тогда когда	5	2
229	к его	1	2
230	отнюдь не	5	2
231	что такое	12	2
232	в самых	1	2
233	относится к	5	2
234	в чем	6	2
235	в течение	1	2
236	но к	1	2
237	естественно что	1	2
238	и потому	5	2
239	не быть	3	2
240	можно ли	7	2
241	и быть	1	2
242	всяком случае	2	2
243	самом понятии	1	2
244	не столько	1	2
245	о чем	1	2
246	то это	3	2
247	не о	1	2
248	мы имеем	7	2
249	и может	2	2
250	ту же	2	2
251	тому как	4	2
252	если бы	5	2
253	в особенности	1	2
254	между собою	6	2
255	только не	2	2
256	одной стороны	3	2
257	отличия от	1	2
258	но даже	3	2
259	только очень	2	2
260	из своих	1	2
261	реальная действительность	2	2
262	не вполне	2	2
263	будто бы	1	2
264	от того	3	2
265	с одной	3	2
266	во всей	1	2
267	чтобы не	1	2
268	ни с	6	2
269	в науке	1	2
270	вот это	1	2
271	в умном	1	2
272	в различных	1	2
273	в своих	1	2
274	при помощи	2	2
275	также и	6	2
276	в общем	1	2
277	но то	2	2
278	подобно тому	4	2
279	как от	1	2
280	на эти	1	2
281	значит что	24	2
282	в ней	12	2
283	что она	15	2
284	с а	4	2
285	формы и	1	2
286	от его	2	2
287	заключается в	1	2
288	что оно	8	2
289	или иной	1	2
290	каждой из	2	2
291	человека в	1	2
292	но для	2	2
293	что мы	14	2
294	могло бы	1	2
295	же самое	1	2
296	легко и	1	2
297	эти вопросы	1	2
298	связана с	1	2
299	том чтобы	1	2
300	он и	1	2
301	и значит	2	2
302	к таким	1	1
303	его от	1	1
304	быть определена	1	1
305	свой образ	2	1
306	напряжение всех	1	1
307	почти все	2	1
308	может только	1	1
309	и чисто	1	1
310	образом и	1	1
311	природу и	1	1
312	как мы	4	1
313	часть или	1	1
314	не значит	7	1
315	в в	2	1
316	по сравнению	7	1
317	но она	3	1
318	еще до	1	1
319	можно и	2	1
320	сравнению с	6	1
321	для нас	2	1
322	которой мы	1	1
323	себя или	2	1
324	закреплен в	1	1
325	их к	1	1
326	и наконец	1	1
327	одно и	5	1
328	данном случае	2	1
329	вопрос о	1	1
330	отрыве от	2	1
331	от всех	4	1
332	в него	1	1
333	образом от	1	1
334	о значении	1	1
335	мы и	1	1
336	во имя	1	1
337	именно к	1	1
338	но он	2	1
339	говорит что	1	1
340	при той	1	1
341	о котором	1	1
342	к пониманию	3	1
343	и ни	1	1
344	мы говорим	5	1
345	или не	2	1
346	частей и	1	1
347	то время	1	1
348	в более	1	1
349	мышления и	1	1
350	силой и	1	1
351	действительности на	1	1
352	себе в	3	1
353	себя от	2	1
354	но у	1	1
355	сущности и	1	1
356	личности в	1	1
357	на этот	1	1
358	это определение	1	1
359	обыденной жизни	1	1
360	быть а	1	1
361	смысла и	5	1
362	должна быть	4	1
363	из видов	1	1
364	только на	3	1
365	кроме того	4	1
366	это вовсе	2	1
367	на этом	2	1
368	и все	5	1
369	есть в	1	1
370	раз с	1	1
371	это одна	1	1
372	на то	4	1
373	в виде	1	1
374	ними в	2	1
375	к ее	2	1
376	другой в	1	1
377	как можно	3	1
378	вещь в	6	1
379	сущность и	1	1
380	смысле что	1	1
381	с ним	8	1
382	те или	4	1
383	и так	1	1
384	как нечто	2	1
385	строго говоря	1	1
386	и во	3	1
387	чем отличается	1	1
388	время как	1	1
389	для определения	2	1
390	его и	2	1
391	всем что	2	1
392	действительности не	2	1
393	это в	1	1
394	личности и	1	1
395	если это	2	1
396	существу же	1	1
397	что эта	1	1
398	самом деле	4	1
399	уже из	1	1
400	и другие	1	1
401	всего этого	1	1
402	дело не	2	1
403	в понимании	1	1
404	и без	3	1
405	результате этого	1	1
406	же самый	1	1
407	е не	2	1
408	относятся к	1	1
409	и движение	1	1
410	и значения	1	1
411	а только	3	1
412	в передней	1	1
413	мы получаем	1	1
414	не дает	1	1
415	февраля г	1	1
416	это значит	24	1
417	которые для	1	1
418	если он	1	1
419	же оно	1	1
420	то в	4	1
421	меня ни	1	1
422	данной области	1	1
423	если не	3	1
424	есть и	4	1
425	нет никакого	2	1
426	не знать	2	1
427	знает и	2	1
428	деле в	1	1
429	же но	1	1
430	данного человека	2	1
431	наличие в	1	1
432	как видно	1	1
433	вещи для	4	1
434	в свете	7	1
435	вещи в	9	1
436	е чисто	1	1
437	же не	1	1
438	действительности как	2	1
439	и биология	1	1
440	и иметь	1	1
441	все то	1	1
442	между собой	1	1
443	что ее	2	1
444	нет это	2	1
445	но только	3	1
446	понимать в	1	1
447	а именно	1	1
448	сознательное и	1	1
449	по законам	2	1
450	вообще но	5	1
451	к действительности	2	1
452	почти не	1	1
453	и никакой	1	1
454	свою очередь	4	1
455	отношение к	1	1
456	нечто целое	2	1
457	совершенно не	5	1
458	потому что	16	1
459	свидетельствует о	3	1
460	духовной и	1	1
461	как не	1	1
462	то как	2	1
463	и которая	1	1
464	видим что	1	1
465	для такого	2	1
466	неотделимо от	2	1
467	сами по	3	1
468	образа с	2	1
469	интересует и	1	1
470	необходимо для	1	1
471	или другого	1	1
472	в той	3	1
473	слова и	5	1
474	е от	1	1
475	конечно нет	2	1
476	к ней	2	1
477	еще более	2	1
478	жизнь и	1	1
479	больше того	4	1
480	в вещи	11	1
481	в этих	1	1
482	обойтись без	2	1
483	оно в	1	1
484	состоит из	1	1
485	сама по	3	1
486	как орудие	1	1
487	что есть	5	1
488	и ему	1	1
489	не видеть	1	1
490	в дальнейшем	1	1
491	меньшей мере	1	1
492	момента в	1	1
493	уже есть	1	1
494	с ее	6	1
495	о различных	1	1
496	основные вопросы	1	1
497	имеем дело	3	1
498	от природы	1	1
499	что если	1	1
500	частью в	1	1
501	можно говорить	2	1
502	зрения и	2	1
503	силы и	1	1
504	есть то	9	1
505	что у	5	1
506	е более	1	1
507	не отрицает	1	1
508	и составляет	1	1
509	том или	1	1
510	жизни не	1	1
511	только у	1	1
512	именно эти	1	1
513	в применении	1	1
514	с этой	4	1
515	и если	2	1
516	только с	3	1
517	его значение	1	1
518	в определенном	1	1
519	не все	1	1
520	значит ли	5	1
521	можно назвать	1	1
522	так то	3	1
523	ни в	1	1
524	да и	3	1
525	вскрыть в	1	1
526	но на	2	1
527	уже в	1	1
528	находится в	3	1
529	как будто	1	1
530	со всем	5	1
531	бытие как	1	1
532	мы в	1	1
533	тому же	1	1
534	же по	1	1
535	ту или	2	1
536	и еще	2	1
537	тот или	1	1
538	в каком-то	2	1
539	должно быть	6	1
540	действительности без	2	1
541	вообще в	1	1
542	а и	9	1
543	или ее	2	1
544	поэтому в	1	1
545	в истории	1	1
546	тем что	2	1
547	том смысле	1	1
548	в новое	1	1
549	не один	1	1
550	образом можно	1	1
551	это что	4	1
552	ничего общего	1	1
553	как же	3	1
554	понятий и	2	1
555	большею частью	1	1
556	представить себе	1	1
557	по меньшей	1	1
558	же и	1	1
559	собою в	1	1
560	уже не	9	1
561	к сфере	1	1
562	это было	1	1
563	в основе	3	1
564	новое время	1	1
565	если только	1	1
566	лежит в	1	1
567	что еще	1	1
568	однако и	1	1
569	что эти	1	1
570	сам по	3	1
571	для этого	4	1
572	само же	1	1
573	внимание на	1	1
574	ней ту	1	1
575	с новыми	1	1
576	предмета в	1	1
577	деталей и	1	1
578	в сфере	4	1
579	а наоборот	1	1
580	то или	2	1
581	может обойтись	1	1
582	пока в	1	1
583	значит не	4	1
584	раз навсегда	2	1
585	только тогда	3	1
586	но ни	1	1
587	единство и	1	1
588	такой вещи	1	1
589	вне себя	2	1
590	или иную	2	1
591	себя и	4	1
592	и что	15	1
593	к истине	1	1
594	если есть	1	1
595	же если	1	1
596	в данной	1	1
597	как комплекс	1	1
598	этим самым	1	1
599	сознания вообще	1	1
600	и внешнего	2	1
601	из того	2	1
602	и кончая	1	1
603	тут роль	1	1
604	без остатка	1	1
605	несмотря на	1	1
606	не случайно	2	1
607	эту проблему	1	1
608	и смысл	1	1
609	речи о	1	1
610	опыту то	1	1
611	и целиком	1	1
612	и механизм	1	1
613	быть и	1	1
614	признать что	1	1
615	свой анализ	1	1
616	материи есть	1	1
617	но что	2	1
618	с которой	1	1
619	чем он	1	1
620	в духе	1	1
621	а также	1	1
622	и эти	2	1
623	собственно говоря	4	1
624	мы хотим	1	1
625	мы видим	2	1
626	или как	2	1
627	бы уже	1	1
628	бы его	1	1
629	оно и	4	1
630	из наиболее	1	1
631	диалектики как	1	1
632	знает что	2	1
633	и бытие	1	1
634	как оно	3	1
635	как сказал	1	1
636	что из	2	1
637	на себя	1	1
638	хотя в	1	1
639	оно может	2	1
640	идею и	2	1
641	так или	4	1
642	сущности в	1	1
643	связанной с	1	1
644	очень многим	1	1
645	если все	1	1
646	представление а	1	1
647	философии как	1	1
648	он вполне	1	1
649	и сознания	1	1
650	и художественном	1	1
651	себя это	4	1
652	в обыденной	1	1
653	и это	14	1
654	конечно не	1	1
655	действительности если	1	1
656	о природе	1	1
657	со своими	1	1
658	остается только	1	1
659	именно это	1	1
660	искусства и	1	1
661	быть в	1	1
662	себе и	1	1
663	стоит только	1	1
664	или иначе	4	1
665	и то	10	1
666	это понятие	1	1
667	о нем	1	1
668	своего собственного	1	1
669	без этого	2	1
670	и каково	1	1
671	сознание это	1	1
672	от всего	12	1
673	ней не	1	1
674	в сферу	1	1
675	которое не	1	1
676	нужно как	1	1
677	наконец и	1	1
678	является в	2	1
679	а во-вторых	1	1
680	е в	7	1
681	ничего иного	2	1
682	применении к	2	1
683	но это	10	1
684	понимает и	1	1
685	не обязательно	1	1
686	а если	1	1
687	той или	2	1
688	в данном	5	1
689	и отсталой	1	1
690	в свою	4	1
