N	2gram	Kanaev_Sov_1	Analitik
156	что же	5	2
157	и тогда	1	2
158	не является	1	2
159	это как	1	2
160	элементов а	1	2
161	в свое	1	2
162	в какой	1	2
163	которая оказывается	1	1
164	человека и	1	1
165	по преимуществу	1	1
166	не имеют	1	1
167	все те	2	1
168	между ним	1	1
169	в зависимости	4	1
170	по его	1	1
171	мы уже	1	1
172	она в	1	1
173	принадлежит только	1	1
174	мы не	9	1
175	такой путь	1	1
176	равно как	1	1
177	имеют место	1	1
178	зависимости от	4	1
179	в ней	1	1
180	свою очередь	2	1
181	он сам	1	1
182	его работы	1	1
183	быть в	1	1
184	во всех	1	1
185	ведущие к	1	1
186	мы будем	1	1
187	но как	1	1
188	независимо от	1	1
189	третьего эксперимента	1	1
190	о жизни	2	1
191	и той	1	1
192	явлений не	1	1
193	и наконец	5	1
194	значение этих	1	1
195	именно эта	1	1
196	не приходится	1	1
197	та же	1	1
198	что это	2	1
199	он в	3	1
200	в известном	1	1
201	и тот	1	1
202	только один	2	1
203	и те	1	1
204	этот процесс	1	1
205	силу и	1	1
206	свою целостность	2	1
207	становится его	1	1
208	в виде	2	1
209	нам только	1	1
210	а о	1	1
211	физика и	1	1
212	в основу	1	1
213	но все	2	1
214	а затем	1	1
215	что все	2	1
216	обратном порядке	1	1
217	и может	1	1
218	том случае	1	1
219	и некоторой	1	1
220	его в	1	1
221	современной биологии	1	1
222	мы постараемся	1	1
223	в ином	1	1
224	для них	1	1
225	раз она	1	1
226	все равно	1	1
227	одна и	1	1
228	система принципиально	1	1
229	и становится	1	1
230	все более	1	1
231	и при	1	1
232	в такой	1	1
233	осуществляет только	1	1
234	то его	1	1
235	двух и	1	1
236	процесса и	1	1
237	точку зрения	4	1
238	времени не	1	1
239	по крайней	1	1
240	их в	4	1
241	у читателя	1	1
242	зрения и	1	1
243	она по	1	1
244	раз и	1	1
245	ни изменить	1	1
246	как будет	1	1
247	не менее	2	1
248	описания и	1	1
249	все три	1	1
250	в обоих	1	1
251	одна из	3	1
252	одной и	1	1
253	на котором	2	1
254	ничего не	6	1
255	эта сторона	1	1
256	этих двух	2	1
257	к концу	1	1
258	но это	1	1
259	эти три	1	1
260	эту сторону	1	1
261	с другом	2	1
262	а далее	1	1
263	мы по	1	1
264	его с	1	1
265	на это	1	1
266	еще аристотелем	1	1
267	в различении	1	1
268	определенным образом	1	1
269	принадлежащие одному	1	1
270	по аналогии	1	1
271	те же	1	1
272	при одном	1	1
273	том как	1	1
274	целью а	1	1
275	в отдельных	1	1
276	объяснения и	1	1
277	и должно	1	1
278	и т.д	3	1
279	но мы	3	1
280	и что	2	1
281	себя самого	1	1
282	может не	3	1
283	аналогии с	1	1
284	и во	2	1
285	в которую	2	1
286	аристотелем и	1	1
287	во всей	1	1
288	и только	1	1
289	крайней мере	1	1
290	которая и	1	1
291	в ту	1	1
292	все время	1	1
293	жизни оно	1	1
294	человека как	1	1
295	быть и	2	1
296	на которой	1	1
297	совершенно объективным	1	1
298	тот же	2	1
299	может оказаться	1	1
300	этой совокупности	1	1
301	на элементы	1	1
302	все они	1	1
303	одни и	1	1
304	без определенного	1	1
305	связи с	1	1
306	не можем	7	1
307	то и	2	1
308	чтобы он	1	1
309	ведь если	1	1
310	научного знания	1	1
311	чем ее	1	1
312	во втором	1	1
313	в данной	1	1
314	система его	1	1
315	только одно	1	1
316	два направления	1	1
317	всяком случае	2	1
318	предлагает нам	1	1
319	как их	1	1
320	в одном	3	1
321	ему принадлежит	1	1
322	у него	2	1
323	в науке	2	1
324	которая позволяет	1	1
325	науки в	1	1
326	не нарушает	1	1
327	только на	1	1
328	которые опираются	1	1
329	она и	1	1
330	и даже	2	1
331	развития в	2	1
332	до сих	1	1
333	подлежит никакому	1	1
334	здесь в	1	1
335	один и	1	1
336	не было	1	1
337	означало бы	1	1
338	целого из	1	1
339	в связи	1	1
340	не способна	1	1
341	всех трех	1	1
342	и особенно	1	1
343	он уже	1	1
344	в течение	1	1
345	научной мысли	1	1
346	в обратном	1	1
347	явления то	1	1
348	друг с	2	1
349	начало нового	1	1
350	форма в	2	1
351	неживой природы	1	1
352	счете только	1	1
353	еще раз	1	1
354	известном смысле	1	1
355	другой такой	1	1
356	сих пор	1	1
357	при условии	1	1
358	этом смысле	1	1
359	является ли	1	1
360	только одна	6	1
361	и для	1	1
362	указать на	1	1
363	при таком	3	1
364	и от	1	1
365	все что	1	1
366	не подлежит	3	1
367	или в	1	1
368	в результате	6	1
369	между ними	1	1
370	человек и	1	1
371	но отнюдь	1	1
372	хотя и	1	1
373	или другой	1	1
374	для нас	3	1
375	мы должны	4	1
376	же в	1	1
377	но затем	1	1
378	на части	1	1
379	в своих	1	1
380	жизни в	1	1
381	в свою	2	1
382	не знает	1	1
383	связей и	1	1
384	совершенно не	2	1
385	происходящего в	1	1
386	таким же	1	1
387	в действительности	1	1
388	просто не	1	1
389	жизни и	4	1
390	а может	1	1
391	и эта	1	1
392	они не	1	1
393	во всяком	2	1
