N	2gram	Berdyaev_O_1	Formalny
233	в этих	3	1
234	художественного творчества	1	1
235	в котором	1	1
236	из которой	1	1
237	в первый	1	1
238	в силу	1	1
239	но он	7	1
240	этого только	1	1
241	и природной	1	1
242	как от	1	1
243	что связано	1	1
244	и очень	2	1
245	вообще но	1	1
246	движении и	1	1
247	этими двумя	1	1
248	в русской	3	1
249	не имеет	2	1
250	того чтобы	4	1
251	самой жизни	1	1
252	и без	1	1
253	возможностей и	2	1
254	всего и	2	1
255	ведь может	1	1
256	в русском	1	1
257	и ценности	1	1
258	по своей	1	1
259	жизни как	1	1
260	человек его	1	1
261	потому что	9	1
262	в сознании	1	1
263	было не	1	1
264	этом отношении	1	1
265	и из	2	1
266	свое собственное	1	1
267	не могут	3	1
268	могут быть	3	1
269	и самое	1	1
270	и о	2	1
271	людей в	1	1
272	характер и	1	1
273	не те	1	1
274	что у	2	1
275	всегда дана	1	1
276	по природе	1	1
277	в борьбе	1	1
278	подойти к	2	1
279	из путей	1	1
280	по сравнению	1	1
281	и делают	1	1
282	собственно в	1	1
283	и гармонии	1	1
284	душе не	1	1
285	в другом	2	1
286	преодолеть его	1	1
287	с разных	2	1
288	его жизни	1	1
289	образе в	1	1
290	нет у	1	1
291	но ничего	1	1
292	в форме	1	1
293	и ни	2	1
294	во внутренней	1	1
295	всегда является	1	1
296	интереса к	1	1
297	мысли не	1	1
298	к нему	3	1
299	проникнуть в	1	1
300	и судьбу	1	1
301	и действительно	1	1
302	который в	1	1
303	между этими	1	1
304	а белого	1	1
305	так что	2	1
306	а это	1	1
307	не стал	1	1
308	из них	1	1
309	мир в	1	1
310	был бы	1	1
311	никто не	3	1
312	у нее	1	1
313	так как	2	1
314	у него	22	1
315	художник не	1	1
316	а те	1	1
317	он глубоко	1	1
318	действительно в	1	1
319	связан с	1	1
320	одном месте	1	1
321	как у	1	1
322	качества и	1	1
323	что они	2	1
324	а именно	1	1
325	а с	1	1
326	что не	4	1
327	что для	2	1
328	жизни их	1	1
329	судьба его	1	1
330	чем на	3	1
331	для человека	2	1
332	которые будут	1	1
333	возможен лишь	1	1
334	русской литературы	1	1
335	к его	1	1
336	жизни а	1	1
337	сравнению с	1	1
338	что же	2	1
339	образ и	1	1
340	и достигает	1	1
341	что как	1	1
342	ней не	1	1
343	в это	1	1
344	и всех	1	1
345	стремиться к	1	1
346	отношениях к	1	1
347	и для	2	1
348	которого они	1	1
349	том что	2	1
350	к одной	1	1
351	ее и	1	1
352	особого рода	1	1
353	которую он	2	1
354	еще более	1	1
355	ни к	1	1
356	самой последней	2	1
357	разных сторон	2	1
358	они и	1	1
359	всех тех	1	1
360	первый период	1	1
361	сказать что	2	1
362	а ее	1	1
363	совершенно не	1	1
364	формы он	1	1
365	самом начале	1	1
366	и состоит	1	1
367	ее в	2	1
368	и эта	1	1
369	к этому	2	1
370	доступ к	1	1
