N	2gram	Nazirov_Tr_1	EvropaiE
233	в отличие	2	1
234	что при	1	1
235	значение для	1	1
236	мы отметим	1	1
237	x и	2	1
238	с такими	1	1
239	возвращается к	1	1
240	тому что	1	1
241	все эти	3	1
242	не менее	1	1
243	вплоть до	1	1
244	но они	2	1
245	что эта	1	1
246	что с	3	1
247	в обоих	1	1
248	считает что	1	1
249	одна из	2	1
250	это мы	1	1
251	в самой	1	1
252	бы сказали	1	1
253	в русском	2	1
254	во всем	1	1
255	вместо того	1	1
256	и его	6	1
257	связи с	1	1
258	мы бы	1	1
259	но все-таки	1	1
260	мы отнюдь	1	1
261	свое значение	1	1
262	играть в	1	1
263	и о	1	1
264	людей в	1	1
265	мысль о	1	1
266	литературы и	1	1
267	и сам	3	1
268	с собой	1	1
269	по природе	1	1
270	когда его	1	1
271	об этом	4	1
272	еще в	2	1
273	когда в	1	1
274	быть может	1	1
275	с ним	3	1
276	силы и	1	1
277	к проблемам	1	1
278	на вопрос	1	1
279	это должно	1	1
280	времени в	2	1
281	связь между	1	1
282	это может	1	1
283	из себя	1	1
284	всего этого	1	1
285	xix век	1	1
286	при самом	1	1
287	один из	3	1
288	в двух	1	1
289	связь и	1	1
290	с ними	1	1
291	дело с	1	1
292	как нечто	1	1
293	природе вещей	1	1
294	который в	2	1
295	и ее	2	1
296	уже не	2	1
297	уже в	3	1
298	то и	2	1
299	всем его	1	1
300	завершения в	1	1
301	что не	1	1
302	но от	1	1
303	одно из	1	1
304	для него	3	1
305	и их	1	1
306	и должна	1	1
307	как его	1	1
308	даже не	1	1
309	а на	1	1
310	не сводится	1	1
311	в каких	1	1
312	обратиться к	1	1
313	может жить	1	1
314	не было	1	1
315	и далее	1	1
316	власти и	1	1
317	с которым	1	1
318	он рассматривает	1	1
319	в связи	1	1
320	xx века	1	1
321	если так	1	1
322	к жизни	5	1
323	что за	3	1
324	обратное народ	1	1
325	должно быть	3	1
326	с ее	3	1
327	этого слова	1	1
328	ибо тем	1	1
329	при таком	1	1
330	грубость и	1	1
331	что оно	1	1
332	в силах	2	1
333	а к	1	1
334	но это	4	1
335	в отношениях	1	1
336	не быть	1	1
337	мы оставим	1	1
338	но этот	1	1
339	с такой	1	1
340	что даже	1	1
341	от природы	1	1
342	к числу	1	1
343	к этой	1	1
344	на ту	1	1
345	время с	1	1
346	ii с	1	1
347	это в	1	1
348	с г	2	1
