N	2gram	Tiupa_Teor_1	VerxiiNi
461	на не	1	1
462	это по	1	1
463	смысла и	1	1
464	видно из	1	1
465	чему не	1	1
466	а именно	2	1
467	в соответствии	3	1
468	слове о	2	1
469	других для	1	1
470	человеческой жизни	1	1
471	существующее в	2	1
472	жизнь в	1	1
473	всей своей	1	1
474	одну из	1	1
475	о чем	1	1
476	различие между	1	1
477	и том	1	1
478	с помощью	1	1
479	в момент	2	1
480	нет никаких	1	1
481	является его	1	1
482	в данном	8	1
483	в той	2	1
484	отношения к	2	1
485	человека и	1	1
486	многих других	1	1
487	телесной оболочкой	1	1
488	этого слова	3	1
489	и некоторые	2	1
490	на которой	1	1
491	о его	1	1
492	о мире	1	1
493	мира в	1	1
494	не является	4	1
495	известной степени	3	1
496	и состоит	1	1
497	не существует	1	1
498	его с	1	1
499	мира и	1	1
500	или иным	3	1
501	это уже	1	1
502	не представляет	1	1
503	бы в	1	1
504	тем более	1	1
505	миропорядка и	3	1
506	ни к	3	1
507	пришлось бы	1	1
508	все они	1	1
509	указывает на	1	1
510	впервые в	1	1
511	совершенно не	1	1
512	жизни а	1	1
513	среди прочих	1	1
514	в своих	1	1
515	значение в	1	1
516	они не	1	1
