N	2gram	Savitsky_P_1	VerxiiNi
131	заключает в	2	2
132	значительной части	1	2
133	те же	1	2
134	в них	2	2
135	подходя к	1	2
136	не в	5	2
137	в россии	3	2
138	иной раз	1	2
139	для каждого	1	2
140	тогда когда	1	2
141	тех пор	1	2
142	же время	7	2
143	в русском	2	2
144	и здесь	1	2
145	значительной мере	2	2
146	культуры на	1	2
147	не с	1	2
148	особенно в	1	2
149	по сравнению	2	2
150	для этого	1	2
151	мысль о	2	2
152	с того	1	2
153	а также	4	2
154	между тем	3	2
155	востока и	1	2
156	вслед за	3	2
157	все существующее	1	2
158	тот же	3	2
159	богом и	1	2
160	уже в	1	2
161	эти черты	1	2
162	в начале	2	2
163	одно из	1	2
164	мы можем	1	2
165	или иной	1	2
166	русской интеллигенции	1	2
167	именно в	2	2
168	прежде всего	3	2
169	выступает в	1	2
170	не было	2	2
171	может ли	2	2
172	верхами и	1	2
173	в одно	1	2
174	должна была	1	2
175	и особенно	1	2
176	и мир	1	2
177	сравнению с	1	2
178	есть как	1	2
179	на пути	4	2
180	что мы	3	2
181	тем и	1	2
182	том виде	1	2
183	о котором	1	2
184	пути к	1	2
185	в эту	2	2
186	только что	1	2
187	одновременно и	1	2
188	ли они	1	2
189	народные массы	1	2
190	русское благочестие	1	2
191	как известно	1	1
192	от этой	1	1
193	можно говорить	1	1
194	за тем	1	1
195	в сфере	2	1
196	и через	1	1
197	которого в	1	1
198	пусть эта	1	1
199	и есть	2	1
200	тем же	1	1
201	целому ряду	1	1
202	мы не	3	1
203	что уже	1	1
204	бы и	1	1
205	этом не	1	1
206	духовной и	1	1
207	сам как	1	1
208	оно есть	1	1
209	от церкви	1	1
210	к началу	2	1
211	мы и	1	1
212	в ней	6	1
213	что его	1	1
214	в творениях	1	1
215	в православии	1	1
216	более как	1	1
217	отличие от	1	1
218	себя в	1	1
219	как по	1	1
220	поскольку они	1	1
221	как к	1	1
222	могли бы	1	1
223	в определенный	1	1
224	духовную жизнь	2	1
225	к чему	2	1
226	формы в	1	1
227	ибо существование	1	1
228	чуть ли	1	1
229	думать что	2	1
230	отчасти и	1	1
231	не более	1	1
232	и будущее	1	1
233	сливаются в	1	1
234	если он	1	1
235	соприкасается с	1	1
236	и более	1	1
237	области отношения	1	1
238	чтобы в	1	1
239	прежде чем	1	1
240	основные черты	1	1
241	от нее	1	1
242	и некоторой	1	1
243	на этой	1	1
244	его в	1	1
245	заключается в	3	1
246	было в	2	1
247	есть не	2	1
248	это не	3	1
249	было бы	6	1
250	мира с	2	1
251	весь мир	1	1
252	есть несколько	1	1
253	в жизни	2	1
254	с богом	1	1
255	как и	1	1
256	всегда существует	1	1
257	и путь	1	1
258	должно быть	2	1
259	прийти к	1	1
260	место в	1	1
261	на каждом	1	1
262	в отличие	1	1
263	значительную часть	1	1
264	по себе	4	1
265	оторвавшись от	1	1
266	от тех	1	1
267	этой области	1	1
268	что происходит	1	1
269	эта мысль	1	1
270	зато имеет	1	1
271	что с	1	1
272	и китайского	1	1
273	казалось бы	1	1
274	они являются	1	1
275	мировоззрения не	1	1
276	к россии	1	1
277	другой стороны	1	1
278	каким оно	1	1
279	а русские	1	1
280	в каком	1	1
281	русские интеллигенты	1	1
282	которое в	2	1
283	могут быть	3	1
284	этот выход	1	1
285	был элемент	1	1
286	и другим	1	1
287	всего что	1	1
288	не есть	1	1
289	эти явления	1	1
290	восточных культур	1	1
291	заставить их	1	1
292	с ее	1	1
293	в ее	2	1
294	совершенно ясно	1	1
295	только то	1	1
296	в себя	1	1
297	сменяют друг	1	1
298	идет речь	1	1
299	к смерти	1	1
300	с собой	1	1
301	живет в	1	1
302	нужно было	2	1
303	что от	1	1
304	или что	1	1
305	европеизации в	1	1
306	стремление к	1	1
307	вероятно что	1	1
308	именно потому	1	1
309	и других	2	1
310	характер этого	1	1
311	настоящее время	1	1
312	притом в	1	1
313	и нижним	1	1
314	может не	1	1
315	тюрков и	1	1
316	в лесах	1	1
317	связь между	1	1
318	в которую	2	1
319	бы часть	1	1
320	во всей	2	1
321	греховности и	1	1
322	них в	1	1
323	как она	1	1
324	области религиозной	1	1
325	в сферу	1	1
326	эти последние	1	1
327	оставаясь в	1	1
328	обе эти	1	1
329	мы видим	1	1
330	с ними	3	1
331	друг друга	1	1
332	и ее	1	1
333	или его	1	1
334	их не	1	1
335	только на	1	1
336	есть проблема	1	1
337	на этих	2	1
338	веры и	1	1
339	в ином	1	1
340	в душе	1	1
341	под ногами	1	1
342	мы знаем	1	1
343	с западом	1	1
344	и западных	1	1
345	представить себе	1	1
346	не означает	1	1
347	иначе как	1	1
348	сами по	3	1
349	вообще можно	1	1
350	как раз	2	1
351	и духовные	1	1
352	представляют собой	1	1
353	из двух	1	1
354	не были	1	1
355	возможно что	1	1
356	ней и	1	1
357	выйдет из	1	1
358	православная церковь	2	1
359	и пр	5	1
360	весьма вероятно	2	1
361	черты в	1	1
362	существующее в	1	1
363	технических средств	1	1
364	эту эпоху	1	1
365	в момент	1	1
366	нет ничего	1	1
367	знаем и	1	1
368	и любовью	1	1
369	ни на	1	1
370	и творить	1	1
371	хозяйственной жизни	1	1
372	в европе	2	1
373	с этим	2	1
374	в данном	1	1
375	да и	2	1
376	отношения к	2	1
377	на какие	1	1
378	там где	1	1
379	многих других	1	1
380	и менее	1	1
381	ли не	1	1
382	к обожествлению	1	1
383	помнить что	2	1
384	но для	1	1
385	эти ценности	1	1
386	что жизнь	1	1
387	в настоящее	1	1
388	или иным	1	1
389	русских людей	1	1
390	тем более	2	1
391	ни к	1	1
392	же в	4	1
393	давно уже	1	1
394	может и	2	1
395	только как	1	1
396	относящиеся к	1	1
397	по одному	1	1
398	культуры в	2	1
399	к этой	1	1
400	люди и	1	1
401	национального творчества	1	1
402	они не	1	1
