N	2gram	Berdyaev_N_1	Russkaja
219	на место	1	1
220	к новой	1	1
221	от своих	1	1
222	в сущности	1	1
223	оно есть	1	1
224	занять подобающее	1	1
225	с большим	1	1
226	они считают	2	1
227	стоят на	2	1
228	на них	1	1
229	не был	1	1
230	она давала	1	1
231	что его	1	1
232	значение и	1	1
233	есть по	1	1
234	для борьбы	1	1
235	в истории	3	1
236	для существования	1	1
237	странах и	1	1
238	и целостности	1	1
239	европы есть	1	1
240	имя своих	1	1
241	и национальные	1	1
242	от этого	1	1
243	не признают	1	1
244	не быть	1	1
245	в которой	1	1
246	но ведь	1	1
247	духовной культуры	1	1
248	вообще не	1	1
249	не могла	2	1
250	жизни перед	1	1
251	истории на	1	1
252	и иерархии	1	1
253	к одному	1	1
254	всякого народа	1	1
255	заключает в	1	1
256	власть а	1	1
257	и заключается	2	1
258	но все	1	1
259	это конечно	1	1
260	значительной степени	1	1
261	в одну	2	1
262	эпохи не	1	1
263	а по	1	1
264	в будущее	1	1
265	с другими	1	1
266	цивилизации и	1	1
267	это не	4	1
268	характер будет	1	1
269	и мы	4	1
270	в жизни	5	1
271	с богом	1	1
272	борьбе за	1	1
273	человека на	1	1
274	его было	1	1
275	не всегда	1	1
276	для чего	2	1
277	нет и	2	1
278	такой же	2	1
279	и того	1	1
280	одного и	1	1
281	перед собой	1	1
282	привело к	1	1
283	нет для	1	1
284	и культуры	2	1
285	соблазнам и	1	1
286	в такой	1	1
287	в советской	1	1
288	бы к	1	1
289	что вся	1	1
290	духу и	1	1
291	не столько	1	1
292	как другие	1	1
293	быть таким	1	1
294	и начало	3	1
295	они сами	1	1
296	и вся	1	1
297	не менее	4	1
298	к такой	1	1
299	она могла	1	1
300	не по	1	1
301	в основе	3	1
302	национального обособления	1	1
303	та или	1	1
304	того и	1	1
305	догматах веры	1	1
306	и весь	2	1
307	явление в	1	1
308	силу для	1	1
309	к ней	1	1
310	не церковь	1	1
311	власть чем	1	1
312	мировой войны	4	1
313	часто бывало	1	1
314	и укрепления	1	1
315	в духе	3	1
316	нет ни	1	1
317	выход из	1	1
318	есть только	1	1
319	могут быть	2	1
320	человека в	1	1
321	должны быть	1	1
322	что будущее	1	1
323	непременно будут	1	1
324	и это	2	1
325	оно может	1	1
326	с ее	5	1
327	как не	8	1
328	на нем	1	1
329	людей в	1	1
330	в ее	3	1
331	над нами	1	1
332	роль в	2	1
333	формы культуры	1	1
334	то нужно	1	1
335	и когда	1	1
336	так и	2	1
337	и религии	1	1
338	господствующей в	1	1
339	мы в	1	1
340	быть может	4	1
341	в эпоху	9	1
342	нас и	1	1
343	движения и	1	1
344	власти в	1	1
345	то они	1	1
346	можно сказать	1	1
347	с другой	3	1
348	должно было	2	1
349	а во	1	1
350	может когда	1	1
351	переходит в	1	1
352	и хочет	1	1
353	в русском	2	1
354	может иметь	1	1
355	он есть	1	1
356	по своей	1	1
357	прав на	2	1
358	каждого человека	2	1
359	и привел	1	1
360	церковь как	1	1
361	в обществе	2	1
362	же и	1	1
363	и у	1	1
364	вопроса о	1	1
365	или не	1	1
366	есть проблема	1	1
367	слишком далеко	1	1
368	а это	1	1
369	к своим	1	1
370	считают себя	1	1
371	и их	1	1
372	для настоящего	1	1
373	в прошлом	3	1
374	не для	1	1
375	к ним	3	1
376	бытия и	1	1
377	связано с	1	1
378	церкви были	1	1
379	превращается в	1	1
380	и вырабатывает	1	1
381	неизбежно будет	1	1
382	в свои	2	1
383	государство и	2	1
384	на ее	1	1
385	связаны с	2	1
386	к которому	1	1
387	движения в	1	1
388	что не	1	1
389	для решения	1	1
390	а на	1	1
391	был в	1	1
392	ничем не	1	1
393	не верит	1	1
394	не на	1	1
395	и культур	1	1
396	власти и	1	1
397	человеческой жизни	1	1
398	культуры мы	1	1
399	ближе к	1	1
400	внешней жизни	1	1
401	которые будут	1	1
402	формы жизни	1	1
403	и пути	1	1
404	и коммунизм	3	1
405	с идеями	1	1
406	как это	2	1
407	хозяйственной жизни	2	1
408	жизни церкви	2	1
409	по своему	4	1
410	вступление в	1	1
411	не удалось	1	1
412	эту мысль	1	1
413	вырабатывает свою	1	1
414	в состоянии	1	1
415	считать себя	1	1
416	совести и	1	1
417	быть не	1	1
418	числе и	1	1
419	человек живущий	1	1
420	которая в	1	1
421	и все	4	1
422	реально не	1	1
423	от всякого	2	1
424	к ее	3	1
425	от религии	2	1
426	россия никогда	1	1
427	в свою	1	1
428	в какие	1	1
429	русские люди	1	1
430	но можно	1	1
431	время но	1	1
432	россия в	1	1
433	всех странах	1	1
434	на вершинах	2	1
435	через них	1	1
436	церковью и	1	1
437	можно назвать	2	1
438	том числе	1	1
439	они не	1	1
