N	2gram	Vinokur_Ku_3	KFilosof
313	именно к	1	1
314	в основных	1	1
315	оба эти	1	1
316	имеет смысла	1	1
317	само слово	1	1
318	эта функция	1	1
319	и ее	1	1
320	как я	2	1
321	в составе	1	1
322	конечно и	1	1
323	так называемые	1	1
324	и говорить	2	1
325	целом есть	1	1
326	три строки	1	1
327	мысли и	2	1
328	столь же	4	1
329	в различных	2	1
330	в нашем	7	1
331	а тем	2	1
332	мы будем	1	1
333	и значении	1	1
334	что язык	1	1
335	и будет	1	1
336	не просто	2	1
337	этого единства	1	1
338	более чем	2	1
339	только факт	1	1
340	с этим	1	1
341	нам остается	1	1
342	помнить что	1	1
343	это отнюдь	1	1
344	хотя и	5	1
345	жизни может	1	1
346	и к	3	1
347	в каком-то	1	1
348	в первом	5	1
349	или иную	1	1
350	за собой	1	1
351	в самом	13	1
352	в которой	1	1
353	это утверждение	1	1
354	ни один	1	1
355	на некоторых	1	1
356	все силы	1	1
357	в известном	2	1
358	ибо если	1	1
359	если он	1	1
360	этот процесс	1	1
361	есть действительно	1	1
362	что она	5	1
363	главным образом	2	1
364	сказать в	1	1
365	а скорее	1	1
366	с нашим	1	1
367	не к	1	1
368	образом и	1	1
369	отношений между	2	1
370	ни была	1	1
371	его от	1	1
372	на этом	2	1
373	будем говорить	1	1
374	не умеем	1	1
375	этом ее	1	1
376	имеют в	1	1
377	том случае	4	1
378	и с	3	1
379	и чтобы	2	1
380	с целью	2	1
381	и иных	1	1
382	он есть	1	1
383	именно что	1	1
384	практически не	1	1
385	и единственным	1	1
386	и точности	1	1
387	и рядом	3	1
388	все равно	1	1
389	этого не	1	1
390	и уже	1	1
391	несмотря на	1	1
392	никто конечно	1	1
393	тогда совершенно	1	1
394	значит не	3	1
395	чем в	2	1
396	и было	1	1
397	такой же	2	1
398	не мог	1	1
399	лучше всего	1	1
400	мысли что	1	1
401	в этих	2	1
402	она сама	1	1
403	под эти	1	1
404	и поскольку	1	1
405	лежат в	1	1
406	всяком случае	1	1
407	на месте	1	1
408	она в	1	1
409	отнести данное	1	1
410	мы найдем	2	1
411	свой смысл	1	1
412	признать что	1	1
413	значение для	1	1
414	сам же	2	1
415	к такой	2	1
416	самого смысла	1	1
417	не будем	5	1
418	но он	1	1
419	творчества и	1	1
420	действительно есть	1	1
421	имеет смысл	3	1
422	есть еще	1	1
423	оказалось бы	1	1
424	в предыдущем	1	1
425	возможна не	1	1
426	если и	2	1
427	в отношении	3	1
428	все для	1	1
429	говорят об	1	1
430	она не	3	1
431	как о	3	1
432	первая часть	1	1
433	так чтобы	1	1
434	но только	1	1
435	этого конечно	1	1
436	не могло	1	1
437	для всего	1	1
438	только не	1	1
439	следовательно и	1	1
440	бы более	1	1
441	важно однако	2	1
442	возможно и	1	1
443	до их	2	1
444	между прочим	8	1
445	более что	2	1
446	по своей	1	1
447	такая же	2	1
448	за исключением	1	1
449	это слово	1	1
450	вот этот-то	1	1
451	к этим	1	1
452	следует из	1	1
453	и экономической	1	1
454	здесь же	1	1
455	есть некая	1	1
456	сделать в	1	1
457	к таким	1	1
458	ни о	1	1
459	которых он	1	1
460	и должно	5	1
461	сказать только	1	1
462	и другой	1	1
463	и такие	2	1
464	зависимости от	8	1
465	отличается от	2	1
466	содержанием и	1	1
467	всего в	1	1
468	к тому	3	1
469	всего что	1	1
470	целом в	1	1
471	задана как	1	1
472	данной области	1	1
473	если мы	7	1
474	и о	4	1
475	разных точек	1	1
476	что все	2	1
477	как не	1	1
478	свою очередь	1	1
479	определенной цели	1	1
480	всего этого	3	1
481	и от	1	1
482	характер и	1	1
483	но мы	2	1
484	приводит к	1	1
485	можно говорить	10	1
486	на том	2	1
487	вышла из	1	1
488	не с	2	1
489	здесь как	2	1
490	который знает	1	1
491	мог бы	2	1
492	и каждый	1	1
493	как таковую	1	1
494	можно только	1	1
495	остановимся на	1	1
496	здесь я	1	1
497	каждый раз	1	1
498	возможна только	1	1
499	как конкретный	1	1
500	с разных	1	1
501	все содержание	1	1
502	не стоит	1	1
503	можно сказать	2	1
504	не выходит	1	1
505	ни на	2	1
506	в конечном	1	1
507	а во	1	1
508	в данных	1	1
509	связь между	3	1
510	на пользу	1	1
511	одном случае	1	1
512	которой мы	1	1
513	тем или	1	1
514	от них	1	1
515	и чистоту	1	1
516	таких отношений	1	1
517	во втором	1	1
518	нуждается в	1	1
519	конечно может	1	1
520	народа по	1	1
521	вообще и	3	1
522	не знаю	1	1
523	если это	2	1
524	в лучшем	1	1
525	с нашей	1	1
526	в каких	1	1
527	ровно ничего	1	1
528	слово может	1	1
529	известном смысле	2	1
530	один из	4	1
531	или нет	1	1
532	но с	1	1
533	времени можно	1	1
534	конечно можно	2	1
535	мы видим	1	1
536	что некоторое	1	1
537	одной из	1	1
538	в какой	3	1
539	же я	1	1
540	и так	1	1
541	поэтому и	1	1
542	к смыслу	1	1
543	же на	1	1
544	а только	1	1
545	же и	1	1
546	можно установить	1	1
547	не можем	1	1
548	дано в	2	1
549	нужно еще	1	1
550	только тогда	4	1
551	мир и	1	1
552	в отношение	1	1
553	а то	2	1
554	остальное в	1	1
555	то только	1	1
556	об отдельных	1	1
557	в данной	3	1
558	конечном счете	1	1
559	и вопрос	2	1
560	к единой	1	1
561	ту или	1	1
562	никто не	1	1
563	наше время	1	1
564	говорить об	1	1
565	случае когда	3	1
566	не для	1	1
567	смысле этого	2	1
568	так как	9	1
569	содержания а	1	1
570	может служить	2	1
571	много и	1	1
572	само по	1	1
573	как раз	4	1
574	они будут	1	1
575	это какой-то	1	1
576	не противоречит	1	1
577	этой задачи	1	1
578	это будет	1	1
579	о словах	1	1
580	именно как	1	1
581	и содержания	2	1
582	что тем	1	1
583	точек зрения	2	1
584	говорим о	2	1
585	недостаточно одной	1	1
586	какой-нибудь практической	1	1
587	отличаются от	1	1
588	не знать	3	1
589	до этого	1	1
590	а именно	3	1
591	только путем	1	1
592	мы возьмем	1	1
593	и др	1	1
594	противном случае	1	1
595	своей функции	1	1
596	положений и	1	1
597	превращается в	1	1
598	конечно только	1	1
599	зависит от	1	1
600	чем ближе	1	1
601	понятие о	2	1
602	нашей точки	1	1
603	пр и	1	1
604	что мы	2	1
605	наличности в	1	1
606	ведь только	1	1
607	эти слова	2	1
608	вместе с	2	1
609	к его	2	1
610	смысл который	3	1
611	мы говорим	4	1
612	дать в	1	1
613	что именно	3	1
614	из которых	1	1
615	еще на	2	1
616	ко всякому	1	1
617	месте и	1	1
618	полную аналогию	1	1
619	он будет	2	1
620	самым оно	1	1
621	но сам	2	1
622	когда мы	3	1
623	этого утверждения	1	1
624	его смысловой	1	1
625	знания в	1	1
626	в первой	1	1
627	лежит в	1	1
628	том смысле	1	1
629	слова и	7	1
630	ссылки на	1	1
631	терминах и	1	1
632	и каждая	1	1
633	только для	2	1
634	о его	1	1
635	как таковой	2	1
636	же самое	1	1
637	в противном	1	1
638	остается в	2	1
639	должны быть	1	1
640	языка это	1	1
641	вообще есть	1	1
642	она должна	1	1
643	одного и	2	1
644	не станет	1	1
645	она может	2	1
646	да мы	1	1
647	когда он	2	1
648	совершенно иной	2	1
649	в эту	1	1
650	не понимая	1	1
651	не более	2	1
652	мы должны	3	1
653	только что	2	1
654	все они	2	1
655	я в	3	1
656	здесь-то и	1	1
657	же в	1	1
658	можно конечно	2	1
659	за этим	1	1
660	лишь по	1	1
661	между ними	1	1
662	равно как	2	1
663	есть кризис	1	1
664	того же	4	1
665	этими людьми	1	1
666	является и	2	1
667	в последнем	1	1
668	одновременно и	1	1
669	первом случае	2	1
670	культуры в	1	1
671	чтобы знать	1	1
672	самое что	1	1
673	будет тем	1	1
674	утверждать что	1	1
675	по поводу	3	1
676	это в	2	1
677	это понятие	1	1
678	что необходимо	1	1
679	и культура	1	1
680	который не	1	1
681	во всяком	2	1
682	все что	1	1
683	они не	3	1
