N	2gram	Savitsky_P_1	Hudozhes
274	сознания к	1	1
275	или иная	1	1
276	выступает как	1	1
277	вслед за	3	1
278	перед тем	1	1
279	если он	1	1
280	и мир	1	1
281	эти последние	1	1
282	известном смысле	1	1
283	в формах	1	1
284	обе эти	1	1
285	мы видим	1	1
286	тот же	3	1
287	духовный опыт	1	1
288	в какой	1	1
289	в перспективе	2	1
290	бы ни	2	1
291	или его	1	1
292	жить и	1	1
293	теперь в	2	1
294	собою как	1	1
295	если мы	1	1
296	из них	2	1
297	представить себе	1	1
298	к ним	1	1
299	не просто	1	1
300	представляют собой	1	1
301	не было	2	1
302	в последние	2	1
303	точек зрения	2	1
304	связаны с	1	1
305	ибо к	1	1
306	что не	1	1
307	к более	1	1
308	и пр	5	1
309	и политического	4	1
310	с которым	1	1
311	видения в	1	1
312	технических средств	1	1
313	в бытии	1	1
314	что из	2	1
315	не об	1	1
316	в одно	1	1
317	как ни	1	1
318	на фоне	1	1
319	чем глубже	1	1
320	только к	1	1
321	вместе с	1	1
322	в иных	1	1
323	к сфере	1	1
324	они едины	1	1
325	и пусть	2	1
326	будущее в	1	1
327	есть как	1	1
328	да и	2	1
329	отдельности и	1	1
330	мира с	2	1
331	в это	1	1
332	и другим	1	1
333	и самих	1	1
334	между прочим	2	1
335	все же	1	1
336	эти могут	1	1
337	и частной	1	1
338	она может	1	1
339	сколько бы	2	1
340	и право	2	1
341	в результате	1	1
342	о котором	1	1
343	для нас	2	1
344	не более	1	1
345	своем значении	2	1
346	как явление	1	1
347	полноты и	1	1
348	поэтики в	1	1
349	же в	4	1
350	не есть	1	1
351	может и	2	1
352	одновременно и	1	1
353	в сравнении	3	1
354	в отдельности	1	1
355	духовного существа	1	1
356	частности в	1	1
357	видим в	1	1
358	и другие	1	1
359	они не	1	1
