N	2gram	Savitsky_P_1	SlovoVZh
113	тогда когда	1	2
114	в то	7	2
115	и притом	1	2
116	слова но	2	2
117	этих двух	1	2
118	в этих	1	2
119	бы оно	1	2
120	стороны и	2	2
121	могут быть	3	2
122	что в	4	2
123	как на	2	2
124	и другие	1	2
125	не есть	1	2
126	и это	2	1
127	например в	2	1
128	же как	1	1
129	и о	5	1
130	с ее	1	1
131	но чтобы	1	1
132	на основе	1	1
133	совершенно ясно	1	1
134	тем же	1	1
135	политического строя	1	1
136	только то	1	1
137	по преимуществу	1	1
138	идет речь	1	1
139	в рамки	1	1
140	из двух	1	1
141	было в	2	1
142	с чрезвычайно	1	1
143	экономических и	1	1
144	что уже	1	1
145	является в	2	1
146	для этого	1	1
147	не вполне	1	1
148	на себя	1	1
149	сводится к	3	1
150	в порядке	3	1
151	но несколько	1	1
152	так называемые	2	1
153	ценности и	1	1
154	не нужно	2	1
155	и который	1	1
156	столь же	3	1
157	оно ни	1	1
158	в значительной	2	1
159	во всех	2	1
160	вопросу о	1	1
161	отождествлять с	1	1
162	два основных	1	1
163	момента и	1	1
164	в общем	2	1
165	именно в	2	1
166	не входят	1	1
167	что именно	1	1
168	и мир	1	1
169	пути в	2	1
170	оставаясь в	1	1
171	в современной	1	1
172	кто не	1	1
173	хотя и	3	1
174	тот же	3	1
175	более или	1	1
176	движение и	1	1
177	во времени	1	1
178	что это	1	1
179	формы в	1	1
180	если мы	1	1
181	в эти	1	1
182	себя в	1	1
183	думать что	2	1
184	есть в	2	1
185	поскольку мы	1	1
186	сливаются в	1	1
187	во многих	1	1
188	в большинстве	1	1
189	находящееся в	1	1
190	в виде	2	1
191	на этих	2	1
192	ей в	3	1
193	одно из	1	1
194	творчестве достоевского	1	1
195	всяком случае	1	1
196	не как	1	1
197	и вот	2	1
198	ни были	1	1
199	друг друга	1	1
200	из нее	1	1
201	какой бы	1	1
202	пафос и	1	1
203	бы это	1	1
204	и только	1	1
205	что все	1	1
206	своем значении	2	1
207	без того	1	1
208	должно быть	2	1
209	них в	1	1
210	и тех	1	1
211	и иных	1	1
212	и мы	2	1
213	было бы	6	1
214	этом смысле	1	1
215	нельзя отождествлять	1	1
216	и тем	2	1
217	но есть	1	1
218	только к	1	1
219	для них	2	1
220	от нее	1	1
221	и политического	4	1
222	не было	2	1
223	а с	1	1
224	далеко не	1	1
225	отношения в	1	1
226	в ее	2	1
227	они являются	1	1
228	в истории	1	1
229	или менее	1	1
230	эти суждения	1	1
231	речь но	1	1
232	в частности	2	1
233	все основные	1	1
234	и без	3	1
235	бесконечное количество	1	1
236	он будет	1	1
237	наряду с	3	1
238	сами по	3	1
239	из этой	1	1
240	и должна	1	1
241	того кто	1	1
242	и менее	1	1
243	может идти	1	1
244	или хотя	1	1
245	и вся	1	1
246	одна сторона	1	1
247	с которой	1	1
248	в смысле	6	1
249	в русской	4	1
250	она должна	1	1
251	только а	1	1
252	того чтобы	1	1
253	рассматривать как	1	1
254	в результате	1	1
255	в качестве	9	1
256	или иным	1	1
257	же время	7	1
258	еще более	2	1
259	тем более	2	1
260	к внешнему	1	1
261	как явление	1	1
262	мы должны	4	1
263	бы за	1	1
264	них и	1	1
265	входят в	1	1
266	в области	11	1
267	может и	2	1
268	только как	1	1
269	они как	1	1
270	является и	1	1
271	и союзники	1	1
272	культуры в	2	1
273	я и	3	1
274	в определенную	2	1
275	частности в	1	1
276	что оно	1	1
277	к другим	1	1
278	во всяком	1	1
279	они не	1	1
