N	2gram	Berdyaev_M_2	Freidism
460	его с	2	1
461	той или	1	1
462	по сравнению	1	1
463	своего отца	1	1
464	он никогда	1	1
465	о том	3	1
466	поступить с	1	1
467	и это	5	1
468	приходит к	2	1
469	человеку в	1	1
470	это за	1	1
471	свои силы	2	1
472	мысль о	2	1
473	в тисках	1	1
474	дано в	1	1
475	свободу и	5	1
476	что такой	1	1
477	как с	1	1
478	и сам	1	1
479	в мире	7	1
480	– символы	1	1
481	на нее	1	1
482	не с	1	1
483	и вытесняются	1	1
484	мог бы	1	1
485	в социальном	1	1
486	увидим что	2	1
487	нельзя найти	1	1
488	с собой	2	1
489	к тем	1	1
490	жизнь и	4	1
491	в эпоху	1	1
492	ничего не	2	1
493	означает что	4	1
494	грех в	1	1
495	находится в	1	1
496	вот это	1	1
497	никогда и	1	1
498	этом опыте	1	1
499	на все	3	1
500	а также	1	1
501	и та	2	1
502	говорит об	1	1
503	под маской	1	1
504	мысль не	1	1
505	после того	2	1
506	в сфере	2	1
507	но когда	2	1
508	любви к	7	1
509	и во	3	1
510	он берет	1	1
511	него –	2	1
512	не выходит	1	1
513	чтобы получить	2	1
514	что человек	2	1
515	тотчас же	1	1
516	способность к	2	1
517	нем и	1	1
518	все время	2	1
519	к которому	3	1
520	ведь есть	1	1
521	чувство вины	1	1
522	но так	1	1
523	с себя	1	1
524	же все	1	1
525	борьбы за	1	1
526	убежден что	1	1
527	и быть	1	1
528	во всем	5	1
529	пор не	1	1
530	которое должно	1	1
531	всех его	1	1
532	это означает	2	1
533	и гармонии	1	1
534	бы ни	1	1
535	об их	1	1
536	одни и	2	1
537	не соответствует	1	1
538	есть в	3	1
539	к какому	1	1
540	этой борьбе	1	1
541	человека эта	1	1
542	также и	4	1
543	в последний	1	1
544	не принимает	1	1
545	смысла в	1	1
546	и других	2	1
547	не так	3	1
548	моментов в	1	1
549	в землю	1	1
550	и мучительное	1	1
551	бытия и	1	1
552	он любит	3	1
553	отдельного человека	1	1
554	как будто	2	1
555	тем что	3	1
556	они будут	1	1
557	лишь для	1	1
558	и только	1	1
559	момент в	3	1
560	и оказываются	1	1
561	этого пути	1	1
562	людьми –	1	1
563	или иной	2	1
564	не связано	1	1
565	она в	1	1
566	на примере	1	1
567	на них	1	1
568	характерно для	1	1
569	такое же	1	1
570	все творчество	2	1
571	всякого человека	2	1
572	своего собственного	1	1
573	принадлежит не	1	1
574	к человеку	12	1
575	превращается в	2	1
576	одного только	1	1
577	и своего	2	1
578	и нигде	1	1
579	нашей души	1	1
580	у других	1	1
581	человек в	3	1
582	своей любви	1	1
583	было для	2	1
584	но никогда	1	1
585	у всех	2	1
586	жизнь в	6	1
587	эти психические	1	1
588	требует от	1	1
589	перейти в	2	1
590	к своему	2	1
591	сравнению с	1	1
592	такого рода	2	1
593	смысле этого	1	1
594	что весь	1	1
595	и там	6	1
596	ко всему	1	1
597	распадается на	1	1
598	совести и	2	1
599	мире –	1	1
600	мира с	1	1
601	этого слова	1	1
602	этой трагедии	1	1
603	мировой гармонии	10	1
604	остается в	1	1
605	мира в	1	1
606	и борьба	1	1
607	было еще	1	1
608	как отец	1	1
609	но на	2	1
610	человека для	3	1
611	он по	1	1
612	отец был	1	1
613	поэтому она	1	1
614	ее и	2	1
615	но эти	1	1
616	целый ряд	1	1
617	у них	4	1
618	отсюда –	1	1
619	бы в	2	1
620	и всецело	1	1
621	еще более	2	1
622	его уже	1	1
623	в том	3	1
624	природа человека	3	1
625	любовь и	3	1
626	отношении к	3	1
627	нет ничего	3	1
628	это все	2	1
629	на смену	3	1
630	жизни а	2	1
631	не физического	1	1
632	по которой	1	1
633	из этого	1	1
634	у толстого	1	1
635	на своем	1	1
636	учения о	1	1
637	это так	1	1
638	а может	1	1
639	видим в	1	1
