N	2gram	Berdyaev_N_1	Narrotol
255	и когда	1	1
256	тайной жизни	1	1
257	в образе	1	1
258	переход к	2	1
259	на нее	1	1
260	не с	1	1
261	с собой	1	1
262	и вся	1	1
263	которому не	2	1
264	имея в	1	1
265	теперь и	1	1
266	в значительной	1	1
267	во всех	3	1
268	нем не	1	1
269	нуждается в	1	1
270	неизбежно будет	1	1
271	все время	2	1
272	к ней	1	1
273	как результат	1	1
274	и мы	4	1
275	но тут	1	1
276	живого бога	2	1
277	в формах	1	1
278	в новой	7	1
279	ли он	1	1
280	бытия в	2	1
281	их не	1	1
282	с одной	2	1
283	и мысли	1	1
284	к одному	1	1
285	того же	1	1
286	и у	1	1
287	уже в	1	1
288	в исторический	1	1
289	вопроса о	1	1
290	свидетельствует о	1	1
291	от других	1	1
292	сказать мы	1	1
293	для другого	1	1
294	и гибель	1	1
295	бытия и	1	1
296	не случайно	1	1
297	которые могут	1	1
298	человек как	1	1
299	тем что	1	1
300	народов и	1	1
301	в последние	1	1
302	на уровне	2	1
303	который не	1	1
304	и ему	1	1
305	до этого	1	1
306	сам себя	1	1
307	для этого	2	1
308	нового времени	12	1
309	связано с	1	1
310	одной стороны	2	1
311	стремится к	3	1
312	с большей	1	1
313	не верит	1	1
314	не на	1	1
315	одну из	1	1
316	когда она	1	1
317	ближе к	1	1
318	на самоопределение	1	1
319	так же	2	1
320	и потому	4	1
321	и красота	1	1
322	наряду с	3	1
323	о человеке	1	1
324	внутри и	1	1
325	нее входит	1	1
326	приблизиться к	1	1
327	но это	6	1
328	все это	5	1
329	числе и	1	1
330	исторический период	1	1
331	одного и	1	1
332	он видел	1	1
333	настоящего и	1	1
334	истории а	2	1
335	будто бы	1	1
336	все они	2	1
337	вот этот	1	1
338	в период	1	1
339	всего мира	1	1
340	не знает	6	1
341	новая история	6	1
342	жизни мы	1	1
343	не верят	1	1
344	жизни без	1	1
345	к этой	1	1
346	случае если	1	1
347	это время	1	1
348	том числе	1	1
349	они не	1	1
