N	2gram	Propp_Russ_2	VelikijI
131	значение в	1	1
132	на новый	3	1
133	то же	4	1
134	живет в	3	1
135	из всего	1	1
136	это только	1	1
137	вопрос о	4	1
138	основана на	1	1
139	и вообще	1	1
140	не была	1	1
141	нас это	1	1
142	но может	1	1
143	находится в	1	1
144	говорят что	1	1
145	и ее	2	1
146	не был	2	1
147	кто же	1	1
148	в их	2	1
149	и на	6	1
150	он был	1	1
151	не помогают	1	1
152	после того	2	1
153	и хлеб	1	1
154	это имеет	2	1
155	природы и	2	1
156	все в	2	1
157	к нему	4	1
158	ее к	2	1
159	ее от	2	1
160	от них	1	1
161	для христианства	1	1
162	мы указывали	2	1
163	если в	1	1
164	но нет	1	1
165	смертью и	1	1
166	тогда как	2	1
167	не просто	1	1
168	нам право	2	1
169	и чем	1	1
170	во что	1	1
171	это самое	1	1
172	помогают от	1	1
173	за эти	1	1
174	как в	7	1
175	и мир	1	1
176	в своем	1	1
177	все же	2	1
178	но с	1	1
179	сделать это	1	1
180	в двух	1	1
181	идет по	1	1
182	с ними	1	1
183	мы увидим	1	1
184	ли он	1	1
185	существ которые	1	1
186	в разные	2	1
187	и так	1	1
188	в самом	1	1
189	у них	2	1
190	в которой	2	1
191	что это	3	1
192	их не	1	1
193	в этой	3	1
194	же и	1	1
195	он где	1	1
196	уже в	1	1
197	то и	4	1
198	в виде	4	1
199	и если	1	1
200	или даже	3	1
201	и путем	1	1
202	о которой	1	1
203	не будут	1	1
204	как дети	1	1
205	же они	1	1
206	и должна	1	1
207	презрением к	1	1
208	себя от	1	1
209	от людей	1	1
210	отношение к	1	1
211	и по	3	1
212	на этом	3	1
213	в руки	2	1
214	ее на	2	1
215	на нее	6	1
216	для того	6	1
217	в состоянии	1	1
218	их во	1	1
219	и с	10	1
220	ней и	1	1
221	не надо	1	1
222	с другой	2	1
223	когда дух	1	1
224	детскую игру	1	1
225	стариков и	1	1
226	говорит о	2	1
227	церкви и	2	1
228	был в	1	1
229	на которых	1	1
230	не всегда	3	1
231	для чего	1	1
232	о чем	4	1
233	и религию	1	1
234	и своим	1	1
235	него не	1	1
236	их на	1	1
237	и совершают	1	1
238	в одно	1	1
239	где есть	3	1
240	него в	1	1
241	таким же	1	1
242	вместе с	6	1
243	так же	4	1
244	как это	4	1
245	что личность	1	1
246	этому же	1	1
247	еще с	1	1
248	у нас	4	1
249	в которых	4	1
250	ненависть к	1	1
251	в одном	1	1
252	а потом	1	1
253	есть одна	1	1
254	человек с	1	1
255	который он	1	1
256	чтобы решить	2	1
257	и всех	1	1
258	этого слова	1	1
259	с этой	2	1
260	и очень	1	1
261	человеку не	1	1
262	на пути	1	1
263	как можно	2	1
264	к ним	1	1
265	природу его	1	1
266	но она	2	1
267	в другие	4	1
268	и от	3	1
269	в день	7	1
270	ее но	1	1
271	как религия	1	1
272	найти в	1	1
273	ничего не	1	1
274	того как	2	1
275	может быть	13	1
276	человек на	1	1
277	iv в	1	1
278	во всем	2	1
279	будто бы	5	1
280	в мировом	1	1
281	там он	1	1
282	на него	1	1
283	к жизни	5	1
284	на части	9	1
285	звучит в	1	1
286	к ее	1	1
287	связь с	3	1
288	жизни в	2	1
289	что на	2	1
290	о своем	1	1
291	другой стороны	1	1
292	день в	2	1
293	религии и	1	1
294	им не	1	1
295	но все	1	1
296	есть и	1	1
297	к этому	5	1
298	много места	1	1
299	и другие	14	1
300	в своих	2	1
301	и эта	1	1
302	это в	2	1
303	силы на	2	1
304	она не	3	1
