N	2gram	Savitsky_P_1	Psycholo
119	думается что	1	3
120	в этой	1	3
121	не есть	1	3
122	в отличие	1	3
123	в частности	2	3
124	и по	1	3
125	в которых	5	3
126	тем же	1	3
127	что оно	1	3
128	и это	2	3
129	уже в	1	3
130	в каждом	1	3
131	только на	1	3
132	мы знаем	1	3
133	в своем	4	3
134	не означает	1	2
135	главным образом	2	2
136	и здесь	1	2
137	есть для	1	2
138	поэзии и	1	2
139	мысли и	1	2
140	до тех	1	2
141	в русском	2	2
142	есть нечто	2	2
143	не менее	2	2
144	гораздо более	1	2
145	бы что	1	2
146	в жизни	2	2
147	настоящее время	1	2
148	иначе как	1	2
149	как раз	2	2
150	в нем	3	2
151	бы ни	2	2
152	тем самым	3	2
153	и без	3	2
154	только то	1	2
155	тот же	3	2
156	бы и	1	2
157	казалось бы	1	2
158	и с	2	2
159	знаем и	1	2
160	или иным	1	2
161	одно из	1	2
162	и теперь	1	2
163	его в	1	2
164	в настоящее	1	2
165	это в	1	2
166	есть не	2	2
167	к чему	2	2
168	этом смысле	1	2
169	к жизни	1	2
170	это имеет	1	2
171	должна была	1	2
172	в себя	1	2
173	и очень	1	2
174	но и	6	2
175	только что	1	2
176	с точки	3	2
177	что есть	1	2
178	она должна	1	2
179	как одна	1	2
180	мысли но	1	2
181	в качестве	9	2
182	но как	1	2
183	в применении	1	2
184	представляет собой	1	2
185	что то	1	2
186	к этой	1	2
187	как она	1	2
188	на основе	1	2
189	и потому	4	2
190	теми же	1	2
191	или менее	1	2
192	этой области	1	2
193	более или	1	2
194	русской интеллигенции	1	2
195	в них	2	2
196	и тем	2	2
197	к ним	1	2
198	оно есть	1	2
199	поскольку она	1	2
200	как к	1	2
201	из всех	1	2
202	теорий и	1	2
203	далеко не	1	2
204	обратиться к	1	2
205	в трех	1	2
206	в известном	1	2
207	этих двух	1	2
208	в каком	1	2
209	бы мы	1	2
210	этом не	1	2
211	и то	1	2
212	что с	1	2
213	из них	2	2
214	к другим	1	2
215	мы все	1	2
216	и как	3	2
217	применении к	1	2
218	может не	1	1
219	в свете	1	1
220	или что	1	1
221	полной мере	2	1
222	в значительной	2	1
223	по сравнению	2	1
224	еще не	1	1
225	одно и	1	1
226	экономических и	1	1
227	церкви и	2	1
228	мире в	1	1
229	сказывается в	2	1
230	вопроса необходимо	1	1
231	лиц и	1	1
232	что если	1	1
233	о духе	1	1
234	составляют часть	1	1
235	и многие	1	1
236	не к	2	1
237	думать что	2	1
238	при отсутствии	1	1
239	во времена	1	1
240	известном смысле	1	1
241	ведет к	1	1
242	из этой	1	1
243	исходить из	1	1
244	эти черты	1	1
245	одновременно и	1	1
246	числе и	1	1
247	как области	1	1
248	этого процесса	1	1
249	с чрезвычайно	1	1
250	значения но	1	1
251	мы хотим	1	1
252	и должна	1	1
253	этого сделать	1	1
254	к науке	1	1
255	есть признак	1	1
256	она оказывается	1	1
257	из двух	1	1
258	было в	2	1
259	характер этого	1	1
260	этот спор	1	1
261	хотя бы	8	1
262	образом на	2	1
263	именно в	2	1
264	или иная	1	1
265	которое в	2	1
266	если в	2	1
267	это от	1	1
268	науки и	1	1
269	во всех	2	1
270	поэзии с	1	1
271	разных точек	1	1
272	сравнению с	1	1
273	идеи и	1	1
274	ли не	1	1
275	заключает в	2	1
276	из авторов	1	1
277	литературы и	1	1
278	сводится к	3	1
279	от тех	1	1
280	сложны и	1	1
281	время в	2	1
282	и мы	2	1
283	духа и	2	1
284	только один	1	1
285	и внутренне	1	1
286	или хотя	1	1
287	и русского	2	1
288	и слова	1	1
289	совершенно новое	1	1
290	в условиях	1	1
291	особенно в	1	1
292	знаем что	1	1
293	она есть	3	1
294	а затем	1	1
295	сами по	3	1
296	это не	3	1
297	могли бы	1	1
298	сводилась к	1	1
299	не хотим	1	1
300	народов как	1	1
301	и мир	1	1
302	во многих	1	1
303	как по	1	1
304	многих случаях	1	1
305	именно о	1	1
306	именно потому	1	1
307	и на	1	1
308	говорить об	1	1
309	прийти к	1	1
310	в других	1	1
311	чем к	1	1
312	только как	1	1
313	века но	1	1
314	в статье	2	1
315	от истины	1	1
316	идет речь	1	1
317	как явление	1	1
318	пор пока	1	1
319	связана с	1	1
320	из тех	1	1
321	несовершенство и	1	1
322	общественной мысли	1	1
323	мы должны	4	1
324	есть как	1	1
325	видим в	1	1
326	и чем	1	1
327	связаны с	1	1
328	на этих	2	1
329	есть прежде	1	1
330	находится в	1	1
331	что от	1	1
332	живет в	1	1
333	должно быть	2	1
334	науки как	1	1
335	а с	1	1
336	процесса нужно	1	1
337	в эпоху	1	1
338	и наоборот	1	1
339	различных формах	1	1
340	в пределах	8	1
341	с ними	3	1
342	не осуществляется	1	1
343	которые были	1	1
344	традиции в	1	1
345	иной раз	1	1
346	как ни	1	1
347	об отношении	1	1
348	по преимуществу	1	1
349	что русская	1	1
350	идет именно	1	1
351	что именно	1	1
352	от этой	1	1
353	будет с	1	1
354	во всей	2	1
355	есть у	1	1
356	в творчестве	1	1
357	в полной	2	1
358	в мире	2	1
359	обе эти	1	1
360	и само	1	1
361	раньше в	1	1
362	в это	1	1
363	в различных	1	1
364	и еще	1	1
365	с его	1	1
366	том числе	2	1
367	и построений	1	1
368	для каждого	1	1
369	и такое	1	1
370	грань между	1	1
371	и ее	1	1
372	которую мы	2	1
373	та или	1	1
374	с которой	1	1
375	же в	4	1
376	а также	4	1
377	и вслед	1	1
378	она находится	1	1
379	плоть в	1	1
380	в ней	6	1
381	и техники	1	1
382	должен быть	1	1
383	и пр	5	1
384	как оно	1	1
385	соотношение между	1	1
386	и уже	1	1
387	сущности не	1	1
388	чувство и	1	1
389	на нее	1	1
390	все еще	1	1
391	равным образом	1	1
392	тем чтобы	1	1
393	бы как	1	1
394	теория исторического	1	1
395	быть может	6	1
396	заложенное в	1	1
397	к более	1	1
398	сколько бы	2	1
399	мысль о	2	1
400	тех пор	1	1
401	как надстройка	1	1
402	дело идет	1	1
403	также в	1	1
404	значительной мере	2	1
405	и более	1	1
406	но для	1	1
407	и при	1	1
