N	2gram	Tiupa_Disk_2	OGranits
129	самого начала	1	2
130	в книге	1	2
131	на язык	1	2
132	во всем	1	2
133	а в	2	2
134	еще в	3	2
135	имеет место	1	2
136	могут быть	3	2
137	с телом	1	2
138	в своих	6	2
139	к тому	1	2
140	и это	2	1
141	можно говорить	1	1
142	одним из	1	1
143	также и	3	1
144	же как	2	1
145	себя как	1	1
146	того же	2	1
147	в некоторых	1	1
148	это и	1	1
149	в собственном	1	1
150	среде и	1	1
151	и есть	1	1
152	в себя	2	1
153	включает в	1	1
154	сознания с	1	1
155	и до	1	1
156	или иная	1	1
157	не имеют	1	1
158	вспомнить о	1	1
159	о влиянии	1	1
160	в образе	1	1
161	в нескольких	1	1
162	отождествляется с	1	1
163	отсюда и	2	1
164	на материале	1	1
165	мы имеем	2	1
166	апелляции к	1	1
167	мы в	1	1
168	вопрос о	1	1
169	для этого	1	1
170	как выражение	1	1
171	не отвечает	1	1
172	поэтических индивидуальностей	1	1
173	с ее	2	1
174	сводится к	2	1
175	из того	1	1
176	часто и	1	1
177	но даже	1	1
178	ему в	1	1
179	этого термина	1	1
180	другом месте	1	1
181	общения в	1	1
182	в мире	11	1
183	всем протяжении	1	1
184	внимание на	1	1
185	и что	1	1
186	еще не	6	1
187	их исторической	1	1
188	из литературы	1	1
189	столь же	3	1
190	время в	2	1
191	времени в	4	1
192	тем как	1	1
193	в конечном	1	1
194	как художественного	1	1
195	воздействия на	1	1
196	но не	7	1
197	эта особенность	1	1
198	может и	2	1
199	отношение к	2	1
200	тут же	2	1
201	эти возможности	1	1
202	которая и	1	1
203	в истории	1	1
204	в описании	1	1
205	в одной	1	1
206	не зная	1	1
207	до его	1	1
208	в своем	5	1
209	по своей	6	1
210	что касается	1	1
211	один из	1	1
212	ценностей в	1	1
213	и как	3	1
214	одной из	1	1
215	ценностный кругозор	1	1
216	что он	2	1
217	в значительной	1	1
218	звучит один	1	1
219	так в	1	1
220	ни одна	1	1
221	в этой	4	1
222	и стилистически	1	1
223	для всех	1	1
224	с их	2	1
225	значение так	1	1
226	на всем	1	1
227	жизнь как	1	1
228	только на	1	1
229	себя и	1	1
230	вследствие этого	2	1
231	общения с	1	1
232	является не	2	1
233	конечном счете	1	1
234	одно из	4	1
235	состоит в	16	1
236	художественного высказывания	1	1
237	содержания и	1	1
238	внутренней речи	3	1
239	картины мира	7	1
240	каждый из	1	1
241	подобно тому	2	1
242	отличие от	12	1
243	на этом	1	1
244	не должно	1	1
245	угадывается в	2	1
246	и всякое	2	1
247	ни о	1	1
248	позволить себе	1	1
249	в особенности	1	1
250	к другому	1	1
251	и актуализация	1	1
252	в лирике	7	1
253	и здесь	1	1
254	его в	3	1
255	и иных	1	1
256	организации художественного	1	1
257	мира это	1	1
258	еще одно	1	1
259	и во-вторых	1	1
260	не было	3	1
261	она и	1	1
262	далеко не	2	1
263	позиции в	1	1
264	письменной речи	1	1
265	и вне	1	1
266	отнюдь не	6	1
267	с миром	1	1
268	для человека	1	1
269	должно быть	2	1
270	такой же	2	1
271	и поэтики	1	1
272	но при	2	1
273	которую он	1	1
274	но если	1	1
275	внимания к	1	1
276	при изучении	1	1
277	как все	2	1
278	в такой	1	1
279	как это	1	1
280	за которым	2	1
281	этой структуре	1	1
282	однако этот	1	1
283	о возможности	1	1
284	и столь	1	1
285	в отличие	12	1
286	в которых	1	1
287	и глубоко	1	1
288	бы мы	1	1
289	на три	1	1
290	к этому	4	1
291	а подлинный	1	1
292	такого рода	9	1
293	должно было	1	1
294	находил ее	1	1
295	утверждая что	1	1
296	тому как	2	1
297	для данного	3	1
298	и там	1	1
299	высказывания и	1	1
300	переходе от	2	1
301	тем не	1	1
302	говорит как	1	1
303	между индивидуальными	1	1
304	в эпоху	1	1
305	речи в	2	1
306	и более	1	1
307	их в	2	1
308	в ряду	2	1
309	и наоборот	1	1
310	необходимо чтобы	1	1
311	только то	1	1
312	в контексте	3	1
313	быть и	1	1
314	является для	1	1
315	в условиях	1	1
316	до конца	1	1
317	вплоть до	1	1
318	но это	3	1
319	преображения и	1	1
320	виду что	1	1
321	в то	5	1
322	как о	1	1
323	мысли в	1	1
324	к другим	1	1
325	одна из	1	1
326	не знаем	1	1
327	мы все	1	1
328	объекта и	2	1
329	в самых	1	1
330	формы и	1	1
331	в разных	1	1
332	как система	1	1
333	никакого отношения	1	1
334	на одном	1	1
335	художественного образа	1	1
336	того как	1	1
337	лирическое произведение	1	1
338	же время	5	1
339	в основе	4	1
340	как весьма	1	1
341	же остается	1	1
342	потому что	4	1
343	носителем и	1	1
344	этом отношении	4	1
345	не вполне	1	1
346	об этом	1	1
347	та или	1	1
348	действительность с	1	1
349	и несколько	1	1
350	не знает	3	1
351	исторической поэтики	2	1
352	сказать что	1	1
353	интонации и	2	1
354	речи и	1	1
355	равно как	1	1
356	все то	1	1
357	и именно	1	1
358	включается в	1	1
359	с его	6	1
360	только о	1	1
361	умершего вождя	1	1
362	эта возможность	1	1
363	указать на	2	1
364	всего в	1	1
365	вместе с	2	1
366	например в	3	1
