N	2gram	Propp_Russ_2	VrazhdaK
300	в одном	1	1
301	ее не	1	1
302	друг друга	3	1
303	н п	2	1
304	пишет все	1	1
305	каждый из	2	1
306	как при	1	1
307	не просто	1	1
308	в особенности	1	1
309	нужно было	1	1
310	в н	1	1
311	с другой	2	1
312	именно в	4	1
313	из сибири	1	1
314	а п	1	1
315	прежде всего	2	1
316	он напоминает	1	1
317	целым рядом	1	1
318	до конца	3	1
319	в ту	1	1
320	уверенности что	1	1
321	него в	1	1
322	или по	1	1
323	этому образу	1	1
324	из которых	2	1
325	хорошо знает	1	1
326	фигурируют и	1	1
327	предположить что	4	1
328	что за	1	1
329	не дают	1	1
330	ироническое отношение	2	1
331	того что	3	1
332	связь образа	1	1
333	был в	1	1
334	в основном	1	1
335	с последним	1	1
336	под влиянием	1	1
337	и от	3	1
338	но на	1	1
339	и другими	1	1
340	тот кто	1	1
341	хотя и	1	1
342	ее и	2	1
343	у некоторых	2	1
344	к русским	3	1
345	только что	1	1
346	и начинается	1	1
347	о своем	1	1
348	быть и	1	1
349	а б	8	1
350	только как	2	1
351	другой стороны	1	1
352	они как	1	1
353	ему но	1	1
354	из этого	2	1
355	к этой	1	1
356	как на	1	1
357	в таком	4	1
358	все что	1	1
