N	2gram	Berdyaev_V_1	Narrotol
180	а есть	2	1
181	должна иметь	1	1
182	бы это	1	1
183	в двух	1	1
184	а потому	1	1
185	бытия на	1	1
186	людей и	2	1
187	из нас	1	1
188	смерть никогда	1	1
189	не была	1	1
190	лишь к	1	1
191	любви в	1	1
192	по пути	5	1
193	человеческой жизни	1	1
194	и человеческого	1	1
195	только себя	1	1
196	тайны и	1	1
197	их жизни	1	1
198	слышим и	1	1
199	к нему	1	1
200	что человек	1	1
201	к ее	1	1
202	не по	1	1
203	как можно	1	1
204	людей есть	2	1
205	до времени	1	1
206	что теперь	2	1
207	и так	1	1
208	это еще	4	1
209	и теперь	2	1
210	но мы	2	1
211	не знающего	1	1
212	тайной и	1	1
213	на котором	1	1
214	и уж	1	1
215	во всех	3	1
216	о возможности	1	1
217	и внешней	1	1
218	в одном	1	1
219	нет никакого	1	1
220	нашего времени	1	1
221	вместо того	2	1
222	его к	2	1
223	далее и	1	1
224	им в	1	1
225	так легко	1	1
226	есть не	1	1
227	вместе с	1	1
228	не ведая	1	1
229	к жизни	1	1
230	отношение к	1	1
231	со словами	1	1
232	и своего	1	1
233	которого не	1	1
234	конечно в	1	1
235	это он	1	1
236	как сам	1	1
237	человека не	1	1
238	и во	2	1
239	людей а	1	1
240	было не	1	1
241	важный для	1	1
242	это только	1	1
243	не с	2	1
244	ничем не	1	1
245	зависимости от	1	1
246	в новом	1	1
247	что есть	5	1
248	и люди	2	1
249	их в	3	1
250	человеческую жизнь	1	1
251	человеческого бытия	1	1
252	не хотел	2	1
253	которое может	1	1
254	как мы	1	1
255	ее в	2	1
256	с которым	1	1
257	в человеке	1	1
258	искать в	1	1
259	у человека	1	1
260	чтобы сделать	2	1
261	что не	4	1
262	поскольку он	1	1
263	в прошлом	2	1
264	мировой истории	1	1
265	человек и	1	1
266	человечества и	3	1
267	абсолютной ценности	1	1
268	что было	2	1
269	которым можно	2	1
270	и от	1	1
271	теперь его	1	1
272	мир и	2	1
273	для того	1	1
274	ведет не	1	1
275	с радостью	1	1
276	а между	2	1
277	не имел	2	1
278	ни в	3	1
279	и потому	7	1
280	к вечности	3	1
281	должно быть	3	1
282	можно ли	1	1
283	и быть	1	1
284	бога это	1	1
285	теперь и	1	1
286	в последнем	2	1
287	человеком как	1	1
288	будет еще	1	1
289	от этих	2	1
290	что все	4	1
291	ничего нельзя	1	1
292	не будут	1	1
293	только стало	2	1
294	в виду	1	1
295	жизнь свою	1	1
296	не всегда	1	1
297	на этом	1	1
298	хоть и	1	1
299	бы и	3	1
300	в этих	3	1
301	будто бы	1	1
302	не существует	1	1
303	есть продукт	1	1
304	личности а	2	1
305	не для	1	1
306	он говорит	1	1
307	а его	1	1
308	в едином	1	1
309	ли он	1	1
310	роковым образом	1	1
311	не просто	1	1
312	мы будем	1	1
313	сознания не	1	1
314	я был	1	1
315	в лице	1	1
316	и стало	1	1
317	не могут	2	1
318	освободиться от	1	1
319	меня в	1	1
320	истории и	2	1
321	к человеку	1	1
322	отказавшись от	1	1
323	когда в	2	1
324	у людей	2	1
325	жизни не	1	1
326	от своей	2	1
327	эта новая	1	1
328	себя мы	1	1
329	и великим	1	1
330	в личности	2	1
331	во всяком	2	1
332	но что	1	1
333	он осуществляет	1	1
334	сложное и	1	1
335	его не	2	1
336	все это	5	1
337	таким же	1	1
338	с такой	1	1
339	в которых	1	1
340	к этому	1	1
341	раз и	1	1
342	пути и	1	1
343	смысла жизни	4	1
344	на себя	5	1
345	в бога	2	1
346	тем что	2	1
347	на нее	1	1
348	первый раз	3	1
349	что мы	4	1
350	не могли	2	1
351	это все	2	1
352	в мир	1	1
353	счастья и	1	1
354	бы от	1	1
355	жизни но	1	1
