N	2gram	Tiupa_Teor_1	Istorich
165	после того	1	2
166	друг другу	1	2
167	означало бы	1	2
168	вовсе не	3	2
169	точки зрения	9	2
170	нет никаких	1	2
171	в жизни	2	2
172	стоит в	1	2
173	это еще	1	2
174	даже в	3	2
175	независимо от	1	2
176	случае в	1	2
177	совершенно не	1	2
178	так и	10	2
179	если он	1	2
180	с тем	1	2
181	см в	1	2
182	если не	1	2
183	за это	1	2
184	ни в	2	2
185	к жизни	2	2
186	и некоторые	2	2
187	дело с	1	2
188	между тем	5	2
189	и даже	2	2
190	хотя и	3	2
191	не с	3	2
192	как в	5	2
193	одного из	1	2
194	в наших	1	2
195	в качестве	24	2
196	что не	1	2
197	в то	6	2
198	в силу	1	2
199	и о	4	2
200	во многих	1	2
201	нам уже	1	2
202	и потому	2	2
203	на себя	2	2
204	это делает	1	2
205	той же	1	2
206	к более	1	2
207	например в	1	2
208	ту же	1	2
209	на одну	1	2
210	в особенности	1	2
211	в русском	1	2
212	и др	1	2
213	только не	2	2
214	одной стороны	2	2
215	они могут	1	2
216	при этом	12	2
217	же как	1	2
218	с одной	2	2
219	в сторону	1	2
220	из того	1	2
221	в одном	2	2
222	и что	3	2
223	с одним	1	2
224	с собой	1	2
225	роль в	2	2
226	у нее	1	2
227	отношению к	4	2
228	героя не	1	2
229	в малой	1	2
230	из которого	3	2
231	то время	1	2
232	а также	6	2
233	которую в	1	2
234	по отношению	4	2
235	и то	2	2
236	а после	1	2
237	точно так	1	2
238	и это	2	2
239	как будто	2	2
240	только на	1	2
241	в своем	4	2
242	он стоит	1	2
243	и более	1	2
244	несколько иной	1	1
245	не означает	1	1
246	что каждый	2	1
247	ему на	1	1
248	характерные для	1	1
249	это может	1	1
250	бы быть	1	1
251	случае это	1	1
252	на себе	1	1
253	мире в	1	1
254	входит в	1	1
255	тогда как	15	1
256	от всех	1	1
257	из этого	1	1
258	с нею	1	1
259	исходит из	1	1
260	вот он	1	1
261	случаях обычно	1	1
262	внимание и	1	1
263	говорит о	1	1
264	для этого	1	1
265	не говорит	1	1
266	могла бы	2	1
267	могут оказаться	2	1
268	все с	1	1
269	отличается от	2	1
270	вопрос что	1	1
271	не будет	2	1
272	случае не	2	1
273	начинается с	1	1
274	дает ему	1	1
275	от мира	1	1
276	в область	1	1
277	которая в	1	1
278	он состоит	1	1
279	не могли	1	1
280	и их	1	1
281	в себя	3	1
282	обращается к	2	1
283	они хотят	1	1
284	может оказаться	2	1
285	в каком	1	1
286	героев или	1	1
287	ведет к	1	1
288	прослеживается в	1	1
289	всего что	1	1
290	из нас	1	1
291	жизни является	1	1
292	от таких	1	1
293	что это	1	1
294	в большинстве	2	1
295	каждого из	1	1
296	право на	1	1
297	жить и	2	1
298	в малом	1	1
299	друг от	1	1
300	не знает	3	1
301	с другими	5	1
302	является в	1	1
303	любовь и	1	1
304	действительности и	1	1
305	здесь также	1	1
306	по себе	1	1
307	а на	3	1
308	только то	1	1
309	если она	1	1
310	животного в	1	1
311	например не	1	1
312	и те	1	1
313	свое имя	1	1
314	противопоставлены в	1	1
315	об этом	2	1
316	и наоборот	1	1
317	это происходит	1	1
318	на то	1	1
319	ними а	1	1
320	жизнь в	1	1
321	тем как	1	1
322	для героя	1	1
323	и становится	1	1
324	своему собственному	1	1
325	меня в	1	1
326	значении в	1	1
327	за свою	1	1
328	является также	1	1
329	принадлежит к	3	1
330	говорит следующее	1	1
331	к нам	2	1
332	и только	1	1
333	одной из	2	1
334	между собой	3	1
335	есть не	1	1
336	соединении с	2	1
337	и сама	1	1
338	как организация	1	1
339	еще на	1	1
340	у истоков	1	1
341	бы для	1	1
342	но как	1	1
343	по этому	1	1
344	действия и	1	1
345	в таких	1	1
346	это отношение	3	1
347	стола и	1	1
348	языка не	1	1
349	для данного	1	1
350	этого мира	1	1
351	не узнает	1	1
352	перед ним	1	1
353	более чем	1	1
354	к своему	1	1
355	или их	1	1
356	речи кто	1	1
357	видно из	1	1
358	к мужу	1	1
359	можно предположить	1	1
360	соответствии с	2	1
361	с точки	3	1
362	говорит ему	1	1
363	во второй	7	1
364	и сам	1	1
365	которые в	1	1
366	случае мы	1	1
367	что автор	1	1
368	говорит не	1	1
369	границ между	2	1
370	в порядке	3	1
371	состоящий в	1	1
372	восходит к	1	1
373	д как	1	1
374	героя и	5	1
375	говорят о	1	1
376	со всех	1	1
377	имеем дело	2	1
378	только одно	1	1
379	что его	1	1
380	дело здесь	1	1
381	своей жизни	2	1
382	отнюдь не	3	1
383	над его	1	1
384	не входит	1	1
385	в своей	6	1
386	тот же	1	1
387	ах как	1	1
388	своего рода	7	1
389	свою очередь	2	1
390	художественного творчества	1	1
391	и другими	1	1
392	зрения нашего	1	1
393	и поэтому	1	1
394	он в	1	1
395	постоянных признаков	1	1
396	всегда имеется	1	1
397	это по	1	1
398	за пределами	5	1
399	из своего	1	1
400	к ним	1	1
401	от друга	1	1
402	перед нами	2	1
403	видим в	2	1
404	как один	1	1
405	перед собой	1	1
406	кто бы	1	1
407	тому как	1	1
408	особенно если	1	1
409	по своему	2	1
410	человека как	1	1
411	и другим	1	1
412	и тем	3	1
413	речи и	2	1
414	но прежде	1	1
415	этого слова	3	1
416	сын и	1	1
417	как реальная	1	1
418	казалось бы	2	1
419	и делают	1	1
420	не существует	1	1
421	а при	1	1
422	ее на	1	1
423	также что	1	1
424	со своей	3	1
425	жизнью в	1	1
426	тем и	1	1
427	нигде не	1	1
428	черта ее	1	1
429	обратил внимание	1	1
430	ему и	1	1
431	только к	1	1
432	указывает на	1	1
433	говорит в	2	1
434	эта сторона	1	1
435	в ее	5	1
436	в мире	19	1
437	она и	1	1
438	существенно отличается	1	1
439	также и	1	1
440	и дает	1	1
441	которой герой	1	1
442	как у	1	1
443	жизни ср	1	1
444	мы понимаем	1	1
445	времени в	2	1
446	на них	1	1
447	себя и	1	1
448	перед тем	1	1
449	отношений и	1	1
450	том числе	2	1
451	этому я	1	1
452	героев и	1	1
453	подобно тому	1	1
454	столь же	2	1
455	все они	1	1
456	в такой	1	1
457	о чем	1	1
458	не принадлежит	2	1
459	все это	2	1
460	была бы	3	1
461	о его	1	1
462	не следует	4	1
463	и до	1	1
464	перед нею	1	1
465	картину в	1	1
466	но их	3	1
467	мы легко	2	1
468	и по	2	1
469	который в	2	1
470	оно и	1	1
471	если на	1	1
472	или иначе	5	1
473	как я	1	1
474	так или	4	1
475	его за	1	1
476	никак не	1	1
477	начало и	1	1
478	с ее	3	1
479	заключается в	2	1
480	лес но	1	1
481	но этим	1	1
482	это уже	1	1
483	долгое время	1	1
484	а впоследствии	1	1
485	или даже	4	1
486	на фоне	2	1
487	означает что	1	1
488	и приходит	1	1
489	в соответствии	3	1
490	обычно в	1	1
491	на которой	1	1
492	можно было	1	1
493	сколько бы	1	1
494	и объект	1	1
495	человека и	1	1
496	свою собственную	1	1
497	однако в	7	1
498	хранится в	1	1
499	также в	1	1
500	другу и	1	1
501	как говорит	3	1
502	как бы	5	1
503	при котором	1	1
504	как основной	1	1
