N	2gram	Tiupa_Lite_1	VrazhdaK
125	и наказания	1	2
126	уже не	7	2
127	из них	4	2
128	могли быть	1	2
129	для него	2	2
130	записки из	1	2
131	от сознания	2	2
132	отношение к	1	2
133	как раз	4	2
134	и т.п	4	2
135	не может	5	2
136	вместе с	1	2
137	в среде	1	2
138	ко мне	1	2
139	в это	1	2
140	что я	2	2
141	же в	5	2
142	а в	3	2
143	в свою	1	2
144	которых не	1	1
145	этого романа	1	1
146	как известно	1	1
147	этого в	1	1
148	также и	3	1
149	человека и	2	1
150	того же	2	1
151	три строки	1	1
152	он весьма	1	1
153	е годы	2	1
154	к своей	2	1
155	идет о	1	1
156	и есть	3	1
157	а от	1	1
158	по преимуществу	4	1
159	свое место	1	1
160	едва ли	1	1
161	в их	3	1
162	той же	3	1
163	преступления и	1	1
164	вот она	1	1
165	говорить о	1	1
166	издания мы	1	1
167	в полной	1	1
168	ему в	1	1
169	это время	1	1
170	собой в	1	1
171	литературе и	1	1
172	одном из	1	1
173	как правило	2	1
174	но не	4	1
175	в сторону	1	1
176	и т.д	1	1
177	тут же	1	1
178	в е	2	1
179	я только	1	1
180	что они	1	1
181	и я	6	1
182	человеческого достоинства	1	1
183	первый взгляд	1	1
184	как в	5	1
185	для всех	1	1
186	традиции к	1	1
187	как к	1	1
188	как нам	1	1
189	персонажей достоевского	1	1
190	них он	1	1
191	россии не	1	1
192	то в	1	1
193	в самом	3	1
194	в целом	8	1
195	не был	1	1
196	что же	1	1
197	тому же	2	1
198	во многих	2	1
199	как он	2	1
200	да и	3	1
201	от которого	1	1
202	которой не	1	1
203	в первой	1	1
204	ключ к	1	1
205	же это	2	1
206	прочим и	1	1
207	в силу	4	1
208	уже говорилось	1	1
209	в плане	1	1
210	и этот	1	1
211	однако в	2	1
212	а их	1	1
213	самим собой	2	1
214	это было	1	1
215	было бы	2	1
216	в итоге	1	1
217	исторического момента	1	1
218	в жизни	6	1
219	из первых	1	1
220	человек который	1	1
221	соответствии с	1	1
222	этого не	2	1
223	а за	1	1
224	всю жизнь	1	1
225	не всегда	1	1
226	он и	3	1
227	в москве	2	1
228	такой же	1	1
229	одного и	1	1
230	в этих	1	1
231	в войне	1	1
232	предполагать что	1	1
233	всяком случае	2	1
234	на свою	1	1
235	году когда	1	1
236	то было	1	1
237	в авторском	2	1
238	своего рода	11	1
239	не писал	1	1
240	сам же	1	1
241	войне и	2	1
242	в поэме	1	1
243	тем не	2	1
244	по крайней	1	1
245	не могли	1	1
246	для россии	1	1
247	а вот	1	1
248	раз и	2	1
249	за обедом	1	1
250	на три	1	1
251	вплоть до	2	1
252	тем самым	5	1
253	человечества и	1	1
254	другой не	1	1
255	не имеет	1	1
256	как о	1	1
257	нет необходимости	1	1
258	в уме	4	1
259	из их	1	1
260	как новый	1	1
261	более что	1	1
262	по своей	3	1
263	и мире	1	1
264	потому что	3	1
265	этом отношении	2	1
266	в каком	1	1
267	вот в	1	1
268	только от	1	1
269	сидя на	1	1
270	могут быть	2	1
271	ли не	3	1
272	отличается от	1	1
273	не есть	2	1
274	уже на	1	1
275	ничего общего	1	1
276	с ее	1	1
277	свою очередь	1	1
278	но при	2	1
279	у чехова	1	1
280	в ее	1	1
281	только при	1	1
282	не могло	2	1
283	роль в	2	1
284	к смерти	2	1
285	и сам	6	1
286	так и	4	1
287	на нее	1	1
288	еще в	4	1
289	во второй	1	1
290	перед сном	1	1
291	быть может	1	1
292	и эстетический	1	1
293	во всяком	3	1
294	второй половине	1	1
295	в будущее	1	1
296	его жизни	1	1
297	до сих	1	1
298	затем в	1	1
299	к нему	1	1
300	во всех	1	1
301	от них	1	1
302	во всей	1	1
303	крайней мере	1	1
304	вслед за	1	1
305	все в	1	1
306	достоевского это	1	1
307	в литературе	1	1
308	тех пор	1	1
309	имеется в	2	1
310	один из	3	1
311	в полтаве	1	1
312	то он	2	1
313	в литературу	1	1
314	он уже	1	1
315	в качестве	17	1
316	себя в	6	1
317	сколько в	1	1
318	целого ряда	1	1
319	в душе	3	1
320	что для	2	1
321	никто не	1	1
322	пока не	1	1
323	в одном	1	1
324	не затрагивает	1	1
325	своих собственных	1	1
326	друг друга	4	1
327	не просто	1	1
328	в особенности	1	1
329	никого не	1	1
330	из двух	1	1
331	нужно было	1	1
332	с другой	3	1
333	именно в	1	1
334	с героями	1	1
335	тогда же	1	1
336	прежде всего	11	1
337	в соответствии	1	1
338	в стиле	1	1
339	т.п ему	1	1
340	до конца	1	1
341	в рассказе	1	1
342	человек в	1	1
343	одну из	2	1
344	нет ничего	2	1
345	в частности	15	1
346	него в	1	1
347	по праву	1	1
348	из которых	1	1
349	не знал	1	1
350	в ответ	1	1
351	и такую	1	1
352	того что	6	1
353	романе достоевского	1	1
354	в условиях	1	1
355	сих пор	1	1
356	он называл	1	1
357	этими тремя	1	1
358	между прочим	1	1
359	романа с	1	1
360	но для	1	1
361	не любил	2	1
362	периоды его	1	1
363	мотив получает	1	1
364	годов в	1	1
365	более того	1	1
366	и от	1	1
367	наполеона в	1	1
368	и другими	1	1
369	это как	2	1
370	тот кто	1	1
371	скорее всего	1	1
372	у которого	1	1
373	но зато	1	1
374	года а	1	1
375	только что	1	1
376	отношении к	1	1
377	о своем	2	1
378	только как	1	1
379	другой стороны	1	1
380	автора в	2	1
381	из этого	1	1
382	жизни и	3	1
383	к этой	1	1
384	он лишь	1	1
385	все что	1	1
386	они не	1	1
