N	2gram	Vinokur_Ku_3	NovoeSre
188	и научной	1	1
189	не могут	5	1
190	своего рода	2	1
191	к нему	1	1
192	всей нашей	1	1
193	то он	3	1
194	понять что	1	1
195	значение и	1	1
196	над этой	1	1
197	в его	11	1
198	менее всего	1	1
199	отличие от	2	1
200	его национального	1	1
201	и только	3	1
202	значение для	1	1
203	но тут	1	1
204	в своем	4	1
205	как например	2	1
206	известном смысле	2	1
207	у в	1	1
208	говорит что	1	1
209	время когда	1	1
210	что он	6	1
211	в каком-то	1	1
212	условимся в	1	1
213	только в	6	1
214	во всем	1	1
215	по своей	1	1
216	и такое	1	1
217	в самом	13	1
218	есть вопрос	1	1
219	а во-вторых	2	1
220	бы сказать	3	1
221	то время	1	1
222	он в	2	1
223	из этих	5	1
224	в известном	2	1
225	что ничего	1	1
226	же и	1	1
227	уже говорил	1	1
228	уже в	3	1
229	вопроса о	3	1
230	духовной культуры	1	1
231	свидетельствует о	1	1
232	раньше чем	1	1
233	в статье	2	1
234	что вообще	3	1
235	бы к	1	1
236	для того	12	1
237	и их	1	1
238	всяком случае	1	1
239	нуждается в	1	1
240	слова в	4	1
241	говорим что	1	1
242	не для	1	1
243	не случайно	4	1
244	смысле как	1	1
245	показал что	1	1
246	тем что	5	1
247	от того	5	1
248	культуры есть	1	1
249	и вместе	1	1
250	в основу	1	1
251	но все	2	1
252	это конечно	2	1
253	о словах	1	1
254	культуры но	1	1
255	должно будет	1	1
256	весь смысл	1	1
257	значение в	2	1
258	не должна	1	1
259	том случае	4	1
260	возможно что	1	1
261	факт в	1	1
262	выходит за	1	1
263	из всех	1	1
264	а по	1	1
265	говорим о	2	1
266	противоположного характера	1	1
267	все решается	1	1
268	с другими	2	1
269	было бы	16	1
270	в каких	1	1
271	он есть	1	1
272	заинтересована в	1	1
273	труд и	1	1
274	лишь по	1	1
275	во внешней	1	1
276	в отличие	2	1
277	что не	4	1
278	говорят об	1	1
279	все слова	1	1
280	обратиться к	1	1
281	связано с	1	1
282	превращается в	1	1
283	а на	1	1
284	они не	3	1
285	этого не	1	1
286	не всегда	1	1
287	нельзя будет	2	1
288	отказаться от	1	1
289	этом я	1	1
290	далеко еще	1	1
291	что мы	2	1
292	и того	2	1
293	одного и	2	1
294	в эту	1	1
295	в этих	2	1
296	может иметь	3	1
297	во время	1	1
298	есть неотъемлемое	1	1
299	но если	3	1
300	она сама	1	1
301	знаний о	1	1
302	до этого	1	1
303	в такой	1	1
304	мы конечно	1	1
305	на это	1	1
306	в котором	2	1
307	только для	2	1
308	и процесс	1	1
309	рода и	1	1
310	установить что	1	1
311	мы в	1	1
312	не столько	4	1
313	не должно	1	1
314	у нас	10	1
315	переходит от	1	1
316	мы опять	1	1
317	в зависимости	7	1
318	но сам	2	1
319	в силу	6	1
320	войне и	1	1
321	но он	1	1
322	творчества и	1	1
323	мы должны	3	1
324	и более	3	1
325	есть еще	1	1
326	и газеты	1	1
327	получает свое	1	1
328	во времени	1	1
329	том смысле	1	1
330	быть не	2	1
331	по себе	6	1
332	в той	4	1
333	этому учит	1	1
334	нас к	2	1
335	будто бы	1	1
336	сих пор	8	1
337	так как	9	1
338	к такой	2	1
339	о формах	2	1
340	есть прежде	1	1
341	должны быть	1	1
342	к вопросу	2	1
343	она должна	1	1
344	в сущности	4	1
345	не по	3	1
346	это уже	3	1
347	до сих	8	1
348	этого конечно	1	1
349	нам предстоит	1	1
350	в формы	1	1
351	так много	1	1
352	формах и	1	1
353	о природе	1	1
354	этой системы	2	1
355	которая в	1	1
356	чтобы понять	2	1
357	но также	5	1
358	всего что	1	1
359	а во	1	1
360	понята как	1	1
361	они являются	1	1
362	или нет	1	1
363	мыслей и	1	1
364	к этой	1	1
365	есть такой	1	1
366	я хочу	3	1
367	чтобы эти	1	1
368	и его	1	1
369	а также	4	1
370	вот этот	1	1
371	принято было	1	1
372	есть уже	1	1
373	они будут	1	1
374	для другого	1	1
375	давно уже	1	1
376	речи о	1	1
377	смысле в	1	1
378	возможно лишь	1	1
379	в области	14	1
380	в период	1	1
381	в каком	3	1
382	внешних формах	1	1
383	в свою	1	1
384	того же	4	1
385	считаться и	1	1
386	есть и	1	1
387	в которой	1	1
388	эти слова	2	1
389	политике и	1	1
390	во всяком	2	1
391	который не	1	1
392	как на	8	1
393	все что	1	1
394	том числе	2	1
