N	2gram	Nazirov_Tr_1	Hudozhes
348	что ему	1	1
349	самого начала	1	1
350	не вызывает	1	1
351	художественное открытие	1	1
352	и всегда	1	1
353	в отношениях	1	1
354	контакт с	1	1
355	в самой	1	1
356	м м	1	1
357	к вам	1	1
358	но теперь	1	1
359	в области	1	1
360	на противоположном	1	1
361	по нашему	1	1
362	в момент	1	1
363	в разговоре	1	1
364	а теперь	1	1
365	встречается в	1	1
366	мы узнаем	1	1
367	последнее слово	1	1
368	его с	1	1
369	от нее	1	1
370	именно таков	1	1
371	время он	1	1
372	любовь в	1	1
373	на нечто	1	1
374	у себя	1	1
375	а затем	1	1
376	ухода из	1	1
377	один в	3	1
378	с самого	1	1
379	н толстой	1	1
380	в дальнейшем	5	1
381	к смерти	1	1
382	на нее	1	1
383	когда его	1	1
384	еще в	2	1
385	но у	1	1
386	жизнь и	3	1
387	она тоже	1	1
388	а там	1	1
389	по себе	1	1
390	себя а	1	1
391	и здесь	2	1
392	но мы	1	1
393	и что	4	1
394	в глаза	2	1
395	после того	1	1
396	и который	1	1
397	времени в	2	1
398	заключается в	1	1
399	все в	1	1
400	он возвращается	1	1
401	не понимал	1	1
402	личности героя	1	1
403	ко всей	1	1
404	о своих	1	1
405	случае и	1	1
406	что вот	1	1
407	того что	1	1
408	облике и	1	1
409	по своей	1	1
410	в новой	1	1
411	согласиться с	1	1
412	только сам	1	1
413	всю ее	1	1
414	в самое	1	1
415	в руку	1	1
416	и потому	1	1
417	по мнению	2	1
418	но как	1	1
419	за себя	1	1
420	и теперь	1	1
421	это же	1	1
422	так что	2	1
423	уже в	3	1
424	он очень	1	1
425	самую суть	1	1
426	героя с	1	1
427	отцов и	1	1
428	над ними	1	1
429	могло бы	1	1
430	я в	1	1
431	не для	1	1
432	не правда	1	1
433	случайное и	1	1
434	на меня	2	1
435	и детям	1	1
436	это по	1	1
437	и подумала	1	1
438	чувствует себя	1	1
439	и даже	4	1
440	перед ним	1	1
441	только по	1	1
442	к личности	1	1
443	жизни заключается	1	1
444	и стал	1	1
445	а на	1	1
446	всему что	1	1
447	до конца	2	1
448	с которым	1	1
449	ребенка в	2	1
450	в точности	1	1
451	и она	1	1
452	эти слова	1	1
453	да я	1	1
454	всех людей	1	1
455	для искусства	2	1
456	к жизни	5	1
457	что за	3	1
458	это его	1	1
459	какое-то странное	1	1
460	думать о	1	1
461	на свете	1	1
462	распадается на	1	1
463	с этой	1	1
464	нее самой	1	1
465	еще раз	2	1
466	этом случае	1	1
467	в условиях	1	1
468	но это	4	1
469	не любил	1	1
470	ее душу	1	1
471	его собственная	1	1
472	в бога	1	1
473	самое главное	1	1
474	на улице	1	1
475	писателя но	1	1
476	это часто	1	1
477	всего что	1	1
478	из себя	1	1
479	бы в	1	1
480	вспомнить что	1	1
481	в поле	3	1
482	по самой	1	1
483	и дело	1	1
484	обстоит дело	1	1
485	за этим	1	1
486	чем же	1	1
487	л н	1	1
488	с сыном	1	1
489	совершенно не	1	1
490	конфликт между	1	1
491	точно так	2	1
492	тягой к	1	1
493	в кругу	1	1
494	и жизнь	1	1
495	только о	2	1
496	в такое	1	1
497	об отношении	1	1
498	к этой	1	1
499	а я	5	1
500	вдруг на	1	1
501	это в	1	1
502	к м	1	1
503	в таком	2	1
