N	2gram	Bakhtin_KF_1	TeoriaLi
230	что он	2	2
231	культуры в	1	2
232	две строфы	1	2
233	ответственного за	1	1
234	только к	1	1
235	можно говорить	1	1
236	говоря о	1	1
237	также и	1	1
238	ты и	1	1
239	и есть	9	1
240	этого мира	3	1
241	тем же	1	1
242	от своей	5	1
243	и до	1	1
244	из его	3	1
245	ее мышления	1	1
246	едва ли	2	1
247	действительности и	1	1
248	мышления но	1	1
249	и должен	2	1
250	со всех	1	1
251	ее действительного	1	1
252	той же	1	1
253	и себя	1	1
254	на первом	2	1
255	содержания в	1	1
256	вопрос о	2	1
257	акта в	2	1
258	единство и	1	1
259	чтобы не	2	1
260	все и	1	1
261	ориентирована на	1	1
262	вся система	1	1
263	данности бытия	1	1
264	своей причастности	1	1
265	не субъективно	1	1
266	момент в	7	1
267	не от	1	1
268	освобождения от	1	1
269	и на	3	1
270	столь же	1	1
271	бы то	2	1
272	в различных	1	1
273	события в	3	1
274	связи между	1	1
275	тем как	3	1
276	совсем не	2	1
277	нет не	1	1
278	высшей ценностью	1	1
279	с собою	1	1
280	значение для	1	1
281	или иное	2	1
282	на то	1	1
283	отнюдь не	6	1
284	в истории	1	1
285	более чем	1	1
286	себя за	2	1
287	смысловой значимости	2	1
288	независимо от	3	1
289	такова же	1	1
290	чего нет	1	1
291	сознания в	2	1
292	бытию и	1	1
293	и свою	1	1
294	и автора	1	1
295	или иную	1	1
296	можно в	1	1
297	шире и	1	1
298	к чему	3	1
299	из жизни	1	1
300	что это	3	1
301	момент его	8	1
302	одном случае	1	1
303	в известном	1	1
304	данном контексте	1	1
305	как основной	1	1
306	имеем в	2	1
307	ее как	2	1
308	бытия чтобы	1	1
309	если он	1	1
310	всей его	2	1
311	т.е не	2	1
312	вследствие этого	2	1
313	жизнью и	1	1
314	на его	1	1
315	исходит из	1	1
316	что она	1	1
317	время и	5	1
318	он ни	2	1
319	с нашим	1	1
320	отношений между	1	1
321	но прежде	1	1
322	мир как	6	1
323	в первом	1	1
324	остается лишь	1	1
325	содержит в	1	1
326	основе его	1	1
327	ни был	2	1
328	подход к	1	1
329	то ни	2	1
330	не будет	2	1
331	что все	1	1
332	смысла в	2	1
333	том случае	1	1
334	не сможет	1	1
335	а по	2	1
336	оно становится	1	1
337	неслиянное и	1	1
338	времени и	4	1
339	большинстве случаев	1	1
340	ответственность за	2	1
341	жизнь других	1	1
342	было бы	8	1
343	полноте и	1	1
344	обе стороны	1	1
345	должен был	1	1
346	весь мир	2	1
347	делает его	1	1
348	видения в	1	1
349	жизни что	1	1
350	нет в	4	1
351	рядом с	3	1
352	моего сознания	2	1
353	она и	1	1
354	с тем	2	1
355	всю жизнь	1	1
356	он и	2	1
357	когда я	3	1
358	все моменты	1	1
359	местом в	1	1
360	остается в	1	1
361	же я	1	1
362	но я	2	1
363	эмоционально-волевым тоном	4	1
364	от своего	1	1
365	другим и	1	1
366	смысле можно	1	1
367	не становится	1	1
368	в котором	24	1
369	даль и	1	1
370	к предмету	1	1
371	и вокруг	1	1
372	себе а	2	1
373	не как	4	1
374	от его	5	1
375	не путем	1	1
376	предполагает не	1	1
377	но эта	5	1
378	этих моментов	2	1
379	но во	1	1
380	имеем не	1	1
381	значимость в	1	1
382	собой и	1	1
383	не должно	3	1
384	остановимся на	1	1
385	случае мы	2	1
386	я для	1	1
387	ее не	1	1
388	с которой	1	1
389	она могла	2	1
390	принципиально иной	1	1
391	не имеет	5	1
392	дело в	2	1
393	одна из	1	1
394	между жизнью	1	1
395	это существенно	1	1
396	ценностей или	1	1
397	к этим	1	1
398	и сама	1	1
399	бытия и	10	1
400	ясность и	1	1
401	поступок в	6	1
402	жизни не	1	1
403	поскольку оно	1	1
404	вследствие того	1	1
405	эти стороны	1	1
406	я во	1	1
407	от него	3	1
408	ему и	1	1
409	этих случаях	1	1
410	и теперь	1	1
411	ту или	1	1
412	как я	1	1
413	не по	4	1
414	и делает	2	1
415	жизни я	1	1
416	не является	1	1
417	в каком	4	1
418	бытия не	2	1
419	не мыслится	1	1
420	деятельности и	2	1
421	в момент	3	1
422	когда мы	1	1
423	в событии	5	1
424	значительной степени	1	1
425	его с	2	1
426	всего что	1	1
427	в каждом	3	1
428	оно не	2	1
429	она не	1	1
430	задана как	1	1
431	должен быть	7	1
432	момент свершения	1	1
433	этой своей	1	1
434	некое эстетическое	1	1
435	своего развития	1	1
436	а затем	1	1
437	того чтобы	2	1
438	меня в	3	1
439	на основе	7	1
440	только при	1	1
441	то или	2	1
442	мысль о	1	1
443	чтобы быть	2	1
444	всей своей	2	1
445	меня эта	1	1
446	и совершенно	3	1
447	как содержание	1	1
448	с собой	1	1
449	активностью в	1	1
450	здесь как	1	1
451	особенно в	1	1
452	живет в	1	1
453	и религии	1	1
454	это событие	1	1
455	осуществляется в	1	1
456	переживания как	2	1
457	может оставаться	1	1
458	жизнь и	2	1
459	для этого	2	1
460	и эстетический	2	1
461	с ним	5	1
462	с человеком	3	1
463	первом случае	1	1
464	возможна только	1	1
465	как ученый	1	1
466	настоящее время	1	1
467	не содержит	1	1
468	основе своей	2	1
469	может не	2	1
470	в значительной	1	1
471	последних двух	1	1
472	мир все	1	1
473	жизненные ценности	1	1
474	не допуская	1	1
475	лишь путем	1	1
476	нуждается в	1	1
477	ним и	3	1
478	и только	6	1
479	отношения являются	1	1
480	человека как	1	1
481	систему ценностей	1	1
482	всех сторон	1	1
483	не совпадает	1	1
484	жизнь на	1	1
485	один из	2	1
486	но с	1	1
487	тот же	1	1
488	в некоторое	2	1
489	дело с	2	1
490	в какой	1	1
491	тем или	1	1
492	целого и	1	1
493	ее смысл	1	1
494	субъектом и	1	1
495	к миру	1	1
496	мира как	2	1
497	их не	1	1
498	жить и	2	1
499	и жизни	4	1
500	со всеми	2	1
501	же и	1	1
502	внимание в	1	1
503	если мы	1	1
504	только на	1	1
505	всем его	3	1
506	в единстве	7	1
507	бытия я	1	1
508	не дает	3	1
509	я люблю	1	1
510	только одно	1	1
511	одно из	1	1
512	и их	6	1
513	никто не	1	1
514	ведь это	1	1
515	и мир	2	1
516	имеют место	2	1
517	в одном	4	1
518	так как	1	1
519	к ним	4	1
520	может служить	1	1
521	но из	1	1
522	для того	3	1
523	чему не	2	1
524	точек зрения	1	1
525	между ним	1	1
526	на ее	1	1
527	отказаться от	2	1
528	на чем	1	1
529	однако что	2	1
530	противоречие между	1	1
531	положений и	1	1
532	и пр	3	1
533	с моей	3	1
534	превращается в	1	1
535	не было	8	1
536	не решает	1	1
537	это мир	2	1
538	зависит от	1	1
539	с которым	1	1
540	жизнь в	1	1
541	научной истины	1	1
542	и я	5	1
543	своей структуре	1	1
544	и исторической	1	1
545	за свою	1	1
546	в бытии	26	1
547	ближе к	3	1
548	его как	5	1
549	если не	2	1
550	может иметь	2	1
551	не способна	1	1
552	лишь однажды	1	1
553	до этого	1	1
554	к бытию	1	1
555	и объект	1	1
556	определяет его	1	1
557	все люди	1	1
558	одновременно и	1	1
559	было и	2	1
560	способу мышления	1	1
561	лицом и	1	1
562	в мир	1	1
563	в это	2	1
564	выбора все	1	1
565	в контексте	5	1
566	быть и	3	1
567	известном смысле	1	1
568	и одна	1	1
569	о его	1	1
570	все это	10	1
571	не носит	1	1
572	ее можно	1	1
573	это уже	2	1
574	каким бы	1	1
575	и от	1	1
576	что делает	1	1
577	в результате	1	1
578	все они	1	1
579	в настоящее	1	1
580	которой я	2	1
581	своей значимости	3	1
582	больше и	1	1
583	это может	1	1
584	и нераздельное	1	1
585	в третьем	1	1
586	места в	4	1
587	не более	1	1
588	стороны в	3	1
589	действительной жизни	3	1
590	за его	1	1
591	ни было	4	1
592	эстетическому субъекту	1	1
593	им с	1	1
594	же в	1	1
595	мы видим	1	1
596	но всегда	2	1
597	не есть	20	1
598	вступает в	3	1
599	помимо его	1	1
600	становления и	1	1
601	оценки и	2	1
602	с ней	1	1
603	и каждая	1	1
604	со мной	4	1
605	не быть	3	1
606	совершенно не	6	1
607	в иной	1	1
608	себе самому	1	1
609	вступить в	1	1
610	я это	1	1
611	переживание переживания	2	1
612	включает в	2	1
613	просто не	1	1
614	жизни и	8	1
615	расположение их	1	1
616	ее в	1	1
617	в своих	3	1
618	по поводу	1	1
619	как себя	1	1
620	все что	1	1
