N	2gram	Tiupa_Narr_2	EvropaiC
285	но не	3	2
286	в точке	1	2
287	что же	1	2
288	многих других	1	2
289	с этой	3	2
290	приобщения к	1	2
291	ни для	2	2
292	но для	2	2
293	том виде	1	2
294	не от	1	2
295	и говорить	1	2
296	с ними	3	2
297	между ними	1	2
298	не знает	1	2
299	в свою	2	2
300	два человека	1	2
301	они не	2	2
302	гораздо более	1	2
303	говоря о	1	1
304	например в	1	1
305	предполагает что	1	1
306	все остальное	1	1
307	он может	2	1
308	это и	1	1
309	который можно	1	1
310	только эти	2	1
311	из его	1	1
312	ведь и	1	1
313	все те	2	1
314	в зависимости	1	1
315	и должен	1	1
316	той же	2	1
317	отношения к	1	1
318	а как	3	1
319	есть не	1	1
320	выше в	1	1
321	мы не	2	1
322	только благодаря	1	1
323	догадаться что	1	1
324	время как	1	1
325	на себя	1	1
326	должен не	1	1
327	на практике	1	1
328	я не	5	1
329	вместо того	1	1
330	похожи на	1	1
331	зависимости от	1	1
332	к своему	2	1
333	и самого	1	1
334	он сам	2	1
335	иное как	1	1
336	это действительно	1	1
337	всю свою	1	1
338	с его	3	1
339	бы не	1	1
340	себе и	2	1
341	со стороны	6	1
342	другом только	1	1
343	можно представить	1	1
344	мира в	4	1
345	него только	1	1
346	в центре	2	1
347	первый взгляд	1	1
348	если она	1	1
349	как в	5	1
350	что именно	1	1
351	однако не	2	1
352	перед нами	4	1
353	и как	1	1
354	психологии но	1	1
355	по пути	1	1
356	его к	1	1
357	тем же	1	1
358	от самого	1	1
359	детства в	1	1
360	ряде случаев	1	1
361	отказывается от	1	1
362	бы с	2	1
363	применительно к	1	1
364	рассказ о	1	1
365	возможен только	1	1
366	о ее	1	1
367	не могла	1	1
368	после этого	1	1
369	образом для	1	1
370	раз когда	1	1
371	от которого	3	1
372	когда все	2	1
373	данного общества	1	1
374	в принципе	2	1
375	исходит от	1	1
376	еще одной	1	1
377	его можно	1	1
378	людей и	1	1
379	лишь с	1	1
380	без исключения	1	1
381	этом последнем	1	1
382	здесь мы	1	1
383	распространяется на	1	1
384	поскольку все	2	1
385	а его	1	1
386	зрения на	2	1
387	входит в	1	1
388	это было	1	1
389	при встрече	3	1
390	каждого из	1	1
391	характер не	1	1
392	и тем	5	1
393	делает его	1	1
394	на второй	2	1
395	которой он	3	1
396	во взаимной	1	1
397	этом я	1	1
398	в развитии	1	1
399	не мог	1	1
400	к первому	1	1
401	искать в	1	1
402	бы на	2	1
403	в своей	4	1
404	как все	1	1
405	это делает	1	1
406	его мнению	1	1
407	не к	4	1
408	иначе как	1	1
409	жизни с	2	1
410	что я	3	1
411	строго говоря	3	1
412	и другого	2	1
413	но он	2	1
414	состоит в	12	1
415	их в	1	1
416	однако в	2	1
417	приходится искать	1	1
418	человека но	1	1
419	если их	1	1
420	всех их	1	1
421	в отношении	1	1
422	каждого отдельного	1	1
423	к такой	1	1
424	как о	2	1
425	не имеет	2	1
426	на котором	1	1
427	принадлежат к	1	1
428	и притом	1	1
429	не по	1	1
430	иметь в	1	1
431	вытекает из	1	1
432	не имели	1	1
433	с нами	1	1
434	к ней	3	1
435	более что	1	1
436	роковым образом	1	1
437	и его	3	1
438	со своим	2	1
439	только с	1	1
440	ли это	1	1
441	может показаться	1	1
442	или ином	1	1
443	это по	1	1
444	есть только	1	1
445	да и	3	1
446	только еще	1	1
447	с такою	2	1
448	для себя	3	1
449	потому не	2	1
450	но при	4	1
451	здесь не	2	1
452	это единственный	1	1
453	не могу	2	1
454	мысль о	2	1
455	то время	1	1
456	приводит к	1	1
457	роль в	2	1
458	в культуре	2	1
459	отличаться от	1	1
460	психический процесс	1	1
461	собой и	1	1
462	своей собственной	2	1
463	ничего не	6	1
464	или иной	3	1
465	лишь то	1	1
466	мы всегда	1	1
467	быть в	1	1
468	в состав	3	1
469	люди с	1	1
470	сверху вниз	1	1
471	в раннем	1	1
472	время в	1	1
473	более высокой	1	1
474	за пределами	3	1
475	но мы	1	1
476	никак не	3	1
477	это была	1	1
478	совпадающей с	1	1
479	всегда может	1	1
480	том или	1	1
481	нем не	1	1
482	это сделать	1	1
483	на одном	2	1
484	этом и	1	1
485	во всей	1	1
486	без которого	1	1
487	в другой	1	1
488	от этих	1	1
489	не совпадающей	1	1
490	в современной	2	1
491	один из	3	1
492	себя с	2	1
493	как сам	1	1
494	ее проявления	1	1
495	и кажется	1	1
496	как нечто	1	1
497	к их	1	1
498	по мнению	1	1
499	к детской	1	1
500	не происходит	2	1
501	непрерывно и	1	1
502	в качестве	14	1
503	с нею	2	1
504	уже не	4	1
505	только на	2	1
506	в нашей	1	1
507	свидетельствует о	4	1
508	а то	2	1
509	в прошлом	1	1
510	приобщением к	1	1
511	не случайно	2	1
512	заметить что	1	1
513	тем что	1	1
514	к социальной	1	1
515	и оставаться	1	1
516	в других	2	1
517	следует признать	4	1
518	бы это	1	1
519	на стороне	2	1
520	именно как	1	1
521	и даже	3	1
522	в данный	1	1
523	о своей	1	1
524	с другим	2	1
525	от другой	1	1
526	а именно	1	1
527	к которому	2	1
528	как же	1	1
529	к его	3	1
530	детстве и	2	1
531	или о	1	1
532	однако чтобы	1	1
533	люди что	1	1
534	только к	3	1
535	и люди	1	1
536	только по	2	1
537	а не	17	1
538	зависит от	2	1
539	и оно	1	1
540	на эту	1	1
541	когда же	2	1
542	когда она	1	1
543	среди других	1	1
544	говоря для	1	1
545	с перевесом	1	1
546	виде в	1	1
547	вступает в	2	1
548	некоторые из	1	1
549	все свое	1	1
550	в историю	1	1
551	о возможности	1	1
552	в человеке	1	1
553	к жизни	1	1
554	еще нет	1	1
555	всего предшествующего	1	1
556	наряду с	1	1
557	если они	1	1
558	а потом	2	1
559	другом сознании	1	1
560	действительно так	1	1
561	благодаря этому	1	1
562	этой стороны	1	1
563	же самое	1	1
564	противоречие с	1	1
565	пока еще	3	1
566	мире а	1	1
567	ли в	1	1
568	и среди	1	1
569	а все	1	1
570	еще более	1	1
571	времени все	1	1
572	будто бы	1	1
573	или не	1	1
574	обстоит дело	1	1
575	в памяти	2	1
576	есть продукт	1	1
577	в равной	2	1
578	не являются	2	1
579	жизни в	6	1
580	это все	1	1
581	две стороны	1	1
582	сказать что	3	1
583	существует в	1	1
584	и возникает	1	1
585	у людей	1	1
586	зрения настоящего	1	1
587	что ни	1	1
588	с каждым	1	1
589	удалось бы	1	1
590	ее в	1	1
591	в своих	2	1
592	с такой	1	1
593	точно так	2	1
