N	2gram	Savitsky_P_1	Marksizm
328	мы возьмем	1	1
329	были бы	1	1
330	без того	1	1
331	одной стороны	3	1
332	со стороны	2	1
333	на заре	1	1
334	бы эти	1	1
335	и быть	1	1
336	в природе	1	1
337	– по	1	1
338	к более	1	1
339	социального бытия	1	1
340	идеи в	1	1
341	как ни	1	1
342	бы ее	1	1
343	что мы	3	1
344	о духе	1	1
345	все основные	1	1
346	в рамках	1	1
347	но не	3	1
348	пр есть	1	1
349	к жизни	1	1
350	она есть	3	1
351	применении к	1	1
352	заложенное в	1	1
353	в мир	1	1
354	времени с	1	1
355	друг с	1	1
356	многих других	1	1
357	есть и	1	1
358	ли не	1	1
359	хозяйстве и	1	1
360	на пути	4	1
361	в гораздо	4	1
362	внешнему выражению	1	1
363	между прочим	2	1
364	в недрах	2	1
365	к другим	1	1
366	исторического материализма	3	1
367	идет именно	1	1
368	только мы	1	1
369	и слова	1	1
370	чтобы понять	1	1
371	с двух	1	1
372	определенных и	1	1
373	и другие	1	1
374	рождается и	1	1
375	науки как	1	1
376	ли они	1	1
377	сочетаться с	1	1
378	и особенно	1	1
379	гораздо более	1	1
