N	2gram	Losev_Vlad_2	SlovoVZh
146	была бы	1	2
147	нет ничего	3	2
148	ни на	1	2
149	вместе с	8	2
150	можно найти	1	2
151	в отношении	3	2
152	к его	2	2
153	но не	3	2
154	общего с	1	2
155	место в	1	2
156	находит в	1	2
157	речи в	1	2
158	с этой	4	2
159	она не	2	2
160	с точки	3	2
161	является для	1	2
162	такой же	1	2
163	в основном	5	2
164	этой стороны	1	2
165	тогда когда	2	2
166	в то	9	2
167	и притом	2	2
168	на него	1	2
169	известной степени	1	2
170	ясность и	1	2
171	ничего не	2	2
172	а к	2	2
173	этих двух	1	2
174	и все	7	2
175	в этих	4	2
176	есть уже	1	2
177	но это	4	2
178	между ними	1	2
179	от всех	1	2
180	и вполне	3	2
181	что в	12	2
182	бы даже	1	2
183	и другие	1	2
184	не есть	4	2
185	к этому	6	2
186	и это	3	1
187	строгость и	1	1
188	например в	1	1
189	как мы	11	1
190	и о	4	1
191	но чтобы	1	1
192	мы здесь	1	1
193	сам по	2	1
194	свою очередь	2	1
195	а из	1	1
196	совершенно ясно	1	1
197	характер и	1	1
198	нам кажется	3	1
199	из трех	3	1
200	только то	1	1
201	в произведении	1	1
202	с самого	1	1
203	то время	6	1
204	по преимуществу	1	1
205	моменты его	1	1
206	из его	2	1
207	и больше	3	1
208	высшей степени	1	1
209	с таким	1	1
210	можно было	2	1
211	мы уже	2	1
212	лет и	3	1
213	хорошо и	1	1
214	форму его	1	1
215	на которую	1	1
216	к вопросам	1	1
217	себе как	1	1
218	как единство	1	1
219	та же	1	1
220	я знаю	1	1
221	а эта	1	1
222	единство и	2	1
223	для этого	1	1
224	он как	1	1
225	не вполне	2	1
226	то она	1	1
227	сводится к	1	1
228	но то	2	1
229	в порядке	1	1
230	и он	4	1
231	различать два	1	1
232	там же	12	1
233	и который	1	1
234	на их	1	1
235	в предварительном	1	1
236	во всех	3	1
237	вопросу о	1	1
238	и во	2	1
239	жизни он	1	1
240	и всего	2	1
241	то в	5	1
242	и легче	1	1
243	к которой	1	1
244	в общем	2	1
245	менее всего	1	1
246	себе и	2	1
247	крайней мере	4	1
248	и можно	2	1
249	того в	1	1
250	что они	1	1
251	именно в	4	1
252	уже во	1	1
253	в теории	2	1
254	знания и	1	1
255	и она	2	1
256	если она	1	1
257	в лице	1	1
258	что именно	1	1
259	так называемая	1	1
260	не зная	1	1
261	в современной	1	1
262	что здесь	1	1
263	как например	1	1
264	перед нами	1	1
265	но тот	1	1
266	хотя и	6	1
267	в двух	2	1
268	тот же	5	1
269	на другие	2	1
270	мы увидим	1	1
271	ли он	2	1
272	более или	3	1
273	себе не	1	1
274	пор не	1	1
275	как нечто	1	1
276	о самом	1	1
277	близкого к	1	1
278	отношения между	1	1
279	что это	4	1
280	в целом	4	1
281	не получил	1	1
282	если мы	1	1
283	в эти	7	1
284	не то	3	1
285	близости к	1	1
286	фразы в	1	1
287	себя в	2	1
288	думать что	1	1
289	еще один	2	1
290	им в	3	1
291	совершенно отчетливо	1	1
292	во многих	2	1
293	и теоретическая	1	1
294	в виде	3	1
295	что она	1	1
296	на этих	3	1
297	слова не	1	1
298	ей в	1	1
299	или даже	1	1
300	в прежней	1	1
301	при помощи	1	1
302	же реальное	1	1
303	его и	2	1
304	себе в	2	1
305	и их	1	1
306	всяком случае	6	1
307	в одном	1	1
308	и вот	3	1
309	вовсе не	4	1
310	ничего общего	1	1
311	друг друга	2	1
312	дело и	1	1
313	бытия и	2	1
314	у него	19	1
315	из нее	1	1
316	на этом	2	1
317	же отношения	1	1
318	что является	1	1
319	само собой	3	1
320	даже и	3	1
321	том же	3	1
322	здесь мы	3	1
323	что все	1	1
324	связанных с	1	1
325	о третьем	1	1
326	и из	2	1
327	должно быть	3	1
328	говорить и	1	1
329	а эти	1	1
330	и мы	4	1
331	было бы	9	1
332	миру и	1	1
333	этом смысле	1	1
334	и прежде	2	1
335	уже сказано	1	1
336	и тем	1	1
337	кажется что	2	1
338	что для	2	1
339	для них	1	1
340	от нее	1	1
341	но уже	2	1
342	не было	10	1
343	рядом с	1	1
344	все равно	1	1
345	далеко не	1	1
346	не на	2	1
347	которой он	2	1
348	несмотря на	4	1
349	все моменты	1	1
350	о чем	6	1
351	на эту	2	1
352	него не	1	1
353	и того	1	1
354	ему но	1	1
355	мы видели	2	1
356	или менее	3	1
357	всего нужно	1	1
358	все более	1	1
359	такой степени	1	1
360	но если	1	1
361	в частности	2	1
362	то он	1	1
363	случае по	1	1
364	он вдруг	1	1
365	и без	1	1
366	это делает	1	1
367	только его	2	1
368	то есть	7	1
369	к одному	1	1
370	степени не	1	1
371	не могут	1	1
372	и глубоко	1	1
373	только об	1	1
374	чем мы	1	1
375	что я	3	1
376	наряду с	2	1
377	однако он	1	1
378	двух людей	1	1
379	нельзя было	1	1
380	но эта	1	1
381	которые в	1	1
382	отношении он	1	1
383	по крайней	4	1
384	и относительно	1	1
385	уже сказали	1	1
386	ним в	2	1
387	для нее	1	1
388	что до	1	1
389	случае мы	1	1
390	он выше	1	1
391	позицию в	1	1
392	от всего	1	1
393	в высшей	1	1
394	с которой	2	1
395	в смысле	1	1
396	самого начала	1	1
397	как о	1	1
398	в русской	1	1
399	и единство	1	1
400	весь этот	1	1
401	время как	2	1
402	тоже может	1	1
403	уже на	3	1
404	нас является	1	1
405	потому не	1	1
406	того чтобы	2	1
407	и форму	1	1
408	это мы	5	1
409	к кому	1	1
410	общий язык	1	1
411	имеет дело	1	1
412	в результате	5	1
413	только и	3	1
414	в качестве	1	1
415	же время	3	1
416	от него	1	1
417	было на	1	1
418	полагать что	1	1
419	еще более	3	1
420	тем более	3	1
421	мы должны	4	1
422	ровно ничего	2	1
423	всей жизни	2	1
424	же он	1	1
425	связи с	8	1
426	можно только	1	1
427	здесь же	1	1
428	следует отметить	1	1
429	в свою	3	1
430	уже и	2	1
431	видения и	1	1
432	как будто	2	1
433	этом отношении	1	1
434	жизни в	2	1
435	и русских	1	1
436	в области	3	1
437	больше того	2	1
438	с ней	2	1
439	у нас	6	1
440	только как	1	1
441	обычно не	1	1
442	равно как	1	1
443	все то	1	1
444	что можно	3	1
445	этот пафос	1	1
446	когда мы	3	1
447	есть только	1	1
448	время не	1	1
449	я и	2	1
450	должны быть	1	1
451	но эти	1	1
452	но из	2	1
453	в таком	3	1
454	во всяком	6	1
455	они не	1	1
456	к тому	2	1
