N	2gram	Nazirov_Vr_1	Analitik
207	знаем о	1	1
208	мой был	1	1
209	начинается с	1	1
210	в полной	1	1
211	я не	3	1
212	был еще	1	1
213	и был	1	1
214	литературой в	1	1
215	в таком	1	1
216	как ему	1	1
217	он был	3	1
218	он сам	2	1
219	из литературы	1	1
220	и русской	1	1
221	а отношение	1	1
222	не все	1	1
223	отношение к	2	1
224	говорилось выше	1	1
225	в истории	4	1
226	идет о	1	1
227	независимо от	1	1
228	одном из	1	1
229	чтоб я	1	1
230	себе не	1	1
231	и отчасти	1	1
232	и у	3	1
233	идет не	1	1
234	момент его	1	1
235	в известном	2	1
236	раз в	3	1
237	во многих	1	1
238	на то	3	1
239	в записках	1	1
240	в свет	1	1
241	время и	2	1
242	которой не	1	1
243	при виде	1	1
244	чем у	1	1
245	в силу	1	1
246	на дуэль	1	1
247	записных книжках	1	1
248	человека в	3	1
249	войне за	1	1
250	совпадают с	1	1
251	никто из	1	1
252	в повествование	1	1
253	нашему убеждению	2	1
254	этой традиции	1	1
255	это было	1	1
256	заключается в	1	1
257	этом смысле	1	1
258	рядом с	2	1
259	а за	1	1
260	во внимание	1	1
261	которой он	1	1
262	анекдот о	1	1
263	года и	1	1
264	всех этих	1	1
265	но я	1	1
266	в эту	2	1
267	в войне	1	1
268	в своей	2	1
269	а от	1	1
270	этому же	1	1
271	место в	2	1
272	далее в	1	1
273	с инициалами	1	1
274	он как	1	1
275	с ним	4	1
276	от нас	1	1
277	как о	1	1
278	этой повести	1	1
279	совпадает с	1	1
280	у него	5	1
281	мнения о	1	1
282	не могло	1	1
283	каждый из	1	1
284	через него	1	1
285	иными словами	1	1
286	более что	1	1
287	ему и	1	1
288	потому что	1	1
289	связи с	3	1
290	ему в	1	1
291	в бою	1	1
292	в стиле	1	1
293	и далее	2	1
294	тем это	1	1
295	похож на	1	1
296	что уже	1	1
297	и о	3	1
298	только при	1	1
299	оценке его	1	1
300	встреча с	1	1
301	что у	3	1
302	из двух	1	1
303	в одну	2	1
304	живет в	1	1
305	просьбы о	1	1
306	они как	1	1
307	на них	1	1
308	внимание к	1	1
309	самим собой	1	1
310	глубине души	1	1
311	от них	1	1
312	во всей	1	1
313	новая форма	1	1
314	все основания	1	1
315	вслед за	1	1
316	тем более	2	1
317	этим можно	1	1
318	встречается лишь	1	1
319	того что	1	1
320	поскольку вместо	1	1
321	того который	1	1
322	литературе и	1	1
323	человека с	2	1
324	сколько в	1	1
325	своим собственным	1	1
326	писал об	1	1
327	из первых	1	1
328	его и	2	1
329	мы знаем	2	1
330	и их	1	1
331	литературу в	1	1
332	своих собственных	1	1
333	этой поэмы	1	1
334	к ним	2	1
335	и никогда	1	1
336	лишь один	1	1
337	до сих	1	1
338	к роману	1	1
339	к которому	1	1
340	в предисловии	1	1
341	а с	2	1
342	целым рядом	1	1
343	любви она	1	1
344	героев и	1	1
345	она меня	1	1
346	только по	1	1
347	что им	1	1
348	за год	2	1
349	на этот	1	1
350	при участии	1	1
351	уже давно	1	1
352	или а	1	1
353	человека как	1	1
354	с помощью	1	1
355	по нашему	3	1
356	старшего брата	1	1
357	время с	1	1
358	к себе	2	1
359	и читателю	1	1
360	из которых	1	1
361	упоминание о	1	1
362	первое место	1	1
363	в литературе	1	1
364	с тех	1	1
365	в москве	1	1
366	романе достоевского	1	1
367	хотя он	1	1
368	был в	1	1
369	голос и	1	1
370	поскольку сам	1	1
371	известном смысле	1	1
372	сих пор	1	1
373	не будем	1	1
374	но это	2	1
375	между прочим	1	1
376	и блестящей	1	1
377	не любил	1	1
378	в мировой	1	1
379	уже на	1	1
380	в связи	3	1
381	как на	1	1
382	по тональности	1	1
383	на свою	1	1
384	бы в	1	1
385	правда не	1	1
386	и последовательность	1	1
387	мертвые души	1	1
388	личность и	2	1
389	судьбы они	1	1
390	а о	1	1
391	только как	1	1
392	свободой и	1	1
393	следует искать	1	1
394	и литературные	1	1
395	автора в	1	1
396	из этого	1	1
397	героя в	1	1
398	жизни и	1	1
399	к этой	1	1
400	в своих	4	1
401	все что	1	1
402	они не	1	1
