N	2gram	Vinokur_Vv_1	VLabPisa
224	по себе	9	2
225	только то	1	2
226	можно было	7	2
227	образом по	2	2
228	том отношении	3	2
229	также что	1	2
230	обычно и	2	2
231	того или	1	2
232	ли это	1	2
233	а в	5	2
234	слова не	1	2
235	то о	2	2
236	по его	2	2
237	между ними	2	2
238	этот процесс	3	2
239	стороны и	3	2
240	он сам	3	2
241	как он	6	2
242	но не	7	2
243	они должны	1	2
244	говорит об	1	2
245	а для	1	2
246	частности в	1	2
247	до нас	3	2
248	а затем	1	2
249	что ни	1	2
250	что даже	2	2
251	точном смысле	1	2
252	у них	1	2
253	ни одна	2	2
254	и даже	5	2
255	хотя и	3	2
256	в реальной	1	2
257	действительность в	3	2
258	этом и	1	2
259	из которых	2	2
260	одном и	1	2
261	на вопрос	6	2
262	для того	21	2
263	в большей	7	2
264	а как	3	2
265	но в	10	2
266	о своем	1	2
267	что при	1	2
268	тогда когда	3	2
269	что его	1	2
270	на время	1	2
271	что такое	10	2
272	лишь в	1	2
273	например у	1	2
274	в самых	1	2
275	смысле слова	7	2
276	в чем	4	2
277	в течение	5	2
278	труда и	1	2
279	наблюдения и	1	2
280	всяком случае	3	2
281	к ним	1	2
282	вид познания	1	2
283	не столько	2	2
284	о чем	4	2
285	основываясь на	1	2
286	видеть в	1	2
287	то это	3	2
288	отношении что	3	2
289	мы имеем	3	2
290	могут не	1	2
291	в каждом	4	2
292	тому как	1	2
293	если бы	2	2
294	в особенности	4	2
295	не всегда	1	2
296	одной стороны	4	2
297	не вполне	4	2
298	будто бы	2	2
299	от того	3	2
300	с одной	4	2
301	во всей	1	2
302	чтобы не	1	2
303	ни с	2	2
304	в точном	1	2
305	явления в	1	2
306	в различных	2	2
307	и том	1	2
308	в своих	2	2
309	при помощи	2	2
310	этого рода	8	2
311	также и	16	2
312	разобраться в	1	2
313	в общем	12	2
314	подобно тому	1	2
315	всех его	1	2
316	после этого	2	2
317	значит что	1	2
318	единого и	2	2
319	в области	4	2
320	можно указать	1	2
321	в ней	3	2
322	что она	3	2
323	как об	9	2
324	от его	1	2
325	всего сказанного	1	2
326	заключается в	4	2
327	что оно	2	2
328	они не	1	2
329	так например	6	2
330	или иной	1	2
331	каждой из	3	2
332	меньшей степени	1	2
333	и заключается	4	2
334	от характера	3	2
335	но для	1	2
336	что мы	2	2
337	же самое	2	2
338	связана с	4	2
339	том чтобы	6	2
340	он и	2	2
341	к таким	1	1
342	прямом смысле	2	1
343	сочинений посвященных	1	1
344	что по	1	1
345	по их	2	1
346	не означает	1	1
347	и из	1	1
348	его от	1	1
349	навыки и	1	1
350	каждый из	2	1
351	взглядах на	1	1
352	от отдельных	1	1
353	ни к	2	1
354	дошедших до	1	1
355	или иное	1	1
356	существует ли	1	1
357	как мы	9	1
358	не значит	1	1
359	на его	1	1
360	в в	3	1
361	по сравнению	3	1
362	еще раз	1	1
363	сравнению с	3	1
364	в форме	2	1
365	и особенно	1	1
366	в соответствии	2	1
367	порою даже	1	1
368	одно и	1	1
369	и самые	1	1
370	данном случае	5	1
371	вопрос о	8	1
372	входит в	2	1
373	что чтение	1	1
374	художественных произведений	2	1
375	но он	1	1
376	говорит что	1	1
377	материал для	3	1
378	это то	1	1
379	человеческой личности	1	1
380	в стороне	1	1
381	что будет	1	1
382	связи между	4	1
383	о котором	8	1
384	достоевского в	1	1
385	определяет как	2	1
386	мы говорим	2	1
387	проявляются в	1	1
388	и чувства	1	1
389	отличить от	1	1
390	содержании и	2	1
391	или не	1	1
392	этого не	2	1
393	значение и	2	1
394	всем им	1	1
395	вопрос что	2	1
396	моментом в	1	1
397	в более	2	1
398	художественного образа	1	1
399	и многие	1	1
400	по мере	4	1
401	здесь не	2	1
402	имеет свои	1	1
403	это как	1	1
404	для них	1	1
405	на этот	4	1
406	имеет своей	1	1
407	после того	2	1
408	все зависит	1	1
409	же заключается	1	1
410	должна быть	2	1
411	только на	3	1
412	кроме того	1	1
413	не говоря	2	1
414	не признать	3	1
415	чем иным	1	1
416	в каком	1	1
417	на этом	3	1
418	и все	1	1
419	есть в	1	1
420	на то	1	1
421	в виде	4	1
422	на эту	1	1
423	этого процесса	1	1
424	ними в	1	1
425	анализа и	1	1
426	его содержания	1	1
427	следует забывать	1	1
428	потом в	1	1
429	наконец в	1	1
430	говоря уже	2	1
431	проблемы в	1	1
432	с ним	1	1
433	этой системе	1	1
434	в какой	4	1
435	среди деятелей	1	1
436	его можно	2	1
437	и так	1	1
438	науки хотя	1	1
439	быть названо	4	1
440	как нечто	8	1
441	не представляют	1	1
442	его и	1	1
443	всем что	1	1
444	это в	2	1
445	но вместе	2	1
446	если это	2	1
447	этом говорит	1	1
448	самом деле	6	1
449	уже из	1	1
450	таков в	1	1
451	и другие	1	1
452	эту задачу	1	1
453	очень много	1	1
454	как увидим	2	1
455	дело не	3	1
456	и без	2	1
457	задачи и	1	1
458	взгляд на	1	1
459	е не	2	1
460	работы в	3	1
461	которая должна	1	1
462	лицом к	1	1
463	а только	8	1
464	сомнения в	1	1
465	не дает	1	1
466	а между	1	1
467	платона в	1	1
468	ответ на	3	1
469	и наоборот	2	1
470	это значит	1	1
471	казалось бы	2	1
472	жизнь в	1	1
473	если он	1	1
474	собой не	1	1
475	течение многих	2	1
476	фактов не	1	1
477	и искусство	1	1
478	творческим воображением	1	1
479	то в	1	1
480	тщательностью и	1	1
481	заключает в	1	1
482	если не	1	1
483	есть и	4	1
484	нет никакого	1	1
485	не знать	1	1
486	по ее	1	1
487	собой в	2	1
488	по тому	1	1
489	на протяжении	2	1
490	находит свое	1	1
491	или даже	1	1
492	тех общих	1	1
493	как видно	1	1
494	во-вторых не	1	1
495	в свете	1	1
496	же искусство	1	1
497	места и	1	1
498	какой-либо одной	1	1
499	все то	1	1
500	мере не	1	1
501	между собой	1	1
502	выражения в	1	1
503	понимать в	2	1
504	а именно	6	1
505	этом смысле	11	1
506	к действительности	2	1
507	почти не	1	1
508	и характере	1	1
509	литературное произведение	2	1
510	свою очередь	1	1
511	отношение к	3	1
512	односторонне но	1	1
513	оно входит	1	1
514	нечто целое	2	1
515	содержания и	1	1
516	совершенно не	1	1
517	потому что	14	1
518	доходят до	1	1
519	как деятельность	1	1
520	теснейшим образом	1	1
521	дело с	6	1
522	в начале	3	1
523	как произведение	1	1
524	как не	1	1
525	в таких	1	1
526	то как	1	1
527	и которая	1	1
528	для такого	1	1
529	романов достоевского	2	1
530	с теми	2	1
531	может вызвать	1	1
532	ответить на	1	1
533	в той	7	1
534	по другому	1	1
535	это противопоставление	1	1
536	и прочих	1	1
537	слова и	1	1
538	и имеет	1	1
539	еще более	1	1
540	материалов и	2	1
541	жизнь и	1	1
542	этим и	1	1
543	в этих	3	1
544	духовной жизни	3	1
545	и той	2	1
546	эти отдельные	1	1
547	мысли в	1	1
548	зависит как	1	1
549	теми или	1	1
550	состоит из	1	1
551	соответствии с	2	1
552	что этот	1	1
553	сама по	3	1
554	как орудие	2	1
555	и сам	2	1
556	же направлении	1	1
557	бы например	1	1
558	не имеет	4	1
559	ее а	1	1
560	целого и	2	1
561	или вообще	5	1
562	ни одной	1	1
563	не видеть	1	1
564	как в	1	1
565	чаще всего	1	1
566	в дальнейшем	2	1
567	формирования и	1	1
568	меньшей мере	2	1
569	и судьбы	1	1
570	момента в	2	1
571	был прав	1	1
572	говорят о	1	1
573	с надлежащим	1	1
574	следует что	2	1
575	имеем дело	1	1
576	от природы	1	1
577	что если	2	1
578	не создает	1	1
579	и других	3	1
580	на почве	5	1
581	во-первых не	1	1
582	можно говорить	1	1
583	помощи которых	1	1
584	это обычно	1	1
585	если можно	1	1
586	есть то	1	1
587	общего с	1	1
588	что у	1	1
589	особый вид	1	1
590	самого разнообразного	1	1
591	и составляет	1	1
592	как если	1	1
593	том или	1	1
594	различные юридические	1	1
595	в применении	6	1
596	с этой	4	1
597	только с	3	1
598	в определенном	1	1
599	нельзя не	4	1
600	предисловии к	1	1
601	различных областей	1	1
602	можно назвать	1	1
603	в совокупности	2	1
604	да и	4	1
605	уже в	5	1
606	как будто	3	1
607	тому же	1	1
608	ту или	1	1
609	к какому	2	1
610	образом связана	1	1
611	начале этой	1	1
612	должно быть	2	1
613	изучение этих	1	1
614	вообще в	2	1
615	а и	1	1
616	самый принцип	1	1
617	он был	1	1
618	в истории	9	1
619	тем что	6	1
620	у поэтов	1	1
621	роль и	1	1
622	в гг	1	1
623	и называют	1	1
624	судя по	1	1
625	как один	1	1
626	ясность в	1	1
627	материалом но	1	1
628	представить себе	5	1
629	по меньшей	2	1
630	творческой фантазии	1	1
631	не могло	1	1
632	уже не	5	1
633	заметить что	1	1
634	к сфере	1	1
635	и группы	1	1
636	это было	1	1
637	у платона	1	1
638	затем у	1	1
639	что так	1	1
640	лежит в	2	1
641	и творчества	2	1
642	по своему	5	1
643	однако и	1	1
644	что эти	1	1
645	идей и	1	1
646	в русском	1	1
647	его учеников	1	1
648	сам по	1	1
649	эти данные	1	1
650	для этого	3	1
651	понятия и	1	1
652	и изучение	3	1
653	внимание на	4	1
654	вряд ли	2	1
655	и тех	1	1
656	к лицу	1	1
657	во взглядах	1	1
658	и та	1	1
659	а к	1	1
660	говорим о	1	1
661	что об	1	1
662	а наоборот	1	1
663	так сказать	1	1
664	по слову	1	1
665	или с	1	1
666	то или	1	1
667	того как	3	1
668	об искусстве	4	1
669	приходит к	1	1
670	приступает к	1	1
671	в ходе	1	1
672	или иными	1	1
673	могут привести	1	1
674	значит не	1	1
675	и цельного	1	1
676	самой материи	1	1
677	целом но	1	1
678	только тогда	1	1
679	не самый	1	1
680	который как	1	1
681	проблем и	1	1
682	еще важнее	1	1
683	в нечто	2	1
684	месте в	1	1
685	нам в	1	1
686	к а	1	1
687	или иную	1	1
688	ответа на	2	1
689	и что	4	1
690	а отсюда	2	1
691	обе эти	2	1
692	бы с	1	1
693	что всякий	1	1
694	похожи на	1	1
695	свободно в	1	1
696	к области	1	1
697	самые разнообразные	1	1
698	представить его	1	1
699	из того	2	1
700	не как	3	1
701	таковы например	1	1
702	без остатка	2	1
703	несмотря на	2	1
704	а одним	1	1
705	и основной	1	1
706	и никогда	1	1
707	с каждым	1	1
708	в каждой	2	1
709	предварительной черновой	1	1
710	в известном	3	1
711	без того	1	1
712	толковать в	1	1
713	в прямом	2	1
714	общеизвестно что	1	1
715	как целое	3	1
716	он определяет	1	1
717	дело обстоит	1	1
718	природе и	2	1
719	быть и	2	1
720	сразу и	1	1
721	как совокупность	2	1
722	воплощения в	1	1
723	уже о	1	1
724	в основании	3	1
725	живым и	1	1
726	время и	1	1
727	этот последний	1	1
728	самое понятие	1	1
729	но что	3	1
730	в известной	3	1
731	в духе	1	1
732	а также	3	1
733	непосредственно как	1	1
734	так называемое	1	1
735	или иного	1	1
736	смотреть на	4	1
737	мы видим	1	1
738	для данной	1	1
739	этих теорий	1	1
740	которые не	1	1
741	или как	3	1
742	иное его	1	1
743	бы уже	1	1
744	них и	2	1
745	он должен	1	1
746	из наиболее	4	1
747	связано с	1	1
748	то все	1	1
749	что может	3	1
750	собирать материал	1	1
751	как оно	3	1
752	короче говоря	1	1
753	понятно что	3	1
754	что из	1	1
755	которых он	1	1
756	хотя в	2	1
757	так или	4	1
758	проникновения в	1	1
759	второго рода	1	1
760	и речи	1	1
761	о методах	1	1
762	он вполне	1	1
763	говорит он	2	1
764	и художественном	1	1
765	и это	6	1
766	своей работе	1	1
767	о природе	7	1
768	самое существенное	1	1
769	свои первоначальные	1	1
770	именно это	1	1
771	имеем в	1	1
772	искусства и	1	1
773	быть в	4	1
774	себе и	2	1
775	или иначе	4	1
776	материала и	1	1
777	и то	5	1
778	это понятие	2	1
779	или ином	1	1
780	сложности и	1	1
781	своего собственного	1	1
782	без этого	1	1
783	д но	5	1
784	выразительный пример	1	1
785	именно эту	1	1
786	благоприятных условиях	1	1
787	еще в	1	1
788	самого начала	1	1
789	так называемой	3	1
790	собирание и	1	1
791	речь идет	2	1
792	а во-вторых	2	1
793	е в	4	1
794	этом речь	1	1
795	к числу	1	1
796	мира в	1	1
797	ничего иного	1	1
798	говорил о	1	1
799	применении к	6	1
800	но это	1	1
801	а если	2	1
802	той или	1	1
803	в данном	11	1
804	в свою	1	1
