N	2gram	Medvedev_V_1	NovoeSre
266	говорим о	1	1
267	и из	1	1
268	знает что	1	1
269	лишь те	1	1
270	с другими	2	1
271	было бы	7	1
272	это одна	1	1
273	и быть	2	1
274	труд и	1	1
275	и целиком	1	1
276	в гг	1	1
277	себя и	1	1
278	борьба за	1	1
279	что не	3	1
280	говорят об	1	1
281	что будет	1	1
282	для них	1	1
283	связано с	1	1
284	процесс в	1	1
285	хотим сказать	1	1
286	попал в	2	1
287	они не	2	1
288	в этой	4	1
289	с большей	1	1
290	этого не	1	1
291	этих терминов	1	1
292	быть принята	1	1
293	не всегда	1	1
294	жизнь в	1	1
295	не быть	2	1
296	огромную роль	2	1
297	что мы	2	1
298	он и	2	1
299	и ему	1	1
300	и еще	1	1
301	моментом в	1	1
302	в этих	1	1
303	может иметь	1	1
304	во время	3	1
305	отцы и	1	1
306	и особенно	1	1
307	на это	2	1
308	в котором	3	1
309	только для	1	1
310	мы в	1	1
311	не столько	2	1
312	нет ни	2	1
313	и мир	3	1
314	у нас	2	1
315	в зависимости	6	1
316	в силу	11	1
317	но он	1	1
318	творчества и	1	1
319	огромного труда	1	1
320	их в	6	1
321	что этот	1	1
322	в состоянии	1	1
323	во времени	1	1
324	том смысле	1	1
325	по себе	2	1
326	в той	1	1
327	будто бы	2	1
328	нет никакого	1	1
329	сих пор	1	1
330	природу и	1	1
331	должны быть	2	1
332	в более	1	1
333	не по	2	1
334	за его	1	1
335	от жизни	1	1
336	самый труд	1	1
337	и отдельных	3	1
338	ее роли	1	1
339	и имеет	1	1
340	до сих	1	1
341	и никакой	1	1
342	нам предстоит	1	1
343	в формы	1	1
344	о природе	1	1
345	чтобы понять	1	1
346	а к	1	1
347	или иная	1	1
348	бы он	1	1
349	к этой	1	1
350	к ней	1	1
351	и его	6	1
352	а также	1	1
353	вот этот	1	1
354	человека так	1	1
355	сам собой	1	1
356	речи о	1	1
357	в области	2	1
358	нет ничего	1	1
359	в каком	1	1
360	та или	1	1
361	в свою	1	1
362	их совершенно	1	1
363	от всех	1	1
364	он отрицает	1	1
365	характерны для	1	1
366	есть и	1	1
367	и повести	1	1
368	в которой	2	1
369	числе и	2	1
370	огромное значение	1	1
371	быть признана	1	1
372	во всяком	1	1
373	случае если	1	1
374	а белый	3	1
375	творчества не	1	1
376	как на	3	1
377	том числе	2	1
