N	2gram	Savitsky_E_1	VerxiiNi
557	существование и	1	1
558	одних из	1	1
559	в соответствии	1	1
560	весьма вероятно	4	1
561	их можно	1	1
562	она является	1	1
563	происшедшей в	1	1
564	зависит от	1	1
565	сдвиг в	1	1
566	человеческой жизни	1	1
567	находились в	1	1
568	между культурными	1	1
569	процессе исторической	1	1
570	различие между	1	1
571	исторической эволюции	1	1
572	мы поймем	1	1
573	та часть	1	1
574	эту эпоху	1	1
575	так называемых	1	1
576	все более	9	1
577	нет ничего	1	1
578	ни на	3	1
579	в старом	1	1
580	хозяйственной жизни	4	1
581	в европе	1	1
582	или из	1	1
583	с этим	2	1
584	в данном	3	1
585	народа можно	1	1
586	в той	5	1
587	смысле этого	1	1
588	одновременно с	1	1
589	это есть	1	1
590	которые по	1	1
591	там где	3	1
592	многих других	1	1
593	затем в	1	1
594	ли не	1	1
595	этого слова	1	1
596	и некоторые	3	1
597	призыв к	1	1
598	такой же	2	1
599	низкую чем	1	1
600	но это	1	1
601	к двум	1	1
602	помнить что	2	1
603	кроме того	1	1
604	культура имеет	1	1
605	мира в	4	1
606	протеста против	1	1
607	не является	3	1
608	известной степени	3	1
609	различны и	1	1
610	являются не	1	1
611	живет и	1	1
612	мира и	3	1
613	то не	2	1
614	бы в	2	1
615	тем более	4	1
616	всех прочих	2	1
617	ибо в	1	1
618	пришлось бы	1	1
619	находим в	1	1
620	этот раз	1	1
621	отношении их	1	1
622	же в	2	1
623	обстоит дело	3	1
624	православие и	1	1
625	занимают в	1	1
626	когда такое	1	1
627	культуры в	4	1
628	в свое	1	1
629	есть то	1	1
630	своей духовной	1	1
631	к этой	1	1
632	в своих	2	1
633	они относятся	1	1
634	значение в	1	1
