N	2gram	Berdyaev_O_1	Vvedenie
337	о пушкине	1	1
338	европе и	1	1
339	человеческой личности	6	1
340	человеческого духа	3	1
341	а это	1	1
342	и скорее	1	1
343	не занимается	1	1
344	свой собственный	1	1
345	для него	5	1
346	есть та	1	1
347	ведь это	2	1
348	у него	22	1
349	азии и	1	1
350	и никогда	2	1
351	чтобы не	1	1
352	нее не	1	1
353	момент в	2	1
354	одном месте	1	1
355	может ли	1	1
356	эпоху возрождения	1	1
357	здесь нужно	1	1
358	с той	1	1
359	и прежде	1	1
360	а с	1	1
361	но есть	1	1
362	к человеку	9	1
363	притом не	1	1
364	стремлением к	1	1
365	и своим	1	1
366	среди них	1	1
367	человек в	1	1
368	чем на	3	1
369	атмосфере и	1	1
370	всегда и	1	1
371	мира в	1	1
372	его характер	1	1
373	в одно	1	1
374	проникновения в	1	1
375	и потому	2	1
376	для нашего	1	1
377	не одно	1	1
378	чтобы сделать	1	1
379	быть не	1	1
380	оба они	1	1
381	и более	1	1
382	и от	3	1
383	что иной	1	1
384	привести ни	1	1
385	новой науки	1	1
386	всего что	1	1
387	и все	10	1
388	еще более	1	1
389	достоевский как	1	1
390	потребность в	2	1
391	разных сторон	2	1
392	отношении к	1	1
393	противоречий и	1	1
394	не быть	1	1
395	состоит из	1	1
396	совершенно не	1	1
397	жизни а	1	1
398	ко всему	1	1
399	но еще	1	1
400	ее в	2	1
401	в своих	3	1
402	и эта	1	1
403	все что	3	1
