N	3gram	Berdyaev_V_1	Otkroven
75	вечно неблагородного людского	1	1
76	люди что не	1	1
77	великий инквизитор хочет	2	1
78	этих детей свободы	1	1
79	необычайного гадательного и	3	1
80	имя твое но	1	1
81	с гордостью указать	1	1
82	одна из сторон	1	1
83	его ужаснувшим но	1	1
84	человеческого общества невыносимее	1	1
85	знает может быть	1	1
86	того чтобы овладеть	2	1
87	как бы в	1	1
88	слишком высоко ибо	1	1
89	душа что не	1	1
90	не могли вытерпеть	1	1
91	свободной любви человека	1	1
92	ли так часто	1	1
93	ее еще больше	1	1
94	свобода их веры	1	1
95	высоко ибо конечно	1	1
96	и воротился к	1	1
97	ничего и никогда	1	1
98	что не могли	1	1
99	их веры тебе	1	1
100	веры а не	1	1
101	как песок морской	2	1
102	да и то	1	1
103	христа в аристократизме	1	1
104	дороги лишь десятки	2	1
105	потому поступил как	1	1
106	тысячи миллионов счастливых	1	1
107	один из полюсов	1	1
108	в заслугу себе	1	1
109	с тобой а	1	1
110	они в простоте	1	1
111	великих и сильных?	2	1
112	человек был устроен	1	1
113	а не рабских	1	1
114	полторы тысячи лет	1	1
115	только несколько тысяч	1	1
116	земной вдоволь для	1	1
117	конечно они невольники	1	1
118	и хлеб земной	1	1
119	дороже всего еще	1	1
120	и осмыслить которого	1	1
121	к избранным и	1	1
122	свободы свободной любви	1	1
123	еще тогда полторы	1	1
124	тебе дороги лишь	2	1
125	указать на этих	1	1
126	вместить столь страшных	1	1
127	людей но и	1	1
128	овладеть свободой людей	1	1
129	тысяч великих и	2	1
130	и тут ты	1	1
131	ты хочешь идти	1	1
132	и обременил ее	1	1
133	не могут и	1	1
134	глазах слабого вечно	1	1
135	ничтожны и бунтовщики	1	1
136	ты увеличил им	1	1
137	тобой а с	1	1
138	нам дороги и	2	1
139	единственный путь которым	1	1
140	ты судил о	1	1
141	могли вытерпеть того	1	1
142	могут и осмыслить	1	1
143	чудом и жаждал	1	1
144	того что могучие?	1	1
145	есть необычайного гадательного	3	1
146	свободно пошел он	1	1
147	отверг единственный путь	1	1
148	ли он сравниться	1	1
149	противоречия человеческой природы	1	1
150	чем виновата слабая	1	1
151	общества невыносимее свободы	1	1
152	что наконец-то они	1	1
153	сошел с креста	1	1
154	с ним вот	1	1
155	и великолепной жертвы	1	1
156	десятки тысяч великих	2	1
157	своем не могут	1	1
158	не в силах	2	1
159	и своим что	1	1
160	тогда полторы тысячи	1	1
161	любви человека чтобы	1	1
162	пошел он за	1	1
163	ужаснувшим но и	1	1
164	после того как	1	1
165	человека и для	1	1
166	идти в мир	1	1
167	им ее еще	1	1
168	в мир и	1	1
169	всего еще тогда	1	1
170	виновата слабая душа	1	1
171	царство человека вовеки	1	1
172	слабая душа что	1	1
173	свободной любви а	1	1
174	он сравниться в	1	1
175	идешь с голыми	1	1
176	в простоте своей	1	1
177	увеличил им ее	1	1
178	и все это	1	1
179	и не любя	2	1
180	человеческого благополучия и	1	1
181	что могучие? чем	1	1
182	ты ли так	1	1
183	руками с каким-то	1	1
184	и чем виноваты	1	1
185	а с ним	2	1
186	человека чтобы свободно	1	1
187	с голыми руками	1	1
188	несколько тысяч да	1	1
189	тут ты судил	1	1
190	свобода и хлеб	1	1
191	обетом свободы которого	1	1
192	страшатся ибо ничего	1	1
193	за тобою прельщенный	1	1
194	вспомни что их	1	1
195	потому что опять-таки	1	1
196	в глазах слабого	1	1
197	и для избранных?	1	1
198	не рабских восторгов	1	1
199	во имя счастья	2	1
200	ты умножил ее	1	1
201	чудесной жаждал свободной	1	1
202	навсегда его ужаснувшим	1	1
203	и идешь с	1	1
204	столь страшных даров?	1	1
205	порочны ничтожны и	1	1
206	ставит в заслугу	1	1
207	может ли он	1	1
208	судил о людях	1	1
209	так для того	1	1
210	о людях слишком	1	1
211	тысячи лет назад	1	1
212	виноваты остальные слабые	1	1
213	не с тобой	1	1
214	приходил ты лишь	1	1
215	и жаждал свободной	1	1
216	детей свободы свободной	1	1
217	что малосильны порочны	1	1
218	ушел от гордых	1	1
219	заслугу себе и	1	1
220	можешь с гордостью	1	1
221	в том что	2	1
222	устроен бунтовщиком разве	1	1
223	что не в	1	1
224	сравниться в глазах	1	1
225	тебе была дороже	1	1
226	но от этого	1	1
227	лишь к избранным	1	1
228	жаждал свободной любви	1	1
229	было для человека	1	1
230	ты не сошел	2	1
231	поработить человека чудом	1	1
232	чем виноваты остальные	1	1
233	свободной и великолепной	1	1
234	боятся они и	1	1
235	ты лишь к	1	1
236	твое но вспомни	1	1
237	обременил ее мучениями	1	1
238	бунтовщики могут быть	1	1
239	осмыслить которого боятся	1	1
240	лет назад не	1	1
241	простоте своей и	1	1
242	что было не	1	1
243	жаждал свободной веры	1	1
244	лишь десятки тысяч	2	1
245	захотел поработить человека	1	1
246	и сделали так	1	1
247	людей а потому	1	1
248	и сильных? нет	2	1
249	богов а остальные?	1	1
250	и для человеческого	1	1
251	их было всего	1	1
252	и впрямь приходил	1	1
253	впрямь приходил ты	1	1
254	но вспомни что	1	1
255	ибо ничего и	1	1
256	во имя свободы	3	1
257	но и тут	1	1
258	вечно порочного и	1	1
259	избранным и для	1	1
260	же и впрямь	1	1
261	чтобы овладеть свободой	1	1
262	жертвы их во	1	1
263	на этих детей	1	1
264	сделали так для	1	1
265	сильных? нет нам	2	1
266	было всего только	1	1
267	которым можно было	2	1
268	небесный но может	1	1
269	душевное царство человека	1	1
270	но может ли	1	1
271	что нет у	1	1
272	человека чудом и	1	1
273	могучие? чем виновата	1	1
274	любви свободной и	1	1
275	даров? да неужто	1	1
276	слабые люди что	1	1
277	чтобы свободно пошел	1	1
278	а потому поступил	1	1
279	по силам людей	1	1
280	а не чудесной	1	1
281	малосильны порочны ничтожны	1	1
282	могут быть никогда	1	1
283	голыми руками с	1	1
284	с каким-то обетом	1	1
285	все что было	1	1
286	да неужто же	1	1
287	страшных даров? да	1	1
288	гордых и воротился	1	1
289	бы и не	2	1
290	бесчинстве своем не	1	1
291	разве бунтовщики могут	1	1
292	в силах вместить	1	1
293	во имя твое	5	1
294	лишить людей свободы	1	1
295	неблагородного людского племени	1	1
296	быть никогда и	1	1
297	вместо того чтобы	2	1
298	путь которым можно	2	1
299	умножил ее и	1	1
300	была дороже всего	1	1
301	от гордых и	1	1
302	гадательного и неопределенного	2	1
303	прельщенный и плененный	1	1
304	было не по	1	1
305	что их было	1	1
306	слабого вечно порочного	1	1
307	кто знает может	1	1
308	вытерпеть того что	1	1
309	что он был	1	1
310	рабских восторгов невольника	1	1
311	вдоволь для всякого	1	1
312	потому что малосильны	1	1
313	как бы и	2	1
314	которого они в	1	1
315	как и в	1	1
316	мир и идешь	1	1
317	бунтовщиком разве бунтовщики	1	1
318	и вечно неблагородного	1	1
319	и то богов	1	1
320	каким-то обетом свободы	1	1
321	миллионов счастливых младенцев	2	1
322	свободой ты умножил	1	1
323	назад не ты	1	1
324	не чудесной жаждал	1	1
325	не любя их	1	1
326	их во имя	1	1
327	любви а не	1	1
328	мучениями душевное царство	1	1
329	тобою прельщенный и	1	1
330	возжелал свободной любви	1	1
331	я ушел от	1	1
332	все что есть	3	1
333	что не могут	1	1
334	не ты ли	1	1
335	из всего что	1	1
336	себе и своим	1	1
337	хлеб земной вдоволь	1	1
