N	2gram	Kanaev_Sov_1	Mirosoze
231	того же	1	1
232	без остатка	1	1
233	представлять себе	2	1
234	не могут	2	1
235	ее на	2	1
236	отличается от	3	1
237	в окончательном	1	1
238	он с	1	1
239	приводит к	2	1
240	роль в	2	1
241	когда в	1	1
242	с человеком	1	1
243	и гармонии	1	1
244	жизни которое	1	1
245	она всегда	1	1
246	что такой	1	1
247	может не	3	1
248	как нет	1	1
249	во втором	1	1
250	и только	1	1
251	и первое	1	1
252	к концу	1	1
253	человека как	1	1
254	ли он	1	1
255	в какой	1	1
256	правда и	1	1
257	в природе	1	1
258	со всеми	2	1
259	и ответственности	1	1
260	и у	1	1
261	и они	2	1
262	пусть это	1	1
263	и чисто	1	1
264	не принимает	1	1
265	не из	1	1
266	не дает	2	1
267	его и	1	1
268	искать в	1	1
269	а потому	1	1
270	для них	1	1
271	но что	1	1
272	существо и	1	1
273	с другой	1	1
274	и прежде	1	1
275	такое же	1	1
276	на которые	1	1
277	может ли	1	1
278	но никогда	1	1
279	на эту	1	1
280	они одинаково	1	1
281	быть при	1	1
282	на самом	1	1
283	независимо от	1	1
284	xix века	1	1
285	это за	2	1
286	а потом	1	1
287	вражда к	1	1
288	в органической	3	1
289	все это	3	1
290	что наш	1	1
291	которых он	1	1
292	конца к	1	1
293	организма но	1	1
294	а все	3	1
295	той или	1	1
296	мы должны	4	1
297	все они	1	1
298	на такой	1	1
299	нет свободы	1	1
300	не допускает	1	1
301	могли быть	1	1
302	всеми его	1	1
303	а о	1	1
304	на их	2	1
305	между ними	1	1
306	связей и	1	1
307	в свое	1	1
308	а может	1	1
309	к этому	1	1
310	которая не	1	1
