N	2gram	Medvedev_U_1	Myshleni
151	говорит он	1	2
152	что только	1	2
153	с которыми	1	2
154	же в	1	2
155	само по	1	2
156	и даже	1	2
157	только к	3	2
158	что для	1	2
159	у нас	3	2
160	о чем	2	2
161	и потому	1	2
162	только для	1	2
163	другой стороны	3	2
164	в свое	1	2
165	все что	1	2
166	а между	2	1
167	приемов и	2	1
168	сам по	1	1
169	своими собственными	1	1
170	нем но	1	1
171	ему вообще	1	1
172	часто бывает	1	1
173	мы имеем	1	1
174	и этого	1	1
175	он был	1	1
176	первый план	1	1
177	нам представляется	2	1
178	бы то	3	1
179	с его	2	1
180	конечно это	1	1
181	вне которой	1	1
182	учителя и	1	1
183	в наиболее	1	1
184	более чем	2	1
185	независимо от	1	1
186	как нам	1	1
187	чем к	1	1
188	более или	1	1
189	в себе	2	1
190	самим же	1	1
191	из самых	1	1
192	не приходится	2	1
193	только более	1	1
194	мы получаем	2	1
195	формы в	3	1
196	еще один	1	1
197	имеем в	1	1
198	методических приемов	1	1
199	на то	1	1
200	но прежде	1	1
201	случае все	1	1
202	направлено на	1	1
203	в первую	1	1
204	не как	3	1
205	в понятии	1	1
206	и независимо	1	1
207	или иных	2	1
208	об этом	1	1
209	связанных с	1	1
210	входит в	1	1
211	первую очередь	1	1
212	другом не	1	1
213	этом смысле	2	1
214	понятие не	1	1
215	понятий без	1	1
216	как таковой	2	1
217	на первый	2	1
218	смысле можно	1	1
219	она в	1	1
220	не столько	2	1
221	является только	1	1
222	для изучения	1	1
223	этой области	3	1
224	она не	1	1
225	что ему	1	1
226	функции это	1	1
227	настолько насколько	1	1
228	этого общего	1	1
229	относится к	1	1
230	так то	1	1
231	и делает	1	1
232	представляется нам	2	1
233	по нашему	3	1
234	является одним	1	1
235	обращение к	1	1
236	что при	1	1
237	он прежде	1	1
238	для себя	1	1
239	не делает	1	1
240	но по	1	1
241	не существует	1	1
242	только при	1	1
243	строго говоря	1	1
244	для этого	3	1
245	сводится к	2	1
246	все его	1	1
247	в пользу	1	1
248	с момента	1	1
249	для второго	1	1
250	и только	5	1
251	язык в	1	1
252	в большей	1	1
253	которой и	1	1
254	с каждым	1	1
255	таком понимании	1	1
256	это же	1	1
257	без этого	1	1
258	для всех	2	1
259	в виде	1	1
260	а это	1	1
261	или даже	1	1
262	ценность в	1	1
263	содержания и	1	1
264	в конце	2	1
265	это верно	1	1
266	это было	2	1
267	как раз	2	1
268	нас до	1	1
269	существенным для	1	1
270	даже не	1	1
271	шаг к	1	1
272	или иначе	1	1
273	и прежде	1	1
274	не было	1	1
275	нашему мнению	3	1
276	этого не	1	1
277	на эту	2	1
278	знает только	1	1
279	если не	2	1
280	стороны в	1	1
281	материал и	1	1
282	природе и	1	1
283	относятся к	1	1
284	чем то	1	1
285	только часть	1	1
286	тех и	1	1
287	в данном	1	1
288	не словами	1	1
289	смысле этого	2	1
290	для первого	1	1
291	что же	1	1
292	или менее	1	1
293	делает и	1	1
294	к проблеме	1	1
295	иначе говоря	1	1
296	но для	1	1
297	или по	1	1
298	случае он	1	1
299	тех или	2	1
300	и для	2	1
301	при таком	2	1
302	представляется что	1	1
303	на большую	1	1
304	на знание	1	1
305	и все	1	1
306	вообще в	1	1
307	что этот	1	1
308	приходится признать	2	1
309	о сущности	1	1
310	и это	1	1
311	это в	1	1
312	они относятся	1	1
313	основной проблемой	1	1
