N	2gram	Vinokur_Ku_2	Sovremen
202	аналогии с	3	1
203	на них	1	1
204	все его	1	1
205	иное как	1	1
206	же время	3	1
207	бы то	1	1
208	с его	1	1
209	удобной и	1	1
210	но конечно	1	1
211	те или	1	1
212	пр но	2	1
213	путь для	1	1
214	данном случае	2	1
215	но не	6	1
216	или иные	1	1
217	к этому	4	1
218	которых в	1	1
219	мы будем	2	1
220	но как	1	1
221	достаточно для	2	1
222	вся эта	2	1
223	в конечном	2	1
224	конечном счете	2	1
225	по отношению	1	1
226	а потому	1	1
227	более как	1	1
228	крайней мере	6	1
229	вообще и	2	1
230	не заключают	1	1
231	идет о	1	1
232	независимо от	1	1
233	значит что	1	1
234	к нему	2	1
235	более и	1	1
236	известном смысле	1	1
237	один из	5	1
238	кроме того	1	1
239	одной из	1	1
240	это просто	2	1
241	они резко	1	1
242	в действительности	1	1
243	только в	5	1
244	чего же	1	1
245	через несколько	1	1
246	за собой	2	1
247	правда и	1	1
248	то он	1	1
249	он уже	2	1
250	не приходится	1	1
251	но ведь	1	1
252	в известном	1	1
253	которые ими	1	1
254	себе цель	1	1
255	нами в	1	1
256	явлений и	1	1
257	этот вопрос	6	1
258	конечно не	2	1
259	и у	2	1
260	каким же	1	1
261	в большинстве	1	1
262	ни одного	1	1
263	этот процесс	1	1
264	и если	2	1
265	а это	2	1
266	он не	3	1
267	его и	1	1
268	что сказать	1	1
269	эта система	1	1
270	и еще	2	1
271	и их	1	1
272	к одному	1	1
273	дела не	1	1
274	в корне	2	1
275	по существу	5	1
276	сами по	1	1
277	вовсе не	9	1
278	быть поставлен	1	1
279	но что	2	1
280	не случайно	1	1
281	не материальная	1	1
282	много и	1	1
283	какой бы	1	1
284	одной и	1	1
285	же остается	1	1
286	поскольку она	1	1
287	это конечно	2	1
288	по его	1	1
289	в очень	1	1
290	о каком	1	1
291	уже совершенно	1	1
292	и только	1	1
293	не будет	1	1
294	в совершенно	1	1
295	в другом	2	1
296	том случае	2	1
297	который знает	1	1
298	одной стороны	1	1
299	объяснить что	1	1
300	чем в	3	1
301	до сих	1	1
302	с другой	8	1
303	как у	2	1
304	этим вопросом	1	1
305	именно в	3	1
306	сказать несколько	1	1
307	этом смысле	5	1
308	но нам	1	1
309	и прежде	1	1
310	должен был	1	1
311	ни в	4	1
312	от другого	1	1
313	но уже	2	1
314	роли и	1	1
315	нет в	1	1
316	не было	4	1
317	рядом с	2	1
318	все равно	2	1
319	и составляет	1	1
320	этого не	3	1
321	и вся	1	1
322	несмотря на	5	1
323	оно имеет	1	1
324	нам это	1	1
325	не допускает	1	1
326	должно быть	4	1
327	и следовательно	2	1
328	понятия и	1	1
329	в связи	4	1
330	и становится	1	1
331	том что	11	1
332	нет никаких	1	1
333	этих процессов	1	1
334	все более	1	1
335	получается своеобразная	1	1
336	этом случае	2	1
337	не способна	1	1
338	и при	1	1
339	далее что	1	1
340	таким же	2	1
341	так же	4	1
342	в такой	1	1
343	что дело	1	1
344	мы говорим	2	1
345	его мнению	1	1
346	что вся	1	1
347	выбор между	1	1
348	вот пример	1	1
349	в первый	3	1
350	в область	1	1
351	в данном	4	1
352	когда и	1	1
353	и той	1	1
354	которые в	1	1
355	бы так	1	1
356	быть только	2	1
357	по крайней	6	1
358	пришлось в	1	1
359	и более	2	1
360	там где	5	1
361	влечет за	1	1
362	мере в	1	1
363	должны признать	1	1
364	таких случаев	1	1
365	по себе	10	1
366	в своем	2	1
367	элементы нашей	1	1
368	только о	2	1
369	еще раз	1	1
370	как например	1	1
371	несколько слов	1	1
372	сих пор	1	1
373	xviii века	1	1
374	всей совокупности	1	1
375	что эта	2	1
376	она не	2	1
377	ряд в	1	1
378	но для	3	1
379	свое время	2	1
380	не имеет	4	1
381	дело в	1	1
382	случае он	1	1
383	в процессе	3	1
384	является ли	2	1
385	с и	1	1
386	указать на	1	1
387	уже на	1	1
388	но только	4	1
389	и от	2	1
390	немного в	1	1
391	никогда не	2	1
392	или в	4	1
393	самая форма	2	1
394	это как	1	1
395	на язык	1	1
396	эта сторона	1	1
397	хотя и	4	1
398	только из	1	1
399	не представляет	1	1
400	не более	2	1
401	все они	2	1
402	и его	3	1
403	связи с	3	1
404	ни было	1	1
405	же в	3	1
406	так называемый	1	1
407	но это	3	1
408	все элементы	1	1
409	этой области	4	1
410	ли это	2	1
411	между ними	1	1
412	не знает	3	1
413	сказать что	4	1
414	и для	2	1
415	но можно	2	1
416	очень часто	2	1
417	сколько угодно	1	1
418	не что	1	1
419	можно например	1	1
420	можно наблюдать	1	1
421	в то	4	1
422	дает уже	1	1
423	в свое	2	1
424	отметить что	1	1
425	в какой	1	1
426	но еще	1	1
427	и историей	1	1
428	в своих	2	1
429	на это	3	1
430	которая не	1	1
431	они не	1	1
432	ничего общего	1	1
