N	2gram	Vinokur_Ku_2	NovoeSre
203	в его	5	1
204	есть по	1	1
205	я думаю	1	1
206	но нет	1	1
207	себе и	1	1
208	отличие от	2	1
209	не хотел	1	1
210	лишь к	1	1
211	и только	1	1
212	для борьбы	1	1
213	значение для	1	1
214	в значительной	1	1
215	в своем	2	1
216	как например	1	1
217	известном смысле	1	1
218	что нет	1	1
219	говорит что	1	1
220	что какой-либо	1	1
221	от вопроса	1	1
222	что он	5	1
223	в каком-то	1	1
224	только в	5	1
225	во всем	1	1
226	от этого	2	1
227	и такое	1	1
228	в самом	12	1
229	к чему	1	1
230	не хочет	2	1
231	бы сказать	2	1
232	то время	1	1
233	вполне возможно	1	1
234	из этих	1	1
235	в известном	1	1
236	что ничего	2	1
237	же и	2	1
238	если есть	1	1
239	к идее	1	1
240	и у	2	1
241	уже в	3	1
242	вопроса о	6	1
243	в большинстве	1	1
244	есть проблема	1	1
245	дальше и	1	1
246	все ее	1	1
247	свидетельствует о	1	1
248	вообще не	1	1
249	в статье	3	1
250	что вообще	1	1
251	большинстве случаев	2	1
252	она становится	1	1
253	бы к	1	1
254	одному из	1	1
255	все еще	1	1
256	для того	9	1
257	в старых	1	1
258	и их	1	1
259	всяком случае	5	1
260	и когда	1	1
261	нуждается в	2	1
262	к одному	1	1
263	свою энергию	1	1
264	слова в	6	1
265	сами по	1	1
266	в конце	4	1
267	но те	1	1
268	не для	1	1
269	но ведь	1	1
270	не случайно	1	1
271	смысле как	1	1
272	тем что	3	1
273	от того	4	1
274	принято считать	1	1
275	но все	4	1
276	это конечно	2	1
277	значительной степени	1	1
278	сельскому хозяйству	1	1
279	в последние	1	1
280	том случае	2	1
281	жизни для	1	1
282	возможно что	1	1
283	выходит за	2	1
284	газетных статьях	1	1
285	из всех	1	1
286	а по	1	1
287	и русский	1	1
288	говорим о	2	1
289	знает что	3	1
290	который и	1	1
291	было бы	15	1
292	в каких	1	1
293	а это	2	1
294	девять десятых	1	1
295	какой-либо смысл	1	1
296	лишь по	1	1
297	в отличие	2	1
298	что не	6	1
299	но оно	2	1
300	социальной жизни	1	1
301	их не	2	1
302	превращается в	2	1
303	нет в	1	1
304	процесс в	1	1
305	он свои	1	1
306	а на	2	1
307	политика в	3	1
308	они не	1	1
309	в этой	6	1
310	не на	2	1
311	этого не	3	1
312	не всегда	2	1
313	жизнь в	1	1
314	что мы	6	1
315	он и	2	1
316	и еще	2	1
317	в этих	1	1
318	может иметь	1	1
319	но до	1	1
320	самая постановка	1	1
321	и сейчас	2	1
322	политика должна	1	1
323	в такой	1	1
324	на это	3	1
325	в котором	1	1
326	только для	2	1
327	что вся	1	1
328	мы в	2	1
329	не должно	2	1
330	у нас	12	1
331	партии в	1	1
332	в зависимости	4	1
333	в силу	7	1
334	но он	1	1
335	творчества и	1	1
336	быть только	2	1
337	к деревне	1	1
338	мы должны	2	1
339	и более	2	1
340	их в	1	1
341	что этот	1	1
342	том смысле	1	1
343	быть не	2	1
344	по себе	10	1
345	в это	1	1
346	в той	2	1
347	и вся	1	1
348	будто бы	2	1
349	в атмосфере	2	1
350	сих пор	1	1
351	так как	15	1
352	должны быть	2	1
353	хочет и	1	1
354	к вопросу	3	1
355	в сущности	9	1
356	до сих	1	1
357	новой эпохи	1	1
358	совершается в	1	1
359	и скоро	1	1
360	революция не	1	1
361	о природе	1	1
362	чтобы понять	2	1
363	но также	4	1
364	всего что	2	1
365	они являются	1	1
366	явление в	1	1
367	к этой	3	1
368	и его	3	1
369	тут мы	1	1
370	а также	3	1
371	или не	1	1
372	так называемый	1	1
373	все более	1	1
374	они будут	1	1
375	опыт русской	1	1
376	давно уже	1	1
377	этой теме	1	1
378	ни за	1	1
379	смысле в	1	1
380	начало новой	1	1
381	в области	11	1
382	в период	1	1
383	в каком	4	1
384	в свою	2	1
385	для решения	1	1
386	но можно	2	1
387	того же	3	1
388	выход из	1	1
389	в которой	1	1
390	протекает и	1	1
391	эти слова	1	1
392	то никогда	1	1
393	общества мы	1	1
394	политике и	1	1
395	во всяком	5	1
396	то они	1	1
397	случае если	2	1
398	свое и	1	1
399	творчества не	1	1
400	оно не	2	1
401	который не	1	1
402	как на	1	1
