N	2gram	Propp_Russ_1	VelikijI
163	в их	4	1
164	и на	10	1
165	он был	2	1
166	после того	2	1
167	и который	1	1
168	истории в	1	1
169	это имеет	2	1
170	природы и	2	1
171	к нему	1	1
172	от них	3	1
173	и ненависти	1	1
174	если в	3	1
175	с которыми	1	1
176	тогда как	2	1
177	себе и	1	1
178	себя но	1	1
179	не просто	2	1
180	хотел бы	1	1
181	что бы	1	1
182	происхождение и	1	1
183	его на	1	1
184	как в	5	1
185	оторванное от	1	1
186	это ни	1	1
187	в своем	3	1
188	все же	5	1
189	д и	1	1
190	что очень	1	1
191	в двух	1	1
192	мы видим	2	1
193	с ними	5	1
194	и каким	1	1
195	мы увидим	8	1
196	многие люди	1	1
197	как замена	1	1
198	в разные	2	1
199	и так	1	1
200	в которой	1	1
201	что это	3	1
202	бы ни	1	1
203	в целом	2	1
204	их не	2	1
205	в этой	1	1
206	уже в	1	1
207	то и	1	1
208	под землей	3	1
209	не нужны	1	1
210	в виде	6	1
211	и стало	1	1
212	каким образом	1	1
213	только себя	1	1
214	одно целое	1	1
215	не будут	1	1
216	чем у	2	1
217	и должна	1	1
218	но что	2	1
219	у него	2	1
220	не случайно	2	1
221	теперь еще	1	1
222	в грядущем	1	1
223	и по	8	1
224	на этом	3	1
225	он так	2	1
226	ее на	1	1
227	не были	2	1
228	и с	2	1
229	было не	1	1
230	и менее	1	1
231	землей в	1	1
232	еще и	1	1
233	весь мир	1	1
234	и тем	1	1
235	детскую игру	1	1
236	говорит о	1	1
237	церкви и	1	1
238	и своего	1	1
239	формах в	1	1
240	на которых	1	1
241	не всегда	1	1
242	с которым	1	1
243	жизнь в	1	1
244	его по	1	1
245	о чем	3	1
246	недостатка в	1	1
247	и было	1	1
248	и вновь	1	1
249	их на	4	1
250	в одно	1	1
251	рабской зависимости	1	1
252	благополучие в	2	1
253	таким же	3	1
254	но христос	1	1
255	вместе с	10	1
256	так же	3	1
257	как это	8	1
258	то есть	3	1
259	этому же	2	1
260	является и	1	1
261	их к	2	1
262	у нас	8	1
263	в которых	5	1
264	в одном	3	1
265	чтобы решить	1	1
266	и всех	1	1
267	и смерти	1	1
268	этого слова	3	1
269	любви и	1	1
270	грядущем не	1	1
271	есть один	1	1
272	как можно	2	1
273	к ним	3	1
274	тому кто	1	1
275	детские песни	1	1
276	не по	1	1
277	но она	2	1
278	в другие	8	1
279	в день	6	1
280	и всегда	1	1
281	это как	1	1
282	ничего не	3	1
283	в разных	3	1
284	того как	5	1
285	христа и	3	1
286	может быть	8	1
287	в третьем	1	1
288	в русском	4	1
289	видим что	1	1
290	iv в	1	1
291	будто бы	6	1
292	это слово	1	1
293	вот что	1	1
294	к жизни	3	1
295	как бог	3	1
296	что на	4	1
297	довольство и	1	1
298	им не	1	1
299	но все	3	1
300	есть и	1	1
301	к этому	4	1
302	от слова	1	1
303	ли они	1	1
304	его с	4	1
305	и другие	13	1
306	в своих	2	1
307	слова с	1	1
308	себя и	2	1
309	она не	2	1
310	в роли	1	1
311	они не	1	1
