1	в том	19	37
472	до тех	1	1
473	слова а	1	1
474	различие в	1	1
475	фактов которые	1	1
476	уже что	2	1
477	быть это	1	1
478	одной стороны	1	1
479	для него	1	1
480	только что	1	1
481	поэтому если	1	1
482	узком смысле	2	1
483	жизнь в	1	1
484	имеет никакого	1	1
485	но ведь	1	1
486	утверждение что	1	1
487	придется еще	1	1
488	почти невозможно	1	1
489	для открытого	1	1
490	деле это	1	1
491	которого я	1	1
492	что поэзия	1	1
493	в обычной	1	1
494	ли не	2	1
495	могло быть	1	1
496	ни одного	1	1
497	возможно что	1	1
498	он что	1	1
499	на новый	1	1
500	по крайней	6	1
501	идет о	1	1
502	мере в	1	1
503	а как	1	1
504	к нашей	1	1
505	не встречается	1	1
506	характер и	2	1
507	и там	1	1
508	а по	1	1
509	с помощью	7	1
510	является ее	1	1
511	новые и	1	1
512	то обстоятельство	7	1
513	которые можно	1	1
514	и вне	1	1
515	пор пока	1	1
516	как некоторое	2	1
517	отношений на	1	1
518	ничего более	1	1
519	к этому	4	1
520	они не	1	1
521	языка на	1	1
522	что только	1	1
523	и просто	1	1
524	который является	1	1
525	убедиться в	1	1
526	может и	1	1
527	и о	4	1
528	о таких	1	1
529	не приходится	1	1
530	к такому	1	1
531	как оно	1	1
532	именно с	3	1
533	бы нам	1	1
534	роли в	1	1
535	типы и	1	1
536	на ту	2	1
537	это даже	1	1
538	то для	3	1
539	роли и	1	1
540	и было	1	1
541	везде и	1	1
542	в принципе	1	1
543	не то	2	1
544	убедимся что	1	1
545	поэтическое произведение	1	1
546	его к	2	1
547	хотелось бы	2	1
548	как принцип	1	1
549	что мы	6	1
550	достаточной степени	1	1
551	не могла	1	1
552	себе как	1	1
553	на более	1	1
554	тех пор	2	1
555	одна из	1	1
556	смысле что	1	1
557	мы говорим	2	1
558	обращается к	1	1
559	правда и	1	1
560	под этой	1	1
561	не кажется	1	1
562	однако в	1	1
563	у поэзии	3	1
564	конечно не	2	1
565	уже не	8	1
566	творчество в	1	1
567	в уста	1	1
568	п не	1	1
569	разве не	2	1
570	всех наших	1	1
571	свой смысл	1	1
572	и если	2	1
573	указать на	1	1
574	прямой связи	1	1
575	в достаточной	1	1
576	ряд таких	1	1
577	по поводу	2	1
578	не нуждается	1	1
579	быть не	2	1
580	не любят	1	1
581	же на	1	1
582	понятие или	1	1
583	этой же	1	1
584	и другие	1	1
585	поскольку он	1	1
586	ином виде	1	1
587	приводит к	5	1
588	и составляет	1	1
589	в качестве	8	1
590	и прежде	1	1
591	не всякое	1	1
592	а когда	1	1
593	она реагирует	1	1
594	бы произвести	1	1
595	впечатление будто	1	1
596	с ними	2	1
597	самого начала	1	1
598	но беда	1	1
599	от присоединения	1	1
600	потому и	1	1
601	русском языке	10	1
602	для примера	2	1
603	вместо того	1	1
604	что за	2	1
605	тем самым	2	1
606	противном случае	1	1
607	должно быть	4	1
608	ведь на	1	1
609	отношений в	2	1
610	тем же	2	1
611	или в	4	1
612	и попытки	1	1
613	в зависимости	4	1
614	бы потому	1	1
615	и уже	1	1
616	бежать за	1	1
617	чем в	3	1
618	не более	2	1
619	в силу	7	1
620	же по	1	1
621	вопроса о	6	1
622	это на	1	1
623	между ними	1	1
624	те или	1	1
625	и где	2	1
626	со стороны	4	1
627	россии и	1	1
628	он и	2	1
629	в одну	2	1
630	том смысле	1	1
631	или иные	1	1
632	только о	2	1
633	что такая	1	1
634	именно такой	1	1
635	как мы	3	1
636	только с	1	1
637	нам не	2	1
638	того кто	1	1
639	ее от	1	1
640	разрешения этой	1	1
641	где не	2	1
642	даже к	1	1
643	дело в	1	1
644	в котором	1	1
645	нужны для	1	1
646	слов в	3	1
647	заумный язык	1	1
648	имеют все	1	1
649	его и	1	1
650	всего тем	1	1
651	иначе как	1	1
652	показать это	1	1
653	основные признаки	1	1
654	в таких	3	1
655	бы на	2	1
656	с а	1	1
657	в результате	4	1
658	и последнего	1	1
659	в устах	2	1
660	к вопросам	1	1
661	помощью которого	1	1
662	все его	1	1
663	что даже	1	1
664	словам как	1	1
665	по пути	1	1
666	они имеют	2	1
667	в области	11	1
668	нужно было	1	1
669	вот это	1	1
670	с общей	2	1
671	в совершенно	1	1
672	это имеет	1	1
673	из основных	1	1
674	всего можно	1	1
675	именно в	3	1
676	тогда в	1	1
677	обращаясь к	1	1
678	бы так	1	1
679	основная тенденция	1	1
680	преувеличения можно	1	1
681	это что	1	1
682	что большинство	1	1
683	триста лет	1	1
684	отличен от	1	1
685	в связи	4	1
686	того с	1	1
687	не будет	1	1
688	почти всегда	2	1
689	будет как	1	1
690	что эта	2	1
691	по преимуществу	2	1
692	дело не	2	1
693	составляет почти	1	1
694	но все	4	1
695	то во	1	1
696	в противном	1	1
697	бы сказать	2	1
698	того момента	1	1
699	и дает	1	1
700	имели бы	1	1
701	наши дни	1	1
702	в виде	1	1
703	природе своей	1	1
704	с гораздо	1	1
705	лежит в	1	1
706	в нашем	7	1
707	за которым	1	1
708	всякое слово	1	1
709	речи но	2	1
710	таким же	2	1
711	можно решить	1	1
712	бы в	1	1
713	кроме того	1	1
714	поэзии не	1	1
715	из этих	1	1
716	это если	1	1
717	указывал что	2	1
718	чтобы вообще	1	1
719	общего с	1	1
720	на котором	1	1
721	не хочет	2	1
722	в первые	1	1
723	признается в	1	1
724	но еще	1	1
725	однако мы	1	1
726	а самый	1	1
727	ведь это	1	1
728	это однако	1	1
729	так например	1	1
730	всегда имеет	1	1
731	сюда же	2	1
732	к примеру	4	1
733	связи с	3	1
734	самое существенное	1	1
735	собой и	1	1
736	как у	2	1
737	благодаря чему	1	1
738	не самое	1	1
739	он может	1	1
740	смысла и	2	1
741	слова есть	1	1
742	только то	1	1
743	нам и	2	1
744	же и	2	1
745	иное как	1	1
746	не играет	1	1
747	что ничего	2	1
748	ее не	1	1
749	в наши	1	1
750	будто бы	2	1
751	вещи не	1	1
752	прежде всего	8	1
753	нет никаких	1	1
754	стоит в	2	1
755	в большинстве	1	1
756	что вы	1	1
757	процесса как	1	1
758	стали бы	1	1
759	должен быть	5	1
760	и утверждает	1	1
761	что тема	1	1
762	не с	1	1
763	литературы а	1	1
764	и точно	1	1
765	в глазах	2	1
766	одного слова	1	1
767	основанное на	1	1
768	речи и	5	1
769	с нашими	1	1
770	взглянуть на	2	1
771	основанием для	2	1
772	бы к	1	1
773	есть вместе	2	1
774	принять во	1	1
775	с которым	1	1
776	ничего общего	1	1
777	с одной	2	1
778	этого понятия	1	1
779	вообще не	1	1
780	с самыми	1	1
781	нами в	1	1
782	этом смысле	5	1
783	в себя	1	1
784	и должен	1	1
785	русской литературе	1	1
786	его основной	1	1
787	такие попытки	1	1
788	в отличие	2	1
789	истинный смысл	1	1
790	которое было	2	1
791	кто не	1	1
792	образом через	1	1
793	как более	1	1
794	совершенно новый	1	1
795	свидетельствует о	1	1
796	еще раз	1	1
797	форма как	1	1
798	был бы	2	1
799	он должен	1	1
800	быть может	1	1
801	к сожалению	1	1
802	игры и	1	1
803	что между	2	1
804	что как	1	1
805	надо прямо	1	1
806	целей и	1	1
807	можно решиться	1	1
808	на почве	1	1
809	деятельности в	1	1
810	значение имеют	1	1
811	переходит в	1	1
812	усмотреть в	1	1
813	в литературном	1	1
814	с самого	1	1
815	при сохранении	1	1
816	тех кому	1	1
817	в поэме	1	1
818	это конечно	2	1
819	чтобы не	2	1
820	нет спора	1	1
821	толстого и	1	1
822	сказал бы	1	1
823	аналогии с	3	1
824	с чрезвычайно	1	1
825	бесчисленное количество	1	1
826	что вся	1	1
827	имеем здесь	1	1
828	на тему	1	1
829	что иное	1	1
830	не дают	1	1
831	себе не	2	1
832	в другом	2	1
833	здесь с	1	1
834	этого слова	5	1
835	стороны к	1	1
836	только такие	1	1
837	и новые	1	1
838	же совершенно	1	1
839	речь идет	2	1
840	так называемый	1	1
841	она может	1	1
842	которая является	1	1
843	который мы	2	1
844	крайней мере	6	1
845	можно сказать	4	1
846	он так	1	1
847	то в	1	1
848	если эти	1	1
849	глаза на	1	1
850	ни к	15	1
851	у нее	1	1
852	только от	1	1
853	слово в	1	1
854	смысле слова	2	1
855	в той	2	1
856	мы и	1	1
857	всего что	2	1
858	предполагает что	1	1
859	в круг	1	1
860	такого рода	1	1
861	и под	1	1
862	это и	3	1
863	я думаю	1	1
864	как гласит	1	1
865	из ряда	1	1
866	не очень	1	1
867	или иное	3	1
868	нам это	1	1
869	что касается	2	1
870	толстой когда	1	1
871	которое мы	1	1
872	выходит за	2	1
873	прямо сказать	1	1
874	мы имели	1	1
875	доказать что	2	1
876	рассматриваться как	1	1
877	позволяет себе	1	1
878	мы видели	2	1
879	всю свою	1	1
880	что есть	1	1
881	этом случае	2	1
882	более чем	1	1
883	вообще с	1	1
884	отношения к	2	1
885	не просто	2	1
886	когда в	2	1
887	в сфере	3	1
888	независимо от	1	1
889	обе эти	1	1
890	этот процесс	1	1
