N	2gram	Tiupa_Anal_1	Tragedij
173	в противовес	2	1
174	тогда как	14	1
175	за пределы	2	1
176	что именно	2	1
177	что ее	1	1
178	мысль о	2	1
179	и наконец	1	1
180	именно эта	1	1
181	опирающаяся на	1	1
182	то в	2	1
183	со своей	1	1
184	в которой	2	1
185	он в	1	1
186	бы не	2	1
187	и отношения	1	1
188	только один	1	1
189	как он	3	1
190	если он	1	1
191	ответом на	1	1
192	творца и	1	1
193	одному из	2	1
194	не значит	1	1
195	не к	2	1
196	не как	1	1
197	и холодного	1	1
198	и по	2	1
199	на этом	2	1
200	дистанции между	1	1
201	таким образом	3	1
202	от нее	1	1
203	здесь мы	1	1
204	а затем	1	1
205	же не	1	1
206	в другом	4	1
207	на все	2	1
208	лишь в	5	1
209	заключается в	1	1
210	полноте и	1	1
211	быть не	3	1
212	для сюжета	1	1
213	из первых	1	1
214	этом мы	1	1
215	но затем	1	1
216	этой позицией	1	1
217	в них	1	1
218	быть понят	1	1
219	этого персонажа	1	1
220	для чего	2	1
221	ведет к	3	1
222	же я	1	1
223	перед собой	2	1
224	и при	1	1
225	в своей	6	1
226	этой связи	1	1
227	к истории	1	1
228	взгляд на	1	1
229	в такой	1	1
230	в котором	3	1
231	в обиход	1	1
232	знает и	1	1
233	не столько	2	1
234	есть высшая	1	1
235	но он	1	1
236	речи в	1	1
237	борьбу с	1	1
238	по себе	4	1
239	тому что	1	1
240	не менее	1	1
241	вплоть до	1	1
242	в обоих	1	1
243	на котором	1	1
244	в эпизоде	2	1
245	виду не	1	1
246	не вызывает	1	1
247	только не	2	1
248	ужас и	1	1
249	в самой	1	1
250	его речи	1	1
251	иными словами	1	1
252	по своей	6	1
253	для нас	1	1
254	связи с	1	1
255	является ли	1	1
256	входят в	1	1
257	в области	4	1
258	мы встречаем	1	1
259	xx века	1	1
260	к себе	1	1
261	значение только	1	1
262	вопросу об	1	1
263	могут быть	4	1
264	позиция в	1	1
265	обратно в	1	1
266	что оно	1	1
267	его с	1	1
268	именно таков	1	1
269	и т.д	1	1
270	не есть	8	1
271	утверждать что	1	1
272	где он	1	1
273	как мы	2	1
274	и о	2	1
275	того чтобы	3	1
276	людей в	1	1
277	другой мир	1	1
278	как система	1	1
279	роль в	2	1
280	природе своей	2	1
281	по природе	3	1
282	в последующих	1	1
283	в диалог	1	1
284	быть может	2	1
285	в прошлое	1	1
286	является по	2	1
287	и должно	1	1
288	это происходит	1	1
289	другие и	1	1
290	на вопрос	4	1
291	но мы	1	1
292	творческий процесс	1	1
293	а также	3	1
294	от него	1	1
295	восходит к	1	1
296	по слову	1	1
297	связь между	1	1
298	романа как	1	1
299	это была	1	1
300	между тем	5	1
301	нуждается в	8	1
302	не сводится	2	1
303	романа в	2	1
304	все время	1	1
305	х годов	2	1
306	в литературе	4	1
307	того что	4	1
308	и дело	1	1
309	ответа на	1	1
310	только сам	1	1
311	что даже	1	1
312	только в	6	1
313	во всем	1	1
314	как нечто	1	1
315	что ж	1	1
316	с одной	3	1
317	есть в	1	1
318	только на	1	1
319	дело с	4	1
320	чтобы он	1	1
321	свидетельствует о	2	1
322	но от	1	1
323	всяком случае	1	1
324	могло бы	1	1
325	слова в	1	1
326	т п	3	1
327	второй части	1	1
328	в xx	1	1
329	в карты	1	1
330	быть по	1	1
331	это по	1	1
332	и вместе	1	1
333	в особенности	1	1
334	на уровне	3	1
335	даже не	1	1
336	развития в	1	1
337	с другим	4	1
338	вопрос об	3	1
339	именно в	4	1
340	что не	3	1
341	обратиться к	3	1
342	не было	1	1
343	полагал что	1	1
344	а не	17	1
345	его как	1	1
346	одну из	1	1
347	не я	1	1
348	xx веке	1	1
349	в связи	1	1
350	виде в	1	1
351	более чем	4	1
352	люди но	1	1
353	о счастье	1	1
354	о себе	1	1
355	вместе с	4	1
356	и особенно	1	1
357	ко всем	1	1
358	и потому	2	1
359	над ним	1	1
360	искусства но	1	1
361	в той	8	1
362	смысле этого	1	1
363	такая трактовка	1	1
364	этого слова	7	1
365	с этой	1	1
366	и от	1	1
367	перед смертью	1	1
368	не является	2	1
369	при таком	1	1
370	в результате	1	1
371	это как	2	1
372	в двух	2	1
373	о нем	3	1
374	из себя	1	1
375	мог быть	1	1
376	хотя бы	3	1
377	я в	3	1
378	за этим	1	1
379	жизни в	1	1
380	к числу	1	1
381	вступления в	1	1
382	совершенно не	1	1
383	сюжета является	1	1
384	время он	1	1
385	и эта	1	1
386	это понятие	1	1
387	своих прежних	1	1
388	во всяком	1	1
